ts_code,trade_date,adj_factor
600104.SH,20260529,11.0675
600104.SH,20260528,11.0675
600104.SH,20260527,11.0675
600104.SH,20260526,11.0675
600104.SH,20260525,11.0675
600104.SH,20260522,11.0675
600104.SH,20260521,11.0675
600104.SH,20260520,11.0675
600104.SH,20260519,11.0675
600104.SH,20260518,11.0675
600104.SH,20260515,11.0675
600104.SH,20260514,11.0675
600104.SH,20260513,11.0675
600104.SH,20260512,11.0675
600104.SH,20260511,11.0675
600104.SH,20260508,11.0675
600104.SH,20260507,11.0675
600104.SH,20260506,11.0675
600104.SH,20260430,11.0675
600104.SH,20260429,11.0675
600104.SH,20260428,11.0675
600104.SH,20260427,11.0675
600104.SH,20260424,11.0675
600104.SH,20260423,11.0675
600104.SH,20260422,11.0675
600104.SH,20260421,11.0675
600104.SH,20260420,11.0675
600104.SH,20260417,11.0675
600104.SH,20260416,11.0675
600104.SH,20260415,11.0675
600104.SH,20260414,11.0675
600104.SH,20260413,11.0675
600104.SH,20260410,11.0675
600104.SH,20260409,11.0675
600104.SH,20260408,11.0675
600104.SH,20260407,11.0675
600104.SH,20260403,11.0675
600104.SH,20260402,11.0675
600104.SH,20260401,11.0675
600104.SH,20260331,11.0675
600104.SH,20260330,11.0675
600104.SH,20260327,11.0675
600104.SH,20260326,11.0675
600104.SH,20260325,11.0675
600104.SH,20260324,11.0675
600104.SH,20260323,11.0675
600104.SH,20260320,11.0675
600104.SH,20260319,11.0675
600104.SH,20260318,11.0675
600104.SH,20260317,11.0675
600104.SH,20260316,11.0675
600104.SH,20260313,11.0675
600104.SH,20260312,11.0675
600104.SH,20260311,11.0675
600104.SH,20260310,11.0675
600104.SH,20260309,11.0675
600104.SH,20260306,11.0675
600104.SH,20260305,11.0675
600104.SH,20260304,11.0675
600104.SH,20260303,11.0675
600104.SH,20260302,11.0675
600104.SH,20260227,11.0675
600104.SH,20260226,11.0675
600104.SH,20260225,11.0675
600104.SH,20260224,11.0675
600104.SH,20260213,11.0675
600104.SH,20260212,11.0675
600104.SH,20260211,11.0675
600104.SH,20260210,11.0675
600104.SH,20260209,11.0675
600104.SH,20260206,11.0675
600104.SH,20260205,11.0675
600104.SH,20260204,11.0675
600104.SH,20260203,11.0675
600104.SH,20260202,11.0675
600104.SH,20260130,11.0675
600104.SH,20260129,11.0675
600104.SH,20260128,11.0675
600104.SH,20260127,11.0675
600104.SH,20260126,11.0675
600104.SH,20260123,11.0675
600104.SH,20260122,11.0675
600104.SH,20260121,11.0675
600104.SH,20260120,11.0675
600104.SH,20260119,11.0675
600104.SH,20260116,11.0675
600104.SH,20260115,11.0675
600104.SH,20260114,11.0675
600104.SH,20260113,11.0675
600104.SH,20260112,11.0675
600104.SH,20260109,11.0675
600104.SH,20260108,11.0675
600104.SH,20260107,11.0675
600104.SH,20260106,11.0675
600104.SH,20260105,11.0675
600104.SH,20251231,11.0675
600104.SH,20251230,11.0675
600104.SH,20251229,11.0675
600104.SH,20251226,11.0675
600104.SH,20251225,11.0675
600104.SH,20251224,11.0675
600104.SH,20251223,11.0675
600104.SH,20251222,11.0675
600104.SH,20251219,11.0675
600104.SH,20251218,11.0675
600104.SH,20251217,11.0675
