ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601601.SH,20260529,32.18,0.7785,1.7571,1.16,5.786,5.7416,0.9687,30958258.8022,22027343.4022
601601.SH,20260528,32.02,0.7312,1.6503,1.04,5.7573,5.7131,0.9638,30804333.3389,21917822.7389
601601.SH,20260527,32.63,0.6127,1.3828,0.93,5.867,5.8219,0.9822,31391174.1677,22335370.2677
601601.SH,20260526,33.22,0.8292,1.8716,1.35,5.973,5.9272,1.0,31958774.3135,22739227.7135
601601.SH,20260525,33.29,0.6429,1.4511,1.05,5.9856,5.9397,1.0021,32026116.7037,22787143.0037
601601.SH,20260522,32.85,0.5496,1.2405,0.89,5.9065,5.8612,0.9888,31602821.6797,22485961.1797
601601.SH,20260521,33.0,0.873,1.9703,1.49,5.9335,5.8879,0.9933,31747126.8015,22588636.8015
601601.SH,20260520,33.42,0.3944,0.8902,0.5,6.009,5.9629,1.006,32151181.1426,22876128.5426
601601.SH,20260519,33.71,0.6085,1.3735,0.79,6.0611,6.0146,1.0147,32430171.0448,23074634.7448
601601.SH,20260518,33.87,0.6391,1.4425,0.7,6.0899,6.0432,1.0195,32584096.5081,23184155.4081
601601.SH,20260515,34.54,0.5616,1.2676,0.61,6.2104,6.1627,1.0397,33228659.3856,23642773.1856
601601.SH,20260514,35.18,0.7341,1.6569,0.76,6.3255,6.2769,1.059,33844361.2387,24080855.8387
601601.SH,20260513,35.74,1.3855,3.1271,1.69,6.4261,6.3768,1.0758,34383100.3602,24464178.1602
601601.SH,20260512,37.22,0.5422,1.2239,0.62,6.6923,6.6409,1.1204,35806910.8955,25477244.2955
601601.SH,20260511,37.39,1.3589,3.0672,1.72,6.7228,6.6712,1.1255,35970456.7002,25593610.0002
601601.SH,20260508,36.9,0.6023,1.3593,0.8,6.6347,6.5838,1.1107,35499059.969,25258202.969
601601.SH,20260507,37.31,0.9691,2.1873,1.53,6.7084,6.6569,1.1231,35893493.9686,25538849.6686
601601.SH,20260506,37.1,0.6245,1.4094,1.03,6.6707,6.6195,1.1167,35691466.7981,25395103.7981
601601.SH,20260430,37.23,0.8007,1.8073,1.48,6.6941,6.6427,1.1207,35816531.237,25484089.337
601601.SH,20260429,37.62,0.9611,2.1693,2.14,6.7642,6.7122,1.1324,36191724.5537,25751045.9537
601601.SH,20260428,36.34,0.4079,0.9206,0.91,6.534,6.534,1.1571,34960320.8475,24874880.6475
601601.SH,20260427,36.36,0.3809,0.8597,0.84,6.5376,6.5376,1.1577,34979561.5304,24888570.7304
601601.SH,20260424,36.62,0.472,1.0653,1.06,6.5844,6.5844,1.166,35229690.4082,25066541.8082
601601.SH,20260423,36.96,0.4884,1.1022,1.1,6.6455,6.6455,1.1768,35556782.0177,25299273.2177
601601.SH,20260422,37.05,0.4965,1.1207,1.18,6.6617,6.6617,1.1797,35643365.0908,25360878.5908
601601.SH,20260421,37.05,0.415,0.9368,0.96,6.6617,6.6617,1.1797,35643365.0908,25360878.5908
601601.SH,20260420,37.46,0.399,0.9005,0.91,6.7354,6.7354,1.1927,36037799.0904,25641525.2904
601601.SH,20260417,37.34,0.4281,0.9662,0.93,6.7138,6.7138,1.1889,35922354.993,25559384.793
601601.SH,20260416,37.87,0.4776,1.0779,0.97,6.8091,6.8091,1.2058,36432233.0901,25922171.9901
601601.SH,20260415,37.99,0.3856,0.8703,0.68,6.8307,6.8307,1.2096,36547677.1875,26004312.4875
601601.SH,20260414,38.4,0.4728,1.067,0.87,6.9044,6.9044,1.2227,36942111.1872,26284959.1872
601601.SH,20260413,37.66,0.4206,0.9493,0.83,6.7714,6.7714,1.1991,36230205.9195,25778426.1195
601601.SH,20260410,38.63,0.5515,1.2448,1.2,6.9458,6.9458,1.23,37163379.0407,26442395.1407
601601.SH,20260409,38.29,0.631,1.4241,1.45,6.8846,6.8846,1.2192,36836287.4312,26209663.7312
601601.SH,20260408,39.9,0.7513,1.6958,2.0,7.1741,7.1741,1.2704,38385162.4055,27311715.4055
601601.SH,20260407,37.27,0.3545,0.8002,0.85,6.7012,6.7012,1.1867,35855012.6028,25511469.5028
601601.SH,20260403,38.22,0.2324,0.5245,0.49,6.8721,6.8721,1.2169,36768945.041,26161748.441
601601.SH,20260402,38.39,0.3368,0.7602,0.6,6.9026,6.9026,1.2224,36932490.8457,26278114.1457
601601.SH,20260401,38.31,0.4999,1.1283,0.94,6.8882,6.8882,1.2198,36855528.1141,26223353.8141
601601.SH,20260331,37.09,0.4529,1.0222,0.86,6.6689,6.6689,1.181,35681846.4566,25388258.7566
601601.SH,20260330,36.65,0.5625,1.2695,1.03,6.5898,6.5898,1.1669,35258551.4326,25087076.9326
601601.SH,20260327,37.12,0.5086,1.148,0.96,6.6743,6.6743,1.1819,35710707.481,25408793.881
601601.SH,20260326,37.09,0.7668,1.7308,1.67,7.9364,6.816,1.2556,35681846.4566,25388258.7566
601601.SH,20260325,38.38,0.3708,0.8369,0.77,8.2124,7.0531,1.2993,36922870.5043,26271269.1043
601601.SH,20260324,37.59,0.4376,0.9877,0.82,8.0433,6.9079,1.2725,36162863.5293,25730510.8293
601601.SH,20260323,37.32,0.6443,1.4543,1.28,7.9856,6.8583,1.2634,35903114.3101,25545694.7101
601601.SH,20260320,39.16,0.4182,0.944,0.87,8.3793,7.1964,1.3257,37673257.1378,26805182.3378
601601.SH,20260319,39.76,0.4235,0.9559,0.92,8.5077,7.3067,1.346,38250477.6251,27215884.8251
601601.SH,20260318,40.77,0.4946,1.1163,1.08,8.7238,7.4923,1.3802,39222132.112,27907234.012
601601.SH,20260317,40.5,0.6749,1.5232,1.59,8.666,7.4427,1.371,38962382.8928,27722417.8928
601601.SH,20260316,39.6,0.512,1.1556,1.16,8.4734,7.2773,1.3406,38096552.1618,27106364.1618
601601.SH,20260313,39.17,0.3093,0.6981,0.67,8.3814,7.1983,1.326,37682877.4792,26812027.3792
601601.SH,20260312,39.48,0.323,0.7291,0.64,8.4478,7.2552,1.3365,37981108.0643,27024223.6643
601601.SH,20260311,39.48,0.4798,1.0829,0.86,8.4478,7.2552,1.3365,37981108.0643,27024223.6643
601601.SH,20260310,39.17,0.5045,1.1386,0.82,8.3814,7.1983,1.326,37682877.4792,26812027.3792
601601.SH,20260309,38.2,0.5862,1.323,0.92,8.1739,7.02,1.2932,36749704.3581,26148058.3581
601601.SH,20260306,39.24,0.4233,0.9555,0.64,8.3964,7.2111,1.3284,37750219.8694,26859942.6694
601601.SH,20260305,39.34,0.5361,1.2099,0.76,8.4178,7.2295,1.3318,37846423.284,26928393.084
601601.SH,20260304,38.85,0.7515,1.6962,1.15,8.313,7.1395,1.3152,37375026.5527,26592986.0527
601601.SH,20260303,39.95,0.7738,1.7466,1.3,8.5483,7.3416,1.3524,38433264.1127,27345940.6127
601601.SH,20260302,39.99,0.7049,1.5909,1.36,8.5569,7.3489,1.3538,38471745.4785,27373320.7785
601601.SH,20260227,40.81,0.5534,1.2491,1.16,8.7323,7.4996,1.3815,39260613.4779,27934614.1779
601601.SH,20260226,40.96,0.7368,1.6629,1.78,8.7644,7.5272,1.3866,39404918.5997,28037289.7997
601601.SH,20260225,42.12,0.5083,1.1472,1.37,9.0127,7.7404,1.4259,40520878.2085,28831314.6085
601601.SH,20260224,42.52,0.4682,1.0567,1.31,9.0982,7.8139,1.4394,40905691.8667,29105116.2667
601601.SH,20260213,42.89,0.3314,0.7479,0.89,9.1774,7.8819,1.4519,41261644.5005,29358382.8005
601601.SH,20260212,43.59,0.3485,0.7866,0.92,9.3272,8.0105,1.4756,41935068.4023,29837535.7023
601601.SH,20260211,44.32,0.4114,0.9286,1.08,9.4834,8.1447,1.5003,42637353.3286,30337223.7286
601601.SH,20260210,44.95,0.2889,0.6522,0.65,9.6182,8.2604,1.5217,43243434.8402,30768461.3402
601601.SH,20260209,45.22,0.4078,0.9205,0.86,9.676,8.3101,1.5308,43503184.0595,30953277.4595
601601.SH,20260206,44.81,0.4086,0.9221,0.8,9.5882,8.2347,1.5169,43108750.0599,30672630.7599
601601.SH,20260205,44.75,0.387,0.8736,0.58,9.5754,8.2237,1.5149,43051028.0111,30631560.5111
601601.SH,20260204,44.73,0.4197,0.9473,0.57,9.5711,8.22,1.5142,43031787.3282,30617870.4282
601601.SH,20260203,43.98,0.6057,1.367,0.77,9.4106,8.0822,1.4888,42310261.7191,30104492.3191
601601.SH,20260202,44.36,0.5453,1.2308,0.62,9.492,8.152,1.5017,42675834.6944,30364603.8944
601601.SH,20260130,45.55,0.5962,1.3457,0.64,9.7466,8.3707,1.542,43820655.3275,31179163.8275
601601.SH,20260129,46.18,1.1837,2.6716,1.43,9.8814,8.4865,1.5633,44426736.8392,31610401.4392
601601.SH,20260128,44.18,0.7817,1.7644,1.0,9.4534,8.1189,1.4956,42502668.5482,30241393.1482
601601.SH,20260127,44.2,0.8417,1.8997,1.2,9.4577,8.1226,1.4963,42521909.2311,30255083.2311
601601.SH,20260126,43.34,0.994,2.2436,1.65,9.2737,7.9646,1.4672,41694559.866,29666409.666
601601.SH,20260123,41.99,0.8592,1.9392,1.51,8.9848,7.7165,1.4215,40395813.7695,28742329.0695
601601.SH,20260122,43.1,0.6492,1.4652,1.21,9.2223,7.9205,1.459,41463671.6711,29502128.6711
601601.SH,20260121,43.9,0.5524,1.2468,0.99,9.3935,8.0675,1.4861,42233298.9875,30049731.9875
601601.SH,20260120,44.25,0.457,1.0315,0.79,9.4684,8.1318,1.498,42570010.9384,30289308.4384
601601.SH,20260119,44.09,0.4995,1.1274,0.8,9.4342,8.1024,1.4926,42416085.4751,30179787.7751
601601.SH,20260116,44.19,0.6827,1.5408,1.1,9.4556,8.1208,1.4959,42512288.8896,30248238.1896
601601.SH,20260115,44.92,0.4844,1.0933,0.7,9.6118,8.2549,1.5206,43214573.8159,30747926.2159
601601.SH,20260114,45.29,0.6568,1.4824,0.93,9.691,8.3229,1.5332,43570526.4497,31001192.7497
601601.SH,20260113,45.91,0.5728,1.2927,0.75,9.8236,8.4369,1.5542,44166987.6199,31425585.3199
601601.SH,20260112,45.38,0.7227,1.6311,0.89,9.7102,8.3395,1.5362,43657109.5228,31062798.1228
601601.SH,20260109,46.5,0.6652,1.5013,0.87,9.9499,8.5453,1.5741,44734587.7658,31829442.7658
601601.SH,20260108,46.95,0.8592,1.9392,1.25,10.0462,8.628,1.5894,45167503.1312,32137469.6312
601601.SH,20260107,47.89,0.6982,1.5759,1.1,10.2473,8.8007,1.6212,46071815.228,32780903.528
601601.SH,20260106,47.35,0.8777,1.981,1.66,10.1317,8.7015,1.6029,45552316.7894,32411271.2894
601601.SH,20260105,45.06,0.968,2.1848,2.22,9.6417,8.2807,1.5254,43349258.5962,30843756.7962
601601.SH,20251231,41.91,0.4281,0.9662,1.05,8.9677,7.7018,1.4188,40318851.0379,28687568.7379
601601.SH,20251230,41.91,0.4549,1.0268,1.1,8.9677,7.7018,1.4188,40318851.0379,28687568.7379
601601.SH,20251229,42.28,0.4503,1.0165,1.1,9.0469,7.7698,1.4313,40674803.6717,28940835.2717
601601.SH,20251226,42.33,0.3481,0.7857,0.84,9.0576,7.779,1.433,40722905.379,28975060.479
601601.SH,20251225,42.64,0.4961,1.1196,1.18,9.1239,7.8359,1.4435,41021135.9641,29187256.7641
601601.SH,20251224,41.5,0.2972,0.6709,0.55,8.88,7.6264,1.4049,39924417.0383,28406922.0383
601601.SH,20251223,41.77,0.4775,1.0778,0.87,8.9378,7.6761,1.414,40184166.2575,28591738.1575
601601.SH,20251222,41.4,0.4316,0.9742,0.69,8.8586,7.6081,1.4015,39828213.6237,28338471.6237
601601.SH,20251219,41.04,0.3748,0.8458,0.57,8.7816,7.5419,1.3893,39481881.3313,28092050.1313
601601.SH,20251218,41.08,0.5211,1.1761,0.83,8.7901,7.5493,1.3907,39520362.6971,28119430.2971
601601.SH,20251217,40.79,0.8873,2.0027,1.69,8.7281,7.496,1.3808,39241372.7949,27920924.0949
601601.SH,20251216,39.15,0.5298,1.1958,1.02,8.3771,7.1946,1.3253,37663636.7963,26798337.2963
601601.SH,20251215,39.58,0.7994,1.8043,1.46,8.4692,7.2736,1.3399,38077311.4789,27092674.0789
601601.SH,20251212,38.24,0.5628,1.2702,0.81,8.1824,7.0274,1.2945,36788185.7239,26175438.5239
601601.SH,20251211,37.47,0.3576,0.807,0.54,8.0177,6.8858,1.2684,36047419.4319,25648370.3319
601601.SH,20251210,37.91,0.3767,0.8501,0.58,8.1118,6.9667,1.2833,36470714.4559,25949552.1559
601601.SH,20251209,37.5,0.501,1.1307,0.78,8.0241,6.8914,1.2695,36076280.4563,25668905.4563
601601.SH,20251208,38.24,0.9338,2.1076,1.72,8.1824,7.0274,1.2945,36788185.7239,26175438.5239
601601.SH,20251205,37.61,1.32,2.9794,3.72,8.0476,6.9116,1.2732,36182104.2123,25744200.9123
601601.SH,20251204,35.2,0.2029,0.458,0.51,7.5319,6.4687,1.1916,33863601.9216,24094545.9216
601601.SH,20251203,35.0,0.2718,0.6134,0.67,7.4891,6.4319,1.1848,33671195.0925,23957645.0925
601601.SH,20251202,35.61,0.4634,1.0458,1.18,7.6197,6.544,1.2055,34258035.9213,24375192.6213
601601.SH,20251201,35.17,0.4629,1.0448,1.22,7.5255,6.4632,1.1906,33834740.8972,24074010.7972
601601.SH,20251128,34.75,0.3712,0.8378,0.95,7.4357,6.386,1.1764,33430686.5561,23786519.0561
601601.SH,20251127,35.05,0.4158,0.9384,1.08,7.4998,6.4411,1.1865,33719296.7998,23991870.2998
601601.SH,20251126,34.61,0.3246,0.7327,0.69,7.4057,6.3603,1.1716,33296001.7758,23690688.4758
601601.SH,20251125,34.95,0.382,0.8621,0.74,7.4784,6.4227,1.1831,33623093.3852,23923419.8852
601601.SH,20251124,34.3,0.4066,0.9177,0.77,7.3394,6.3033,1.1611,32997771.1907,23478492.1907
