ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
600309.SH,20260529,73.45,0.8363,1.438,0.98,18.3547,17.4683,2.1392,22993314.093,22993314.093
600309.SH,20260528,73.85,0.9901,1.7026,1.19,18.4547,17.5635,2.1508,23118532.958,23118532.958
600309.SH,20260527,75.04,0.7764,1.335,0.92,18.752,17.8465,2.1855,23491059.0815,23491059.0815
600309.SH,20260526,77.58,0.8741,1.5031,1.07,19.3868,18.4506,2.1801,24286198.8745,24286198.8745
600309.SH,20260525,76.85,0.9067,1.5591,1.06,19.2043,18.277,2.1596,24057674.4458,24057674.4458
600309.SH,20260522,77.99,0.7023,1.2076,0.78,19.4892,18.5481,2.1916,24414548.2112,24414548.2112
600309.SH,20260521,77.49,0.8975,1.5433,0.96,19.3643,18.4292,2.1776,24258024.6299,24258024.6299
600309.SH,20260520,79.0,0.8187,1.4079,0.88,19.7416,18.7883,2.22,24730725.8454,24730725.8454
600309.SH,20260519,79.5,0.7542,1.2969,0.79,19.8666,18.9072,2.2341,24887249.4267,24887249.4267
600309.SH,20260518,79.9,1.11,1.9088,1.17,19.9665,19.0023,2.2453,25012468.2917,25012468.2917
600309.SH,20260515,81.81,0.9042,1.5548,0.92,20.4438,19.4566,2.299,25610388.3723,25610388.3723
600309.SH,20260514,81.99,1.1116,1.9114,0.93,20.4888,19.4994,2.304,25666736.8616,25666736.8616
600309.SH,20260513,83.33,0.7809,1.3429,0.61,20.8237,19.8181,2.3417,26086220.0595,26086220.0595
600309.SH,20260512,83.29,0.8835,1.5192,0.71,20.8137,19.8086,2.3406,26073698.173,26073698.173
600309.SH,20260511,83.51,1.0799,1.8569,0.88,20.8686,19.8609,2.3468,26142568.5487,26142568.5487
600309.SH,20260508,83.6,1.04,1.7883,0.88,20.8911,19.8823,2.3493,26170742.7934,26170742.7934
600309.SH,20260507,84.8,2.2208,3.8187,2.4,21.191,20.1677,2.383,26546399.3885,26546399.3885
600309.SH,20260506,89.73,1.1478,1.9737,1.22,22.423,21.3402,2.5215,28089721.9001,28089721.9001
600309.SH,20260430,89.54,0.743,1.2776,0.73,22.3755,21.295,2.5162,28030242.9392,28030242.9392
600309.SH,20260429,90.35,0.9764,1.679,0.96,22.5779,21.4876,2.539,28283811.1409,28283811.1409
600309.SH,20260428,89.48,0.8131,1.3982,0.72,22.3605,21.2807,2.5145,28011460.1094,28011460.1094
600309.SH,20260427,88.97,0.9404,1.6171,0.83,22.2331,21.1594,2.5002,27851806.0565,27851806.0565
600309.SH,20260424,89.54,1.2381,2.129,1.12,22.3755,21.295,2.5162,28030242.9392,28030242.9392
