ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601899.SH,20260529,30.44,1.267,1.7979,0.83,15.6327,13.1208,4.103,80942135.3094,62711858.3182
601899.SH,20260528,30.71,1.5095,2.1421,1.0,15.7714,13.2372,4.1394,81660084.6042,63268106.7329
601899.SH,20260527,31.62,1.2703,1.8025,0.81,16.2387,13.6294,4.2621,84079839.6348,65142869.9087
601899.SH,20260526,32.9,2.1538,3.0563,1.65,16.8961,14.1812,4.4346,87483451.1064,67779899.4306
601899.SH,20260525,31.35,1.3787,1.9565,1.05,16.1001,13.513,4.2257,83361890.34,64586621.4939
601899.SH,20260522,30.96,1.3014,1.8467,0.88,15.8998,13.3449,4.1731,82324852.4697,63783151.5614
601899.SH,20260521,29.99,1.4349,2.0362,0.98,15.4016,12.9268,4.0424,79745553.1514,61784777.6269
601899.SH,20260520,30.39,1.5265,2.1662,1.04,15.6071,13.0992,4.0963,80809181.7363,62608849.3525
601899.SH,20260519,31.16,0.8779,1.2457,0.52,16.0025,13.4311,4.2001,82856666.7622,64195187.4242
601899.SH,20260518,31.3,1.4018,1.9892,0.82,16.0744,13.4915,4.2189,83228936.7669,64483612.5282
601899.SH,20260515,31.84,2.1759,3.0877,1.38,16.3517,13.7243,4.2917,84664835.3564,65596109.3578
601899.SH,20260514,33.52,1.3443,1.9076,0.82,17.2145,14.4484,4.5182,89132075.4129,69057210.6053
601899.SH,20260513,34.66,1.5653,2.2212,0.92,17.8,14.9398,4.6718,92163416.8799,71405815.0232
601899.SH,20260512,34.58,2.0238,2.8719,1.32,17.7589,14.9053,4.661,91950691.1629,71241000.6781
601899.SH,20260511,34.27,1.4742,2.0919,0.96,17.5997,14.7717,4.6193,91126379.0096,70602345.0908
601899.SH,20260508,34.8,1.4622,2.075,1.01,17.8719,15.0001,4.6907,92535686.8846,71694240.1272
601899.SH,20260507,34.46,1.6311,2.3146,1.22,17.6972,14.8536,4.6449,91631602.5874,70993779.1604
601899.SH,20260506,34.21,1.9371,2.7488,1.61,17.5689,14.7458,4.6112,90966834.7219,70478734.3319
601899.SH,20260430,33.3,1.1668,1.6558,0.89,17.1015,14.3536,4.4885,88547079.6913,68603971.1562
601899.SH,20260429,34.14,1.4732,2.0905,1.06,17.5329,14.7156,4.6017,90780699.7195,70334521.78
601899.SH,20260428,32.95,1.0048,1.4259,0.68,16.9218,14.2027,4.4413,87616404.6795,67882908.3963
601899.SH,20260427,33.56,1.1217,1.5917,0.76,17.235,14.4656,4.5236,89238438.2714,69139617.7778
601899.SH,20260424,34.31,1.2513,1.7756,0.87,17.6202,14.7889,4.6247,91232741.8681,70684752.2633
601899.SH,20260423,34.4,1.7311,2.4565,1.34,17.6664,14.8277,4.6368,91472058.2997,70870168.4016
601899.SH,20260422,35.53,1.8076,2.565,1.49,18.2468,15.3148,4.7891,94476809.052,73198171.0264
