ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
603501.SH,20260529,95.0,3.0974,4.9222,0.89,29.6203,32.5403,3.6468,11982629.2905,11500588.8405
603501.SH,20260528,101.9,3.0282,4.8127,0.77,31.7671,34.8987,3.9121,12851096.9278,12334045.1188
603501.SH,20260527,104.96,3.059,4.8617,0.83,32.721,35.9467,4.0295,13237008.18,12704429.5944
603501.SH,20260526,106.07,3.5894,5.7046,1.01,33.067,36.3269,4.0722,13376995.595,12838784.7473
603501.SH,20260525,108.94,4.3743,6.9521,1.39,33.9618,37.3098,4.1823,13738945.0374,13186171.494
603501.SH,20260522,104.25,3.2619,5.1841,1.03,32.4997,35.7036,4.0023,13147466.6803,12618490.7128
603501.SH,20260521,102.66,5.2991,8.4218,2.02,32.004,35.159,3.9412,12946944.1669,12426036.0343
603501.SH,20260520,101.3,1.9184,3.0489,0.68,31.58,34.6933,3.889,12775428.0548,12261420.7118
603501.SH,20260519,102.62,2.8886,4.5908,1.0,31.9915,35.1453,3.9397,12941899.5753,12421194.4071
603501.SH,20260518,99.79,2.3405,3.7198,0.79,31.1093,34.1761,3.8311,12584994.7245,12078649.2876
603501.SH,20260515,101.39,3.4418,5.47,1.3,31.6081,34.7241,3.8925,12786778.3857,12272314.3728
603501.SH,20260514,100.5,2.5044,3.9802,0.96,31.3306,34.4193,3.8583,12674536.2242,12164588.1692
603501.SH,20260513,103.51,2.9783,4.7334,1.07,32.269,35.4501,3.9739,13054141.7369,12528920.6108
603501.SH,20260512,103.31,3.1689,5.0364,1.09,32.2066,35.3816,3.9662,13028918.7793,12504712.4752
603501.SH,20260511,101.38,2.7099,4.3068,0.92,31.6049,34.7207,3.8921,12785517.2379,12271103.9661
603501.SH,20260508,99.18,1.8438,2.9304,0.54,30.9191,33.9672,3.8076,12508064.7036,12004814.4738
603501.SH,20260507,100.26,2.3454,3.7274,0.61,31.2558,34.3371,3.8491,12644268.675,12135538.4064
603501.SH,20260506,100.9,3.785,6.0155,1.04,31.4553,34.5563,3.8737,12724982.1395,12213004.4405
603501.SH,20260430,98.3,3.8008,6.0405,1.2,30.6448,33.6658,3.7739,12397083.6899,11898298.6769
603501.SH,20260429,101.59,3.0266,4.8102,1.05,31.6704,31.6704,3.92,12812001.3434,12296522.5085
603501.SH,20260428,103.89,4.2272,6.7182,1.81,32.3874,32.3874,4.0088,13102065.3565,12574916.0686
603501.SH,20260427,104.63,4.3267,6.8764,2.46,32.6181,32.6181,4.0373,13195390.2998,12664486.1705
603501.SH,20260424,95.12,2.8897,4.5926,1.98,29.6534,29.6534,3.6704,11996038.6631,11513389.3199
603501.SH,20260423,92.44,1.3868,2.2041,0.95,28.8179,28.8179,3.5669,11658051.0305,11189000.3021
603501.SH,20260422,94.2,1.6352,2.5988,1.09,29.3666,29.3666,3.6349,11880013.0579,11402031.8959
603501.SH,20260421,92.85,1.4152,2.2492,0.94,28.9457,28.9457,3.5828,11709758.0937,11238626.9802
603501.SH,20260420,93.78,1.4849,2.36,1.06,29.2357,29.2357,3.6186,11827044.8468,11351194.811
603501.SH,20260417,93.04,1.3738,2.1833,1.01,29.005,29.005,3.5901,11733719.9034,11261624.709
603501.SH,20260416,93.71,1.3752,2.1855,1.04,29.2138,29.2138,3.6159,11818216.8116,11342721.9635
603501.SH,20260415,92.31,1.8698,2.9717,1.47,28.7774,28.7774,3.5619,11641656.108,11173265.0139
603501.SH,20260414,94.66,1.3948,2.2167,1.21,29.51,29.51,3.6526,11938025.8605,11457710.6079
603501.SH,20260413,94.83,0.9681,1.5386,0.81,29.563,29.563,3.6592,11959465.3745,11478287.5232
603501.SH,20260410,95.35,1.1967,1.902,0.88,29.7247,29.7247,3.6793,12024891.4937,11541075.1052
603501.SH,20260409,94.24,1.1518,1.8306,0.84,29.3774,29.3774,3.6368,11884362.0828,11406177.9564
603501.SH,20260408,95.45,1.6306,2.5916,1.16,29.7545,29.7545,3.6835,12036952.0459,11552628.2464
603501.SH,20260407,90.82,0.8364,1.3293,0.62,28.3112,28.3112,3.5048,11453074.7492,10992244.079
603501.SH,20260403,90.15,1.1628,1.8481,0.93,28.1024,28.1024,3.479,11368582.7861,10911151.7696
603501.SH,20260402,91.35,2.0261,3.2202,2.08,28.4765,28.4765,3.5253,11519911.6751,11056391.7266
603501.SH,20260401,96.05,1.2393,1.9696,1.36,29.9416,29.9416,3.7067,12112616.4904,11625248.2249
603501.SH,20260331,94.96,1.7562,2.7912,2.39,29.6018,29.6018,3.6646,11975159.4162,11493321.9306
603501.SH,20260330,100.32,0.6153,0.9771,0.69,38.0678,30.4242,3.9544,12650858.3853,12141823.6701
603501.SH,20260327,101.02,0.6409,1.0178,0.67,38.3334,30.6365,3.982,12739131.9187,12226545.3265
603501.SH,20260326,100.0,0.6207,0.9857,0.6,37.9464,30.3271,3.9418,12610504.77,12103093.77
603501.SH,20260325,102.35,0.9241,1.4675,0.88,38.8381,31.0398,4.0344,12906851.6321,12387516.4736
603501.SH,20260324,99.98,0.8713,1.3838,0.83,37.9388,30.3211,3.941,12607982.669,12100673.1512
603501.SH,20260323,98.62,1.3824,2.1955,1.37,37.4227,29.9086,3.8874,12436479.8042,11936071.076
603501.SH,20260320,103.55,0.9656,1.5335,1.01,39.2935,31.4038,4.0817,13058177.6893,12532753.5988
603501.SH,20260319,105.84,1.0228,1.6243,1.15,40.1625,32.0983,4.172,13346958.2486,12809914.4462
603501.SH,20260318,108.28,1.0364,1.6459,1.25,41.0883,32.8382,4.2682,13654654.565,13105229.9342
603501.SH,20260317,108.92,0.8266,1.3127,1.03,41.3312,33.0323,4.2934,13735361.7955,13182689.7343
603501.SH,20260316,110.3,1.1901,1.89,1.51,41.8549,33.4508,4.3478,13909386.7613,13349712.4283
603501.SH,20260313,111.73,0.6973,1.1073,0.89,42.3975,33.8845,4.4042,14089716.9795,13522786.6692
603501.SH,20260312,112.82,0.6867,1.0906,0.85,42.8111,34.2151,4.4471,14227171.4815,13654710.3913
603501.SH,20260311,114.3,0.7569,1.202,0.81,43.3727,34.6639,4.5055,14413806.9521,13833836.1791
603501.SH,20260310,114.08,0.6802,1.0802,0.63,43.2892,34.5972,4.4968,14386063.8416,13807209.3728
603501.SH,20260309,112.2,1.1264,1.7889,0.96,42.5758,34.0271,4.4227,14148986.3519,13579671.2099
603501.SH,20260306,115.05,0.6477,1.0286,0.49,43.6573,34.8914,4.535,14508385.7379,13924609.3824
603501.SH,20260305,114.17,0.8377,1.3305,0.52,43.3206,34.6223,4.5001,14396497.858,13817186.7193
603501.SH,20260304,113.52,1.3601,2.1601,0.89,43.074,34.4252,4.4745,14314534.7888,13738521.8216
603501.SH,20260303,116.35,1.449,2.3013,1.02,44.1478,35.2834,4.586,14671389.3823,14081016.6838
603501.SH,20260302,118.93,1.5655,2.4863,1.22,45.1268,36.0658,4.6877,14996719.7184,14393255.8161
