ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688012.SH,20260529,305.99,306.58,287.0,297.68,303.87,-6.19,-2.0371,301355.2,8935163.692
688012.SH,20260528,453.9,458.88,441.03,453.12,455.05,-1.93,-0.4241,209929.26,9439901.305
688012.SH,20260527,463.95,486.7,453.48,455.05,463.51,-8.46,-1.8252,229387.72,10815858.057
688012.SH,20260526,475.6,480.0,452.15,463.51,485.3,-21.79,-4.49,246820.54,11412617.792
688012.SH,20260525,453.36,491.98,438.0,485.3,469.6,15.7,3.3433,363979.18,16943297.521
688012.SH,20260522,480.0,483.33,452.0,469.6,475.8,-6.2,-1.3031,297067.96,13801279.61
688012.SH,20260521,490.62,533.33,473.0,475.8,490.33,-14.53,-2.9633,365298.6,18242120.113
688012.SH,20260520,475.0,498.0,470.0,490.33,479.51,10.82,2.2565,293147.5,14171009.598
688012.SH,20260519,432.17,480.0,428.1,479.51,438.75,40.76,9.29,300379.68,13794444.725
688012.SH,20260518,441.0,461.88,435.01,438.75,432.9,5.85,1.3514,279792.39,12525856.432
688012.SH,20260515,393.36,464.0,369.98,432.9,387.17,45.73,11.8113,380980.98,16018523.192
688012.SH,20260514,407.98,409.58,387.01,387.17,405.6,-18.43,-4.5439,157782.97,6233168.278
688012.SH,20260513,376.0,409.53,374.0,405.6,388.45,17.15,4.415,207028.06,8106644.981
688012.SH,20260512,384.0,396.78,374.36,388.45,383.64,4.81,1.2538,187768.47,7286494.959
688012.SH,20260511,377.05,393.33,371.3,383.64,370.0,13.64,3.6865,229065.68,8768200.329
688012.SH,20260508,380.0,386.76,366.64,370.0,384.6,-14.6,-3.7962,175410.17,6554934.291
688012.SH,20260507,390.0,393.0,377.27,384.6,383.3,1.3,0.3392,170079.69,6529224.169
688012.SH,20260506,400.0,412.22,381.2,383.3,376.3,7.0,1.8602,237891.59,9383781.782
688012.SH,20260430,360.0,379.0,355.55,376.3,359.76,16.54,4.5975,191653.85,7112514.37
688012.SH,20260429,358.92,364.0,349.53,359.76,362.27,-2.51,-0.6929,144079.25,5150764.693
688012.SH,20260428,353.02,373.11,353.01,362.27,352.01,10.26,2.9147,213023.8,7762330.603
688012.SH,20260427,329.13,355.0,322.78,352.01,323.38,28.63,8.8534,262270.6,8951169.136
688012.SH,20260424,317.0,327.8,309.5,323.38,315.05,8.33,2.644,172672.06,5522597.695
688012.SH,20260423,322.0,323.8,311.0,315.05,319.99,-4.94,-1.5438,117909.3,3734182.949
688012.SH,20260422,308.88,320.78,308.18,319.99,308.88,11.11,3.5969,153355.62,4866178.733
