ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
600031.SH,20260529,17.94,1.5836,2.3305,1.43,19.6191,19.5969,1.8212,16495837.96,15203055.7264
600031.SH,20260528,17.9,1.2302,1.8104,1.06,19.5753,19.5532,1.8172,16459057.9422,15169158.1662
600031.SH,20260527,18.47,1.3581,1.9987,1.28,20.1987,20.1759,1.875,16983173.1951,15652198.3983
600031.SH,20260526,18.88,1.3117,1.9304,1.35,20.6471,20.6238,1.9167,17360168.3771,15999648.3899
600031.SH,20260525,18.83,0.8589,1.2639,0.8,20.5924,20.5691,1.9116,17314193.3549,15957276.4397
600031.SH,20260522,18.96,0.7937,1.168,0.71,20.7346,20.7111,1.9248,17433728.4126,16067443.5102
600031.SH,20260521,18.96,1.4764,2.1727,1.44,20.7346,20.7111,1.9248,17433728.4126,16067443.5102
600031.SH,20260520,19.4,0.8494,1.25,0.8,21.2157,21.1918,1.9694,17838308.6078,16440316.6718
600031.SH,20260519,19.31,0.8912,1.3115,0.79,21.1173,21.0935,1.9603,17755553.5678,16364047.1614
600031.SH,20260518,19.39,1.3665,2.011,0.96,21.2048,21.1809,1.9684,17829113.6033,16431842.2817
600031.SH,20260515,20.46,1.016,1.4952,0.69,22.3749,22.3497,2.0771,18812979.0781,17338602.0157
600031.SH,20260514,20.61,0.991,1.4584,0.66,22.539,22.5135,2.0923,18950904.1447,17465717.8663
600031.SH,20260513,21.39,1.016,1.4952,0.61,23.392,23.3656,2.1715,19668114.4907,18126720.2891
600031.SH,20260512,21.36,1.2763,1.8782,0.76,23.3592,23.3328,2.1684,19640529.4774,18101297.119
600031.SH,20260511,21.84,2.7817,4.0937,2.03,23.8841,23.8571,2.2171,20081889.6904,18508067.8408
600031.SH,20260508,20.53,1.2659,1.8629,0.89,22.4515,22.4261,2.0842,18877344.1092,17397922.746
600031.SH,20260507,20.98,1.1981,1.7632,0.92,22.9436,22.9177,2.1298,19291119.3088,17779270.2976
600031.SH,20260506,20.91,1.7639,2.5958,1.67,22.8671,22.8412,2.1227,19226754.2778,17719949.5674
600031.SH,20260430,20.35,1.4422,2.1224,1.61,22.2546,22.2295,2.0659,18711834.0293,17245383.7253
600031.SH,20260429,20.5,1.1707,1.7229,1.41,22.4187,22.4187,2.134,18849759.0959,17372499.5759
600031.SH,20260428,20.14,1.5579,2.2927,2.38,22.025,22.025,2.0965,18518738.9361,17067421.5345
600031.SH,20260427,19.5,0.5567,0.8193,0.78,21.3251,21.3251,2.0299,17930258.6522,16525060.5722
600031.SH,20260424,19.52,0.5415,0.7969,0.71,21.347,21.347,2.032,17948648.661,16542009.3522
600031.SH,20260423,19.6,0.6488,0.9548,0.78,21.4345,21.4345,2.0403,18022208.6965,16609804.4725
600031.SH,20260422,19.78,0.8352,1.2291,1.03,21.6313,21.6313,2.059,18187718.7764,16762343.4932
600031.SH,20260421,19.93,0.6924,1.019,0.83,21.7953,21.7953,2.0747,18325643.8429,16889459.3437
600031.SH,20260420,19.92,0.8403,1.2367,1.03,21.7844,21.7844,2.0736,18316448.8385,16880984.9537
600031.SH,20260417,20.16,0.8076,1.1885,1.03,22.0469,22.0469,2.0986,18537128.945,17084370.3146
600031.SH,20260416,20.39,0.9693,1.4264,1.35,22.2984,22.2984,2.1225,18748614.047,17279281.2854
600031.SH,20260415,20.66,0.7302,1.0746,0.86,22.5937,22.5937,2.1506,18996879.1668,17508089.8164
600031.SH,20260414,20.86,0.8452,1.2438,1.03,22.8124,22.8124,2.1715,19180779.2556,17677577.6172
600031.SH,20260413,20.36,0.7272,1.0702,0.92,22.2656,22.2656,2.1194,18721029.0337,17253858.1153
600031.SH,20260410,20.66,0.636,0.936,0.77,22.5937,22.5937,2.1506,18996879.1668,17508089.8164
600031.SH,20260409,20.66,0.6382,0.9391,0.63,22.5937,22.5937,2.1506,18996879.1668,17508089.8164
600031.SH,20260408,20.86,1.4053,2.0681,1.39,22.8124,22.8124,2.1715,19180779.2556,17677577.6172
600031.SH,20260407,19.52,0.6835,1.0059,0.66,21.347,21.347,2.032,17948648.661,16542009.3522
600031.SH,20260403,19.88,0.5869,0.8636,0.56,21.7407,21.7407,2.0694,18279668.8208,16847087.3936
600031.SH,20260402,20.07,0.8103,1.1925,0.83,21.9484,21.9484,2.0892,18454373.9051,17008100.8043
600031.SH,20260401,20.3,1.5389,2.2647,1.83,22.2,22.2,2.1132,18665859.0071,17203011.7751
600031.SH,20260331,19.22,1.4514,2.1359,2.03,21.0189,21.0189,2.0007,17672798.5279,16287777.6511
600031.SH,20260330,18.87,0.7679,1.13,0.96,29.0371,21.0491,2.0497,17350973.3726,15991173.9998
