ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
688041.SH,20260529,293.9,1.8365,4.7527,0.95,268.4292,250.587,29.0723,68312296.4945,68312296.4945
688041.SH,20260528,314.36,1.5669,4.055,0.76,287.116,268.0317,31.0962,73067892.2287,73067892.2287
688041.SH,20260527,316.79,2.0034,5.1846,0.99,289.3354,270.1036,31.3366,73632706.3848,73632706.3848
688041.SH,20260526,341.16,2.2868,5.9177,1.18,311.5934,290.8821,33.7472,79297118.3126,79297118.3126
688041.SH,20260525,329.68,2.224,5.7554,1.23,301.1083,281.094,32.6116,76628778.1841,76628778.1841
688041.SH,20260522,312.4,1.5945,4.1262,0.81,285.3259,266.3606,30.9023,72612321.9628,72612321.9628
688041.SH,20260521,307.0,2.2197,5.7442,1.17,280.3939,261.7564,30.3681,71357179.3937,71357179.3937
688041.SH,20260520,316.74,1.8188,4.7068,0.96,289.2897,270.061,31.3316,73621084.6943,73621084.6943
688041.SH,20260519,312.02,1.8555,4.8018,0.98,284.9788,266.0366,30.8647,72523997.1154,72523997.1154
688041.SH,20260518,303.63,1.5262,3.9496,0.74,277.3159,258.8831,30.0348,70573877.457,70573877.457
688041.SH,20260515,303.01,2.4812,6.421,1.24,276.7497,258.3544,29.9735,70429768.4954,70429768.4954
688041.SH,20260514,325.2,1.8195,4.7086,0.89,297.0166,277.2742,32.1685,75587474.7193,75587474.7193
688041.SH,20260513,348.19,1.7966,4.6492,0.81,318.0141,296.8761,34.4426,80931127.9905,80931127.9905
688041.SH,20260512,349.19,1.8648,4.8257,0.82,318.9275,297.7287,34.5415,81163561.7996,81163561.7996
688041.SH,20260511,349.18,2.3449,6.0681,1.12,318.9183,297.7202,34.5406,81161237.4615,81161237.4615
688041.SH,20260508,323.28,2.1499,5.5636,1.11,295.263,275.6372,31.9785,75141201.8058,75141201.8058
688041.SH,20260507,341.6,2.071,5.3594,1.07,311.9953,291.2573,33.7907,79399389.1886,79399389.1886
688041.SH,20260506,344.41,2.6506,6.8593,1.42,314.5617,293.6532,34.0687,80052528.1921,80052528.1921
688041.SH,20260430,296.25,2.1042,5.4454,1.2,270.5755,252.5907,29.3048,68858515.9459,68858515.9459
688041.SH,20260429,278.77,1.5322,3.9651,0.93,254.6104,237.6868,27.5757,64795572.9628,64795572.9628
688041.SH,20260428,289.0,1.3682,3.5406,0.87,263.9538,246.4091,28.5876,67173370.8299,67173370.8299
688041.SH,20260427,296.27,1.9938,5.1596,1.42,270.5938,252.6077,29.3067,68863164.6221,68863164.6221
688041.SH,20260424,285.0,2.3286,6.0261,1.9,260.3005,242.9986,28.1919,66243635.5935,66243635.5935
688041.SH,20260423,263.4,1.5533,4.0196,1.4,240.5725,224.5819,26.0553,61223065.3169,61223065.3169
688041.SH,20260422,259.2,1.0315,2.6695,0.85,236.7364,221.0008,25.6398,60246843.3187,60246843.3187
688041.SH,20260421,252.55,0.9202,2.3812,0.72,230.6628,215.3309,24.982,58701158.4882,58701158.4882
688041.SH,20260420,261.78,1.1985,3.1015,0.86,239.0929,223.2006,25.895,60846522.5462,60846522.5462
688041.SH,20260417,260.0,1.4091,3.6855,1.03,237.4671,221.6829,25.719,60432790.366,60432790.366
688041.SH,20260416,253.0,1.0077,2.6357,0.75,231.0738,215.7146,25.0265,58805753.7023,58805753.7023
688041.SH,20260415,252.0,1.5614,4.084,1.21,230.1604,214.8619,24.9276,58573319.8932,58573319.8932
688041.SH,20260414,248.78,1.1929,3.1202,0.97,227.2195,212.1165,24.6091,57824883.0279,57824883.0279
688041.SH,20260413,245.25,1.8355,4.801,1.91,223.9954,209.1067,24.2599,57004391.6818,57004391.6818
688041.SH,20260410,231.82,1.2675,3.3152,1.55,211.7293,197.6559,22.9314,53882805.6256,53882805.6256
688041.SH,20260409,227.0,0.8448,2.2097,1.03,207.3271,193.5463,22.4546,52762474.6657,52762474.6657
