ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
601985.SH,20260430,20260331,0.1,0.1,0.9201,0.9201,2.1217,0.3484,2.3618,27487161.57,2036928966.29,7475661090.84,0.9625,0.5923,0.5161,0.7325,0.209,0.0528,0.0248,4523673277.3,6955241476.81,,-16833431406.4534,3649764734.8566,39741753914.44,33334895433.87,466453794548.79,444690745623.41,103090951953.39,-3701003384.87,33518012621.05,703888574783.33,55744252303.68,0.1004,5.8332,0.3953,2.7102,0.3,0.3382,-0.8184,0.1774,21.8732,39.5018,60.4982,13.7634,21.8732,0.0946,4.4811,9.1877,,76.0967,27.7813,36.7519,1.7225,1.73,1.6996,0.9114,0.5424,0.7846,6.89,3.6456,69.4407,3.2723,6.3674,12.23,87.77,13.2684,66.2681,17.1869,18.2981,81.7019,0.0824,2.2723,0.2242,0.2594,0.1911,0.221,0.2318,0.0151,410.4987,2.1696,0.2705,609740006358.51,28.0446,0.0946,76.0967,1.7225,1.6996,0.5424,42.9644,-34.2105,-34.2105,41.6846,-31.471,-30.7122,-34.1913,-34.99,41.7109,-38.1784,1.9202,3.6974,1.9026,-6.6485,-6.6485,-6.6485,60.2696,6.4493
601985.SH,20260430,20260331,0.1,0.1,0.9201,0.9201,2.1217,0.3484,2.3618,27487161.57,2036928966.29,7475661090.84,0.9625,0.5923,0.5161,0.7325,0.209,0.0528,0.0248,4523673277.3,6955241476.81,,-16833431406.4534,3649764734.8566,39741753914.44,33334895433.87,466453794548.79,444690745623.41,103090951953.39,-3701003384.87,33518012621.05,703888574783.33,55744252303.68,0.1004,5.8332,0.3953,2.7102,0.3,0.3382,-0.8184,0.1774,21.8732,39.5018,60.4982,13.7634,21.8732,0.0946,4.4811,9.1877,,76.0967,27.7813,36.7519,1.7225,1.73,1.6996,0.9114,0.5424,0.7846,6.89,3.6456,69.4407,3.2723,6.3674,12.23,87.77,,66.2681,17.1869,18.2981,81.7019,0.0824,2.2723,0.2242,0.2594,0.1911,0.221,0.2318,0.0151,410.4987,2.1696,0.2705,609740006358.51,28.0446,0.0946,76.0967,1.7225,1.6996,0.5424,42.9644,-34.2105,-34.2105,41.6846,-31.471,-30.7122,-34.1913,-34.99,41.7109,-38.1784,1.9202,3.6974,1.9026,-6.6485,-6.6485,,,6.4493
601985.SH,20260430,20251231,0.453,0.453,3.9904,3.9904,2.1122,0.3484,2.2614,156660680.01,9147550856.73,33914388480.64,0.8158,0.4716,0.4093,3.2814,0.9641,0.2521,0.1165,19665973634.25,29683970397.83,51286601126.17,-56516072125.928,1153157528.532,38771136457.84,31656581965.13,446608530584.17,431026887837.59,100807877577.47,-19436046354.54,31724648891.07,678834275684.34,53679836175.82,0.4524,5.7233,1.8188,2.6099,-0.2061,1.4432,-2.7478,0.0561,21.8952,41.321,58.679,15.2206,21.8952,0.1214,6.7721,8.3271,-0.6041,76.0392,28.172,36.1667,8.1283,8.21,7.9914,4.2135,2.5508,3.5984,8.1283,4.2135,69.0061,3.2264,6.1546,11.4883,88.5117,13.4543,65.7905,17.4885,20.4074,79.5926,0.3545,2.2264,0.2296,0.2658,0.195,0.2257,0.2339,0.0724,362.2168,2.5508,1.3207,592462962485.4,28.3752,0.1324,89.0155,1.1065,1.011,0.3366,34.9402,-2.1598,-2.1598,-15.6557,3.3074,3.2138,6.0026,6.75,-8.1338,-1.5875,-1.046,13.5694,7.7126,6.2163,6.2163,0.7619,-44.7155,7.7126
601985.SH,20260430,20251231,0.453,0.453,3.9904,3.9904,2.1122,0.3484,2.2614,156660680.01,9147550856.73,33914388480.64,0.8158,0.4716,0.4093,3.2814,0.9641,0.2521,0.1165,19665973634.25,29683970397.83,51286601126.17,-56516072125.928,1153157528.532,38771136457.84,31656581965.13,446608530584.17,431026887837.59,100807877577.47,-19436046354.54,31724648891.07,678834275684.34,53679836175.82,0.4524,5.7233,1.8188,2.6099,-0.2061,1.4432,-2.7478,0.0561,21.8952,41.321,58.679,15.2206,21.8952,0.1214,6.7721,8.3271,-0.6041,76.0392,28.172,36.1667,8.1283,8.21,7.9914,4.2135,2.5508,3.5984,8.1283,4.2135,69.0061,3.2264,6.1546,11.4883,88.5117,,65.7905,17.4885,20.4074,79.5926,0.3545,2.2264,0.2296,0.2658,0.195,0.2257,0.2339,0.0724,362.2168,2.5508,1.3207,592462962485.4,28.3752,0.1324,89.0155,1.1065,1.011,0.3366,34.9402,-2.1598,-2.1598,-15.6557,3.3074,3.2138,6.0026,6.75,-8.1338,-1.5875,-1.046,13.5694,7.7126,6.2163,6.2163,,,7.7126
601985.SH,20251030,20250930,0.389,0.389,2.9966,2.9966,2.0373,0.3133,2.2545,44247619.64,7958193718.82,27107369052.66,0.881,0.5361,0.4654,2.462,0.7142,0.1899,0.0893,17420644585.27,24716839025.9,,-48876420762.1956,-9437374915.2656,39480910706.33,32682504132.65,424732473135.91,405929578748.33,98504630568.82,-11947330433.47,30137604020.32,648553540550.06,52814896915.88,0.3891,5.6192,1.4715,2.5678,-0.046,1.2017,-2.3763,-0.4588,25.143,43.9807,56.0193,14.2733,25.143,0.1178,5.6511,8.5044,0.0081,71.7356,32.1926,40.1022,7.0571,7.11,7.0181,3.581,2.2452,3.1057,9.4095,4.7747,68.9447,3.2201,6.0869,12.2685,87.7315,13.6676,65.4892,17.9746,20.1991,79.8009,0.3016,2.2201,0.2346,0.2745,0.1982,0.2319,0.2427,0.0609,367.0304,2.9936,1.1594,563296503638.82,32.2013,0.1557,74.3056,2.024,2.016,0.6099,55.8651,-17.5847,-17.5847,-15.4019,0.3678,0.0475,-10.4225,-10.24,-7.8505,-25.6408,-2.8459,9.2427,5.7686,8.158,8.158,5.7152,-4.8465,20.4659
601985.SH,20251030,20250930,0.389,0.389,2.9966,2.9966,2.0373,0.3133,2.2545,44247619.64,7958193718.82,27107369052.66,0.881,0.5361,0.4654,2.462,0.7142,0.1899,0.0893,17420644585.27,24716839025.9,,-48876420762.1956,-9437374915.2656,39480910706.33,32682504132.65,424732473135.91,405929578748.33,98504630568.82,-11947330433.47,30137604020.32,648553540550.06,52814896915.88,0.3891,5.6192,1.4715,2.5678,-0.046,1.2017,-2.3763,-0.4588,25.143,43.9807,56.0193,14.2733,25.143,0.1178,5.6511,8.5044,0.0081,71.7356,32.1926,40.1022,7.0571,7.11,7.0181,3.581,2.2452,3.1057,9.4095,4.7747,68.9447,3.2201,6.0869,12.2685,87.7315,,65.4892,17.9746,20.1991,79.8009,0.3016,2.2201,0.2346,0.2745,0.1982,0.2319,0.2427,0.0609,367.0304,2.9936,1.1594,563296503638.82,32.2013,0.1557,74.3056,2.024,2.016,0.6099,55.8651,-17.5847,-17.5847,-15.4019,0.3678,0.0475,-10.4225,-10.24,-7.8505,-25.6408,-2.8459,9.2427,5.7686,8.158,8.158,,,20.4659
601985.SH,20250828,20250630,0.275,0.275,1.9921,1.9921,2.0359,0.3133,2.1397,35076986.65,5631262882.61,18557675365.84,0.9088,0.6057,0.5427,1.555,0.4345,0.1277,0.0594,12111742086.0,17148794557.25,27720855946.0,-23250353729.4145,21251760183.3055,44015310949.91,30775876492.38,429159624472.24,397477017136.12,96565402114.8,-10473273386.85,28707859065.59,645410452783.95,50452495446.68,0.2755,5.5071,0.9103,2.453,0.5809,0.8338,-1.1304,1.0332,27.0975,45.2925,54.7075,14.1178,27.0975,0.0987,5.4661,8.5529,0.0122,70.4397,33.9444,41.8539,5.0483,5.07,5.017,2.4854,1.6091,2.206,10.0966,4.9708,69.9736,3.3304,6.1471,14.4967,85.5033,13.4081,66.4941,17.7049,22.7957,77.2043,0.163,2.3304,0.2267,0.2663,0.1916,0.225,0.2429,0.0372,380.7343,3.2182,0.8212,548989035164.26,33.9845,0.1305,74.3438,2.2195,2.192,0.7007,62.7332,-11.5756,-11.5756,-12.1671,5.196,4.5955,-3.6641,-3.27,-4.3285,-21.3844,-4.7841,9.1646,3.6767,9.4331,9.4331,6.413,-18.7178,22.5405
601985.SH,20250828,20250630,0.275,0.275,1.9921,1.9921,2.0359,0.3133,2.1397,35076986.65,5631262882.61,18557675365.84,0.9088,0.6057,0.5427,1.555,0.4345,0.1277,0.0594,12111742086.0,17148794557.25,27720855946.0,-23250353729.4145,21251760183.3055,44015310949.91,30775876492.38,429159624472.24,397477017136.12,96565402114.8,-10473273386.85,28707859065.59,645410452783.95,50452495446.68,0.2755,5.5071,0.9103,2.453,0.5809,0.8338,-1.1304,1.0332,27.0975,45.2925,54.7075,14.1178,27.0975,0.0987,5.4661,8.5529,0.0122,70.4397,33.9444,41.8539,5.0483,5.07,5.017,2.4854,1.6091,2.206,10.0966,4.9708,69.9736,3.3304,6.1471,14.4967,85.5033,,66.4941,17.7049,22.7957,77.2043,0.163,2.3304,0.2267,0.2663,0.1916,0.225,0.2429,0.0372,380.7343,3.2182,0.8212,548989035164.26,33.9845,0.1305,74.3438,2.2195,2.192,0.7007,62.7332,-11.5756,-11.5756,-12.1671,5.196,4.5955,-3.6641,-3.27,-4.3285,-21.3844,-4.7841,9.1646,3.6767,9.4331,9.4331,,,22.5405
601985.SH,20250429,20250331,0.152,0.152,0.9856,0.9856,1.9662,0.3133,2.1779,3694334.31,3133300538.09,9703394524.95,0.8837,0.5825,0.5069,0.7788,0.2293,0.0649,0.0301,6800826348.65,9248603742.94,,,,36281963841.68,27240312038.82,407446338619.29,384778323361.47,97212073411.57,-12191841899.09,33715278685.67,624176443152.03,51239072301.66,0.1525,5.4768,0.279,2.4912,0.1392,0.4497,,,30.4347,47.8643,52.1357,12.7241,30.4347,0.0663,4.222,8.4359,0.0001,66.4533,37.8442,45.621,2.8026,2.82,2.7993,1.3728,0.9158,1.2238,11.2104,5.4912,68.4847,3.1731,6.019,13.4747,86.5253,14.1359,65.2774,18.2075,22.2641,77.7359,0.0547,2.1731,0.2413,0.2789,0.2064,0.2386,0.2526,0.0122,383.0215,3.6632,0.4656,533736793314.93,37.7845,0.0663,66.4533,2.8026,2.7993,0.9158,28.3026,-6.1728,-6.1728,-44.4444,13.4561,12.2539,2.5527,2.95,-39.4961,-15.1072,3.1412,4.238,3.1119,12.6991,12.6991,12.6991,193.6202,20.8025
601985.SH,20250429,20250331,0.152,0.152,0.9856,0.9856,1.9662,0.3133,2.1779,3694334.31,3133300538.09,9703394524.95,0.8837,0.5825,0.5069,0.7788,0.2293,0.0649,0.0301,6800826348.65,9248603742.94,,-23368006300.9425,-2291264734.4225,36281963841.68,27240312038.82,407446338619.29,384778323361.47,97212073411.57,-12191841899.09,33715278685.67,624176443152.03,51239072301.66,0.1525,5.4768,0.279,2.4912,0.1392,0.4497,-1.1361,-0.1114,30.4347,47.8643,52.1357,12.7241,30.4347,0.0663,4.222,8.4359,0.0001,66.4533,37.8442,45.621,2.8026,2.82,2.7993,1.3728,0.9158,1.2228,11.2104,5.4912,68.4847,3.1731,6.019,13.4747,86.5253,,65.2774,18.2075,22.2641,77.7359,0.0547,2.1731,0.2413,0.2789,0.2064,0.2386,0.2526,0.0122,383.0215,3.6632,0.4656,533736793314.93,37.7845,0.0663,66.4533,2.8026,2.7993,0.9158,28.3026,-6.1728,-6.1728,-44.4444,13.4561,12.2539,2.5527,2.95,-39.4961,-15.1072,-5.3079,4.238,3.1119,12.6991,12.6991,,,20.8025
601985.SH,20250429,20241231,0.463,0.463,4.0921,4.0921,2.1292,0.3413,2.2061,208027921.52,8569314128.82,33156362810.65,0.8274,0.5241,0.4572,3.3585,1.0139,0.2682,0.1289,19207440354.34,29118314395.82,47427886407.76,-49799205519.2404,6266599918.9096,40334463951.8,25152524325.61,384884220719.79,365146203280.94,93952077972.5,-17561437665.79,24109196666.66,594252180563.86,48102077429.26,0.4648,5.7838,2.1564,2.5473,0.5427,1.542,-2.6372,0.3319,21.4218,42.9086,57.0914,15.9278,21.4218,0.0809,6.9904,8.8565,-0.6452,75.1431,28.9652,37.6829,8.7264,9.44,8.5196,4.8571,2.7611,3.9614,8.7264,4.8571,68.265,3.1511,5.9603,12.7598,87.2402,14.2408,64.7678,18.5472,22.5909,77.4091,0.4002,2.1511,0.2447,0.2864,0.2086,0.2441,0.2573,0.0904,342.762,2.7611,1.4641,515379810622.53,29.2006,0.0843,91.4404,-0.1509,-0.287,0.0379,38.823,-16.426,-16.426,-5.5784,-1.1651,-1.8156,-17.3806,-17.57,-5.5779,-31.8236,21.4191,22.3399,21.1847,3.0883,3.0883,7.5172,-60.0962,21.1847
601985.SH,20241030,20240930,0.472,0.472,3.0178,3.0178,1.4716,0.2998,2.2758,67219832.81,8866324133.14,26933250877.53,0.6997,0.4294,0.3488,2.4555,0.8009,0.2041,0.0992,17471025049.29,24861986442.11,,-48228846060.7481,-21579012540.0581,40816473254.78,24360274529.78,356912728516.38,347461789367.64,82868967990.33,-31780330934.43,23795548585.67,544115648100.72,48635945042.21,0.4731,5.0717,1.7394,2.5756,-0.0067,1.3166,-2.554,-1.1428,28.6259,47.2631,52.7369,15.133,28.6259,0.0797,5.7724,9.281,0.001,69.3414,34.6913,43.6284,9.518,9.57,9.4463,4.3292,2.8406,3.9762,12.6907,5.7723,69.2754,3.2547,6.1185,12.1556,87.8444,13.6009,65.595,17.7848,25.076,74.924,0.3103,2.2547,0.2293,0.2711,0.1963,0.2322,0.2385,0.0778,359.0347,3.7875,1.5556,484589549620.35,34.8118,0.063,70.679,3.212,3.2046,0.9051,67.9163,-2.8807,-2.8807,-4.355,0.528,-0.7394,-4.2201,-3.02,-4.3577,-11.1439,6.47,12.9852,6.3997,1.5984,1.5984,-1.2467,1.3791,7.7921
601985.SH,20240831,20240630,0.311,0.311,1.9828,1.9828,1.4487,0.2998,2.1142,60203906.58,5821654034.83,17787196235.53,0.8139,0.5495,0.4814,1.6594,0.4785,0.1348,0.0657,11740341470.46,16698961058.4,25474153923.78,-15839915063.5635,26036027245.0265,38048602939.03,25401379112.01,363827940027.62,337612864063.52,79580238901.55,-20180448748.0,23978811798.46,536528061272.46,45584259022.29,0.3115,4.8853,1.0364,2.414,0.873,0.8843,-0.8388,1.3788,28.9519,47.5071,52.4929,14.6259,28.9519,0.0883,5.2747,9.2629,0.0016,68.6432,35.3116,44.6006,6.3864,6.36,6.321,2.9316,1.903,2.6642,12.7728,5.8632,71.2156,3.4741,6.1848,14.7076,85.2924,13.2639,67.8115,17.3803,25.3753,74.6247,0.1805,2.4741,0.2182,0.2563,0.1862,0.2187,0.2357,0.0458,362.8539,3.806,1.0326,462790006631.59,35.5563,0.1241,71.0783,3.0139,2.9661,0.8913,51.8567,-0.9554,-0.9554,-10.8166,3.5583,1.7822,-2.6543,-1.13,-10.8134,-4.3352,2.5569,11.258,2.5296,3.1497,3.1497,5.6966,-4.4833,1.7571
601985.SH,20240427,20240331,0.162,0.162,0.9526,0.9526,1.4476,0.2998,2.1611,15406825.12,3043504084.12,8845121290.56,0.8081,0.5391,0.4346,0.8292,0.2455,0.0648,0.0326,6114258752.15,8514291625.44,,-18493697853.6228,194926834.6472,36503712046.93,25890173412.81,334718362132.64,316850138083.07,81577534900.3,-18591502839.22,23928348685.05,503307482212.41,46469852539.19,0.162,4.929,0.5022,2.4609,0.4261,0.4509,-0.9794,0.0103,31.382,49.1714,50.8286,13.9039,31.382,0.0497,4.4825,9.3717,,66.0099,37.5917,47.3323,3.3065,3.34,3.2898,1.5411,1.0218,1.4265,13.226,6.1644,70.1982,3.3555,5.972,13.8413,86.1587,14.4206,66.5038,18.6917,24.3991,75.6009,0.0979,2.3555,0.2369,0.2811,0.2054,0.2437,0.2575,0.0239,369.0304,4.0872,0.5537,446559856303.51,37.9343,0.0497,66.0099,3.3065,3.2898,1.0218,52.7185,3.1847,3.1847,-1.1223,1.9584,2.8773,1.1834,0.85,-1.0604,-1.2862,3.4743,4.9019,3.4381,0.5301,0.5301,0.5301,126.8713,2.5018
601985.SH,20240427,20231231,0.554,0.554,3.9695,3.9695,1.4477,0.2998,1.9991,227416837.83,10396409868.77,33447507254.26,0.6992,0.4285,0.3379,3.8862,1.1188,0.2746,0.1493,19495010993.43,29732105142.74,46518946113.97,-29411662599.3383,18221551462.3917,33053226932.1,21992442824.48,321423578028.09,311649758909.23,78695884921.68,-29357646674.84,25413286676.64,484221580719.44,43410941629.95,0.5626,4.7635,2.2838,2.2989,-0.3317,1.5745,-1.5576,0.965,25.8956,44.6222,55.3778,16.8481,25.8956,0.1536,6.9533,9.7412,-0.2778,73.9918,30.2117,39.6655,11.8312,12.19,11.5779,5.9234,3.8671,5.5898,11.8312,5.9234,69.8113,3.3125,5.5899,12.6543,87.3457,14.5931,66.3794,18.7826,25.9246,74.0754,0.4419,2.3125,0.2416,0.283,0.209,0.2448,0.2525,0.1146,316.6694,3.8671,2.1165,430919279119.31,30.659,0.251,89.2477,1.435,1.3879,0.5074,46.5595,18.3761,18.6296,-7.7588,15.2745,17.4319,17.907,15.06,-7.6486,15.0333,8.716,16.0086,2.4981,5.1505,5.1505,1.5352,-56.7934,2.4981
601985.SH,20240427,20231231,0.554,0.554,3.9695,3.9695,1.4477,0.2998,1.9991,227416837.83,10396409868.77,33447507254.26,0.6992,0.4285,0.3379,3.8862,1.1188,0.2746,0.1493,19495010993.43,29732105142.74,46518946113.97,-29411662599.3383,18221551462.3917,33053226932.1,21992442824.48,321423578028.09,311649758909.23,78695884921.68,-29357646674.84,25413286676.64,484221580719.44,43410941629.95,0.5626,4.7635,2.2838,2.2989,-0.3317,1.5745,-1.5576,0.965,25.8956,44.6222,55.3778,16.8481,25.8956,0.1536,6.9533,9.7412,-0.2778,73.9918,30.2117,39.6655,11.8312,12.19,11.5779,5.9234,3.8671,5.5898,11.8312,5.9234,69.8113,3.3125,5.5899,12.6543,87.3457,,66.3794,18.7826,25.9246,74.0754,0.4419,2.3125,0.2416,0.283,0.209,0.2448,0.2525,0.1146,316.6694,3.8671,2.1165,430919279119.31,30.659,0.251,89.2477,1.435,1.3879,0.5074,46.5595,18.3761,18.6296,-7.7588,15.2745,17.4319,17.907,15.06,-7.6486,15.0333,8.716,16.0086,2.4981,5.1505,5.1505,,,2.4981
601985.SH,20231027,20230930,0.486,0.486,2.9703,2.9703,1.4486,0.2592,1.9725,184911394.81,9142252191.34,27051884967.54,0.9314,0.611,0.4932,2.9323,0.798,0.2092,0.1151,17466277846.74,25078772835.08,,-32578306989.8362,-1547484251.2362,32200869184.04,23755934622.39,298320838007.79,281605020050.67,78803245542.31,-5514238330.57,25904870103.57,453730065022.83,42140578509.5,0.4939,4.7012,1.8186,2.2316,0.0371,1.3281,-1.7252,-0.0819,29.8623,48.2301,51.7699,15.5834,29.8623,0.1208,5.8348,9.6278,-0.0002,68.8599,35.0607,44.7123,10.4556,10.71,10.2483,5.148,3.4382,4.8428,13.9408,6.864,69.5089,3.2796,5.4609,14.6799,85.3201,15.4611,65.7485,19.7859,22.6759,77.3241,0.4275,2.2796,0.2534,0.3009,0.2224,0.2642,0.2798,0.0969,328.7332,4.5843,1.9146,402554746250.32,35.6317,0.1345,68.4501,3.6215,3.5877,1.1796,62.6416,15.1659,15.4394,1.112,12.8417,14.99,16.1039,13.94,1.2869,17.4421,7.2941,9.6452,1.1741,6.4252,6.4252,9.1609,12.4527,-1.1081
