ts_code,trade_date,adj_factor
600406.SH,20260529,52.0823
600406.SH,20260528,52.0823
600406.SH,20260527,52.0823
600406.SH,20260526,52.0823
600406.SH,20260525,52.0823
600406.SH,20260522,52.0823
600406.SH,20260521,52.0823
600406.SH,20260520,52.0823
600406.SH,20260519,52.0823
600406.SH,20260518,52.0823
600406.SH,20260515,52.0823
600406.SH,20260514,52.0823
600406.SH,20260513,52.0823
600406.SH,20260512,52.0823
600406.SH,20260511,52.0823
600406.SH,20260508,52.0823
600406.SH,20260507,52.0823
600406.SH,20260506,52.0823
600406.SH,20260430,52.0823
600406.SH,20260429,52.0823
600406.SH,20260428,52.0823
600406.SH,20260427,52.0823
600406.SH,20260424,52.0823
600406.SH,20260423,52.0823
600406.SH,20260422,52.0823
600406.SH,20260421,52.0823
600406.SH,20260420,52.0823
600406.SH,20260417,52.0823
600406.SH,20260416,52.0823
600406.SH,20260415,52.0823
600406.SH,20260414,52.0823
600406.SH,20260413,52.0823
600406.SH,20260410,52.0823
600406.SH,20260409,52.0823
600406.SH,20260408,52.0823
600406.SH,20260407,52.0823
600406.SH,20260403,52.0823
600406.SH,20260402,52.0823
600406.SH,20260401,52.0823
600406.SH,20260331,52.0823
600406.SH,20260330,52.0823
600406.SH,20260327,52.0823
600406.SH,20260326,52.0823
600406.SH,20260325,52.0823
600406.SH,20260324,52.0823
600406.SH,20260323,52.0823
600406.SH,20260320,52.0823
600406.SH,20260319,52.0823
600406.SH,20260318,52.0823
600406.SH,20260317,52.0823
600406.SH,20260316,52.0823
600406.SH,20260313,52.0823
600406.SH,20260312,52.0823
600406.SH,20260311,52.0823
600406.SH,20260310,52.0823
600406.SH,20260309,52.0823
600406.SH,20260306,52.0823
600406.SH,20260305,52.0823
600406.SH,20260304,52.0823
600406.SH,20260303,52.0823
600406.SH,20260302,52.0823
600406.SH,20260227,52.0823
600406.SH,20260226,52.0823
600406.SH,20260225,52.0823
600406.SH,20260224,52.0823
600406.SH,20260213,52.0823
600406.SH,20260212,52.0823
600406.SH,20260211,52.0823
600406.SH,20260210,52.0823
600406.SH,20260209,52.0823
600406.SH,20260206,52.0823
600406.SH,20260205,52.0823
600406.SH,20260204,52.0823
600406.SH,20260203,52.0823
600406.SH,20260202,52.0823
600406.SH,20260130,52.0823
600406.SH,20260129,52.0823
600406.SH,20260128,52.0823
600406.SH,20260127,52.0823
600406.SH,20260126,52.0823
600406.SH,20260123,52.0823
600406.SH,20260122,52.0823
600406.SH,20260121,52.0823
600406.SH,20260120,52.0823
600406.SH,20260119,52.0823
600406.SH,20260116,52.0823
600406.SH,20260115,52.0823
600406.SH,20260114,52.0823
600406.SH,20260113,52.0823
600406.SH,20260112,52.0823
600406.SH,20260109,52.0823
600406.SH,20260108,52.0823
600406.SH,20260107,52.0823
600406.SH,20260106,52.0823
600406.SH,20260105,52.0823
600406.SH,20251231,52.0823
600406.SH,20251230,52.0823
600406.SH,20251229,52.0823
600406.SH,20251226,52.0823
600406.SH,20251225,52.0823
600406.SH,20251224,52.0823
600406.SH,20251223,52.0823
600406.SH,20251222,52.0823
600406.SH,20251219,52.0823
600406.SH,20251218,52.0823
600406.SH,20251217,52.0823
600406.SH,20251216,52.0823
600406.SH,20251215,52.0823
600406.SH,20251212,52.0823
600406.SH,20251211,52.0823
600406.SH,20251210,52.0823
600406.SH,20251209,52.0823
600406.SH,20251208,52.0823
600406.SH,20251205,52.0823
600406.SH,20251204,52.0823
600406.SH,20251203,52.0823
600406.SH,20251202,52.0823
600406.SH,20251201,52.0823
600406.SH,20251128,52.0823
600406.SH,20251127,52.0823
600406.SH,20251126,52.0823
600406.SH,20251125,52.0823
600406.SH,20251124,52.0823
600406.SH,20251121,52.0823
600406.SH,20251120,52.0823
600406.SH,20251119,52.0823
600406.SH,20251118,52.0823
600406.SH,20251117,52.0823
600406.SH,20251114,52.0823
600406.SH,20251113,52.0823
600406.SH,20251112,52.0823
600406.SH,20251111,52.0823
600406.SH,20251110,52.0823
600406.SH,20251107,52.0823
600406.SH,20251106,52.0823
600406.SH,20251105,52.0823
600406.SH,20251104,52.0823
600406.SH,20251103,52.0823
600406.SH,20251031,52.0823
600406.SH,20251030,52.0823
600406.SH,20251029,52.0823
600406.SH,20251028,52.0823
600406.SH,20251027,52.0823
600406.SH,20251024,52.0823
600406.SH,20251023,52.0823
600406.SH,20251022,52.0823
600406.SH,20251021,52.0823
600406.SH,20251020,52.0823
600406.SH,20251017,52.0823
600406.SH,20251016,52.0823
600406.SH,20251015,52.0823
600406.SH,20251014,52.0823
600406.SH,20251013,52.0823
600406.SH,20251010,52.0823
600406.SH,20251009,52.0823
600406.SH,20250930,52.0823
600406.SH,20250929,51.738
600406.SH,20250926,51.738
600406.SH,20250925,51.738
600406.SH,20250924,51.738
600406.SH,20250923,51.738
600406.SH,20250922,51.738
600406.SH,20250919,51.738
600406.SH,20250918,51.738
600406.SH,20250917,51.738
600406.SH,20250916,51.738
600406.SH,20250915,51.738
600406.SH,20250912,51.738
600406.SH,20250911,51.738
600406.SH,20250910,51.738
600406.SH,20250909,51.738
600406.SH,20250908,51.738
600406.SH,20250905,51.738
600406.SH,20250904,51.738
600406.SH,20250903,51.738
600406.SH,20250902,51.738
600406.SH,20250901,51.738
600406.SH,20250829,51.738
600406.SH,20250828,51.738
600406.SH,20250827,51.738
600406.SH,20250826,51.738
600406.SH,20250825,51.738
600406.SH,20250822,51.738
600406.SH,20250821,51.738
600406.SH,20250820,51.738
600406.SH,20250819,51.738
600406.SH,20250818,51.738
600406.SH,20250815,51.738
600406.SH,20250814,51.738
600406.SH,20250813,51.738
600406.SH,20250812,51.738
600406.SH,20250811,51.738
600406.SH,20250808,51.738
600406.SH,20250807,51.738
600406.SH,20250806,51.738
600406.SH,20250805,51.738
600406.SH,20250804,51.738
600406.SH,20250801,51.738
600406.SH,20250731,51.738
600406.SH,20250730,51.738
600406.SH,20250729,51.738
600406.SH,20250728,51.738
600406.SH,20250725,51.738
600406.SH,20250724,51.738
600406.SH,20250723,51.738
600406.SH,20250722,51.738
600406.SH,20250721,51.738
600406.SH,20250718,51.738
600406.SH,20250717,51.738
600406.SH,20250716,51.738
600406.SH,20250715,51.738
600406.SH,20250714,51.738
600406.SH,20250711,51.738
600406.SH,20250710,51.738
600406.SH,20250709,51.738
600406.SH,20250708,51.738
600406.SH,20250707,51.738
600406.SH,20250704,51.738
600406.SH,20250703,51.738
600406.SH,20250702,51.738
600406.SH,20250701,51.738
600406.SH,20250630,51.738
600406.SH,20250627,51.738
600406.SH,20250626,50.7592
600406.SH,20250625,50.7592
600406.SH,20250624,50.7592
600406.SH,20250623,50.7592
600406.SH,20250620,50.7592
600406.SH,20250619,50.7592
600406.SH,20250618,50.7592
600406.SH,20250617,50.7592
600406.SH,20250616,50.7592
600406.SH,20250613,50.7592
600406.SH,20250612,50.7592
600406.SH,20250611,50.7592
600406.SH,20250610,50.7592
600406.SH,20250609,50.7592
600406.SH,20250606,50.7592
600406.SH,20250605,50.7592
600406.SH,20250604,50.7592
600406.SH,20250603,50.7592
600406.SH,20250530,50.7592
600406.SH,20250529,50.7592
600406.SH,20250528,50.7592
600406.SH,20250527,50.7592
600406.SH,20250526,50.7592
600406.SH,20250523,50.7592
600406.SH,20250522,50.7592
600406.SH,20250521,50.7592
600406.SH,20250520,50.7592
600406.SH,20250519,50.7592
600406.SH,20250516,50.7592
600406.SH,20250515,50.7592
600406.SH,20250514,50.7592
600406.SH,20250513,50.7592
600406.SH,20250512,50.7592
600406.SH,20250509,50.7592
600406.SH,20250508,50.7592
600406.SH,20250507,50.7592
600406.SH,20250506,50.7592
600406.SH,20250430,50.7592
600406.SH,20250429,50.7592
600406.SH,20250428,50.7592
600406.SH,20250425,50.7592
600406.SH,20250424,50.7592
600406.SH,20250423,50.7592
600406.SH,20250422,50.7592
600406.SH,20250421,50.7592
600406.SH,20250418,50.7592
600406.SH,20250417,50.7592
600406.SH,20250416,50.7592
600406.SH,20250415,50.7592
600406.SH,20250414,50.7592
600406.SH,20250411,50.7592
600406.SH,20250410,50.7592
600406.SH,20250409,50.7592
600406.SH,20250408,50.7592
600406.SH,20250407,50.7592
600406.SH,20250403,50.7592
600406.SH,20250402,50.7592
600406.SH,20250401,50.7592
600406.SH,20250331,50.7592
600406.SH,20250328,50.7592
600406.SH,20250327,50.7592
600406.SH,20250326,50.7592
600406.SH,20250325,50.7592
600406.SH,20250324,50.7592
600406.SH,20250321,50.7592
600406.SH,20250320,50.7592
600406.SH,20250319,50.7592
600406.SH,20250318,50.7592
600406.SH,20250317,50.7592
600406.SH,20250314,50.7592
600406.SH,20250313,50.7592
600406.SH,20250312,50.7592
600406.SH,20250311,50.7592
600406.SH,20250310,50.7592
600406.SH,20250307,50.7592
600406.SH,20250306,50.7592
600406.SH,20250305,50.7592
600406.SH,20250304,50.7592
600406.SH,20250303,50.7592
600406.SH,20250228,50.7592
600406.SH,20250227,50.7592
600406.SH,20250226,50.7592
600406.SH,20250225,50.7592
600406.SH,20250224,50.7592
600406.SH,20250221,50.7592
600406.SH,20250220,50.7592
600406.SH,20250219,50.7592
600406.SH,20250218,50.7592
600406.SH,20250217,50.7592
600406.SH,20250214,50.7592
