ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601857.SH,20260529,10.87,0.1172,1.673,1.2,12.6473,12.5258,1.2246,198943802.8882,176009298.5882
601857.SH,20260528,10.8,0.0912,1.3024,0.87,12.5658,12.4452,1.2167,197662656.0434,174875844.0434
601857.SH,20260527,10.8,0.1117,1.5947,1.14,12.5658,12.4452,1.2167,197662656.0434,174875844.0434
601857.SH,20260526,10.96,0.0997,1.4236,1.06,12.752,12.6295,1.2348,200590991.6885,177466597.2885
601857.SH,20260525,10.73,0.0949,1.3554,1.01,12.4844,12.3645,1.2088,196381509.1987,173742389.4987
601857.SH,20260522,11.08,0.09,1.2853,0.86,12.8916,12.7678,1.2483,202787243.4223,179409662.2223
601857.SH,20260521,11.29,0.1294,1.848,1.24,13.1359,13.0098,1.2719,206630683.9565,182810025.8565
601857.SH,20260520,11.63,0.076,1.085,0.69,13.5315,13.4016,1.3102,212853397.2023,188315376.5023
601857.SH,20260519,11.56,0.0793,1.1323,0.66,13.4501,13.3209,1.3024,211572250.3576,187181921.9576
601857.SH,20260518,11.54,0.0957,1.3663,0.78,13.4268,13.2979,1.3001,211206208.402,186858077.802
601857.SH,20260515,11.51,0.1443,2.0606,1.24,13.3919,13.2633,1.2967,210657145.4685,186372311.5685
601857.SH,20260514,11.25,0.1249,1.7837,1.0,13.0894,12.9637,1.2674,205898600.0453,182162337.5453
601857.SH,20260513,11.12,0.104,1.4845,0.83,12.9381,12.8139,1.2528,203519327.3336,180057350.5336
601857.SH,20260512,11.19,0.1336,1.9085,1.13,13.0196,12.8946,1.2607,204800474.1783,181190805.0783
601857.SH,20260511,11.11,0.1075,1.5347,0.91,12.9265,12.8024,1.2517,203336306.3558,179895428.4558
601857.SH,20260508,11.12,0.1111,1.5872,0.94,12.9381,12.8139,1.2528,203519327.3336,180057350.5336
601857.SH,20260507,11.27,0.1666,2.3793,1.55,13.1127,12.9867,1.2697,206264642.0009,182486181.7009
601857.SH,20260506,11.89,0.1083,1.5473,0.98,13.834,13.7012,1.3395,217611942.6256,192525350.5256
601857.SH,20260430,12.22,0.0993,1.4175,0.81,14.218,14.0815,1.3767,223651634.8936,197868779.0936
601857.SH,20260429,12.25,0.1068,1.5256,0.92,14.2529,14.2529,1.4136,224200697.8271,198354545.3271
601857.SH,20260428,12.18,0.1122,1.6022,1.04,14.1714,14.1714,1.4055,222919550.9823,197221090.7823
601857.SH,20260427,11.96,0.1125,1.6065,1.09,13.9155,13.9155,1.3801,218893089.4703,193658805.0703
601857.SH,20260424,11.93,0.1202,1.7159,1.26,13.8806,13.8806,1.3766,218344026.5369,193173038.8369
601857.SH,20260423,11.82,0.1584,2.2622,1.92,13.7526,13.7526,1.364,216330795.7809,191391895.9809
601857.SH,20260422,11.45,0.0759,1.0843,0.87,13.3221,13.3221,1.3213,209559019.6016,185400779.1016
601857.SH,20260421,11.47,0.0704,1.0049,0.77,13.3454,13.3454,1.3236,209925061.5572,185724623.2572
601857.SH,20260420,11.48,0.09,1.2851,0.94,13.357,13.357,1.3247,210108082.5351,185886545.3351
601857.SH,20260417,11.53,0.0821,1.1724,0.83,13.4152,13.4152,1.3305,211023187.4242,186696155.7242
601857.SH,20260416,11.65,0.0949,1.3551,0.92,13.5548,13.5548,1.3443,213219439.158,188639220.658
601857.SH,20260415,11.76,0.1015,1.4492,0.8,13.6828,13.6828,1.357,215232669.914,190420363.514
601857.SH,20260414,11.93,0.0875,1.2489,0.67,13.8806,13.8806,1.3766,218344026.5369,193173038.8369
601857.SH,20260413,12.09,0.1118,1.5973,0.87,14.0667,14.0667,1.3951,221272362.182,195763792.082
601857.SH,20260410,11.99,0.0973,1.3888,0.69,13.9504,13.9504,1.3836,219442152.4038,194144571.3038
601857.SH,20260409,12.1,0.1156,1.6505,0.77,14.0784,14.0784,1.3963,221455383.1598,195925714.1598
601857.SH,20260408,11.98,0.2208,3.1528,1.64,13.9387,13.9387,1.3824,219259131.426,193982649.226
601857.SH,20260407,12.56,0.1101,1.5493,0.74,14.6136,14.6136,1.4493,229874348.1394,203374129.7394
601857.SH,20260403,12.33,0.1009,1.4205,0.65,14.346,14.346,1.4228,225664865.6496,199649921.9496
601857.SH,20260402,12.35,0.1598,2.2497,1.02,14.3692,14.3692,1.4251,226030907.6052,199973766.1052
601857.SH,20260401,12.07,0.1561,2.1971,0.98,14.0435,14.0435,1.3928,220906320.2263,195439947.9263
601857.SH,20260331,12.19,0.1446,2.0359,0.85,14.1831,14.1831,1.4066,223102571.9601,197383012.8601
601857.SH,20260330,12.44,0.1784,2.5108,0.95,14.4739,14.4739,1.4355,227678096.4056,201431064.8056
601857.SH,20260327,12.07,0.1348,1.8968,0.68,13.4146,13.9428,1.4174,220906320.2263,195439947.9263
601857.SH,20260326,11.94,0.1691,2.3796,0.73,13.2701,13.7927,1.4022,218527047.5147,193334960.9147
601857.SH,20260325,11.7,0.1731,2.4346,0.78,13.0034,13.5154,1.374,214134544.0471,189448831.0471
601857.SH,20260324,11.99,0.1992,2.8028,0.91,13.3257,13.8504,1.4081,219442152.4038,194144571.3038
601857.SH,20260323,12.34,0.2588,3.6402,1.31,13.7147,14.2547,1.4492,225847886.6274,199811844.0274
601857.SH,20260320,12.24,0.1892,2.6622,0.94,13.6035,14.1392,1.4374,224017676.8492,198192623.2492
601857.SH,20260319,12.48,0.3356,4.7214,1.82,13.8703,14.4165,1.4656,228410180.3169,202078753.1169
601857.SH,20260318,11.86,0.1334,1.8766,0.62,13.1812,13.7003,1.3928,217062879.6921,192039584.2921
601857.SH,20260317,12.02,0.1729,2.4317,0.7,13.359,13.8851,1.4116,219991215.3372,194630337.5372
601857.SH,20260316,11.99,0.1561,2.1962,0.49,13.3257,13.8504,1.4081,219442152.4038,194144571.3038
601857.SH,20260313,12.05,0.213,2.9959,0.63,13.3924,13.9197,1.4151,220540278.2707,195116103.7707
601857.SH,20260312,12.23,0.2492,3.506,0.67,13.5924,14.1277,1.4362,223834655.8714,198030701.1714
601857.SH,20260311,12.13,0.2928,4.1187,0.65,13.4813,14.0122,1.4245,222004446.0932,196411480.3932
601857.SH,20260310,11.99,0.3238,4.5558,0.65,13.3257,13.8504,1.4081,219442152.4038,194144571.3038
601857.SH,20260309,12.92,0.5048,7.1022,1.0,14.3593,14.9247,1.5173,236463103.3409,209203324.5409
601857.SH,20260306,12.3,0.3152,4.4344,0.68,13.6702,14.2085,1.4445,225115802.7161,199164155.7161
601857.SH,20260305,12.69,0.4365,6.1401,1.12,14.1037,14.6591,1.4903,232253620.851,205479116.751
601857.SH,20260304,13.24,0.6637,9.3375,2.3,14.7149,15.2944,1.5548,242319774.631,214384831.031
601857.SH,20260303,13.15,0.5666,7.9712,2.63,14.6149,15.1904,1.5443,240672585.8307,212927532.3307
601857.SH,20260302,11.95,0.5405,7.6043,3.86,13.2812,13.8042,1.4034,218710068.4925,193496882.9925
601857.SH,20260227,10.86,0.0997,1.4021,0.71,12.0698,12.5451,1.2754,198760781.9103,175847376.5103
601857.SH,20260226,10.89,0.0835,1.1754,0.61,12.1032,12.5798,1.2789,199309844.8438,176333142.7438
601857.SH,20260225,10.99,0.1546,2.1752,1.29,12.2143,12.6953,1.2906,201140054.622,177952363.522
601857.SH,20260224,11.09,0.2008,2.8254,2.11,12.3254,12.8108,1.3024,202970264.4002,179571584.3002
601857.SH,20260213,10.54,0.1609,2.263,1.83,11.7142,12.1754,1.2378,192904110.6202,170665870.0202
601857.SH,20260212,11.04,0.1004,1.4131,1.15,12.2699,12.753,1.2965,202055159.5111,178761973.9111
601857.SH,20260211,10.85,0.071,0.9986,0.74,12.0587,12.5335,1.2742,198577760.9325,175685454.4325
601857.SH,20260210,10.76,0.0683,0.9615,0.62,11.9587,12.4296,1.2636,196930572.1322,174228155.7322
601857.SH,20260209,10.75,0.0764,1.0746,0.56,11.9476,12.418,1.2624,196747551.1544,174066233.6544
601857.SH,20260206,10.77,0.1226,1.7246,0.75,11.9698,12.4411,1.2648,197113593.11,174390077.81
601857.SH,20260205,10.53,0.1002,1.4097,0.51,11.703,12.1639,1.2366,192721089.6424,170503947.9424
601857.SH,20260204,10.56,0.1121,1.5775,0.48,11.7364,12.1985,1.2401,193270152.5758,170989714.1758
601857.SH,20260203,10.47,0.1437,2.0214,0.6,11.6364,12.0946,1.2296,191622963.7754,169532415.4754
601857.SH,20260202,10.68,0.1999,2.8122,0.78,11.8698,12.3372,1.2542,195466404.3096,172932779.1096
601857.SH,20260130,11.02,0.2602,3.6612,1.1,12.2476,12.7299,1.2941,201689117.5554,178438129.7554
601857.SH,20260129,10.89,0.2609,3.6706,1.18,12.1032,12.5798,1.2789,199309844.8438,176333142.7438
601857.SH,20260128,10.77,0.3056,4.2989,1.71,11.9698,12.4411,1.2648,197113593.11,174390077.81
601857.SH,20260127,10.44,0.1774,2.4959,1.11,11.603,12.0599,1.226,191073900.842,169046649.242
601857.SH,20260126,10.39,0.2709,3.8106,2.29,11.5475,12.0022,1.2202,190158795.9529,168237038.8529
601857.SH,20260123,9.83,0.1658,2.332,1.51,10.9251,11.3553,1.1544,179909621.1951,159169402.4951
601857.SH,20260122,10.15,0.1856,2.6113,1.92,11.2807,11.7249,1.192,185766292.4853,164350908.9853
601857.SH,20260121,10.0,0.096,1.3501,0.8,11.114,11.5517,1.1744,183020977.818,161922077.818
601857.SH,20260120,9.92,0.0776,1.0912,0.59,11.0251,11.4592,1.165,181556809.9955,160626701.1955
601857.SH,20260119,9.82,0.0665,0.9354,0.49,10.914,11.3437,1.1532,179726600.2173,159007480.4173
601857.SH,20260116,9.8,0.1239,1.7436,0.91,10.8917,11.3206,1.1509,179360558.2616,158683636.2616
601857.SH,20260115,9.97,0.1195,1.6808,0.94,11.0807,11.517,1.1708,182471914.8845,161436311.5845
601857.SH,20260114,9.85,0.2155,3.0319,1.92,10.9473,11.3784,1.1567,180275663.1507,159493246.6507
601857.SH,20260113,10.08,0.1272,1.7892,1.15,11.2029,11.6441,1.1838,184485145.6405,163217454.4405
601857.SH,20260112,9.86,0.089,1.2528,0.68,10.9584,11.3899,1.1579,180458684.1285,159655168.7285
601857.SH,20260109,9.87,0.1282,1.8036,1.02,10.9695,11.4015,1.1591,180641705.1064,159817090.8064
601857.SH,20260108,9.8,0.075,1.0553,0.57,10.8917,11.3206,1.1509,179360558.2616,158683636.2616
601857.SH,20260107,9.9,0.1432,2.0147,1.15,11.0029,11.4361,1.1626,181190768.0398,160302857.0398
601857.SH,20260106,10.27,0.1163,1.6363,1.06,11.4141,11.8636,1.2061,187962544.2191,166293973.9191
601857.SH,20260105,10.07,0.1905,2.6795,2.36,11.1918,11.6325,1.1826,184302124.6627,163055532.3627
601857.SH,20251231,10.41,0.1053,1.4819,1.51,11.5697,12.0253,1.2225,190524837.9085,168560883.0085
601857.SH,20251230,10.25,0.1066,1.4997,1.73,11.3919,11.8404,1.2037,187596502.2635,165970129.7635
601857.SH,20251229,10.06,0.1042,1.4626,2.03,11.1807,11.621,1.1814,184119103.6849,162893610.2849
601857.SH,20251226,9.85,0.0433,0.6075,0.77,10.9473,11.3784,1.1567,180275663.1507,159493246.6507
601857.SH,20251225,9.83,0.0436,0.6125,0.73,10.9251,11.3553,1.1544,179909621.1951,159169402.4951
601857.SH,20251224,9.85,0.0519,0.7283,0.83,10.9473,11.3784,1.1567,180275663.1507,159493246.6507
601857.SH,20251223,9.89,0.0651,0.9132,0.95,10.9918,11.4246,1.1614,181007747.062,160140934.962
601857.SH,20251222,9.72,0.0534,0.7488,0.78,10.8028,11.2282,1.1415,177896390.4391,157388259.6391
601857.SH,20251219,9.65,0.0655,0.9193,0.89,10.725,11.1473,1.1333,176615243.5944,156254805.0944
601857.SH,20251218,9.71,0.0647,0.9084,0.86,10.7917,11.2167,1.1403,177713369.4613,157226337.5613
601857.SH,20251217,9.51,0.0634,0.8893,0.86,10.5694,10.9856,1.1168,174052949.9049,153987896.0049
601857.SH,20251216,9.56,0.0947,1.329,1.41,10.625,11.0434,1.1227,174968054.794,154797506.394
601857.SH,20251215,9.5,0.0543,0.7623,0.79,10.5583,10.9741,1.1156,173869928.9271,153825973.9271
601857.SH,20251212,9.53,0.0896,1.2568,1.46,10.5916,11.0087,1.1192,174418991.8606,154311740.1606
601857.SH,20251211,9.66,0.0742,1.0408,1.3,10.7361,11.1589,1.1344,176798264.5722,156416727.1722
601857.SH,20251210,9.6,0.0573,0.8043,1.06,10.6694,11.0896,1.1274,175700138.7053,155445194.7053
601857.SH,20251209,9.72,0.0605,0.8494,1.09,10.8028,11.2282,1.1415,177896390.4391,157388259.6391
601857.SH,20251208,9.85,0.0612,0.8582,1.06,10.9473,11.3784,1.1567,180275663.1507,159493246.6507
601857.SH,20251205,9.9,0.0536,0.7524,0.96,11.0029,11.4361,1.1626,181190768.0398,160302857.0398
601857.SH,20251204,10.01,0.052,0.7297,0.86,11.1251,11.5632,1.1755,183203998.7958,162083999.8958
601857.SH,20251203,9.93,0.0434,0.6086,0.65,11.0362,11.4708,1.1661,181739830.9733,160788623.2733
601857.SH,20251202,10.0,0.0683,0.958,1.01,11.114,11.5517,1.1744,183020977.818,161922077.818
601857.SH,20251201,9.96,0.0709,0.9949,0.85,11.0695,11.5054,1.1697,182288893.9067,161274389.5067
601857.SH,20251128,9.75,0.0461,0.647,0.45,10.8362,11.2629,1.145,178445453.3726,157874025.8726
601857.SH,20251127,9.85,0.0735,1.0313,0.67,10.9473,11.3784,1.1567,180275663.1507,159493246.6507
601857.SH,20251126,9.72,0.0769,1.0785,0.63,10.8028,11.2282,1.1415,177896390.4391,157388259.6391
601857.SH,20251125,9.8,0.0703,0.9866,0.58,10.8917,11.3206,1.1509,179360558.2616,158683636.2616
601857.SH,20251124,9.78,0.1499,2.104,1.39,10.8695,11.2975,1.1485,178994516.306,158359792.106
601857.SH,20251121,10.03,0.1369,1.9211,1.47,11.1473,11.5863,1.1779,183570040.7515,162407844.0515
601857.SH,20251120,10.12,0.1121,1.5727,1.23,11.2474,11.6903,1.1885,185217229.5518,163865142.7518
601857.SH,20251119,10.27,0.1399,1.9633,1.59,11.4141,11.8636,1.2061,187962544.2191,166293973.9191
601857.SH,20251118,9.87,0.0673,0.9438,0.74,10.9695,11.4015,1.1591,180641705.1064,159817090.8064
601857.SH,20251117,9.87,0.0823,1.1552,0.89,10.9695,11.4015,1.1591,180641705.1064,159817090.8064
601857.SH,20251114,9.82,0.0638,0.8947,0.66,10.914,11.3437,1.1532,179726600.2173,159007480.4173
