ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
688111.SH,20260424,20260331,4.74,4.72,3.4815,3.4815,12.0017,0.4998,19.2499,24121938.46,2171041998.7,1396949211.99,3.2259,3.2258,0.9446,2.3738,0.1414,3.5967,0.0841,405210835.64,2404757837.58,,-184225642.8568,-184225642.8568,3575835871.01,1475775638.67,35662298.29,-1038159873.42,14798896489.25,8008150234.53,5438231792.23,15165382643.42,9151472879.12,4.7374,32.6513,0.1289,19.7497,0.8187,5.1897,-0.3976,-0.3976,136.0731,86.5937,13.4063,60.5441,136.0731,16.9173,43.7149,-0.0881,,74.8819,147.9165,149.0654,15.6892,15.7,15.5168,12.5337,11.4413,15.6405,62.7568,50.1348,25.1634,1.3362,1.3713,57.4064,42.5936,73.2003,0.2352,99.7648,70.7194,29.2806,0.0166,0.3362,2.974,424.2497,2.909,414.9732,,0.0117,38.105,45.7652,11.4413,443840653.03,149.1432,16.9173,74.8819,15.6892,15.5168,11.4413,3.7025,444.8276,442.5287,69.3824,470.7789,473.9236,444.966,456.91,69.6009,324.6154,17.6602,11.3528,17.7094,23.954,23.954,23.954,236.4354,28.3434
688111.SH,20260424,20260331,4.74,4.72,3.4815,3.4815,12.0017,0.4998,19.2499,24121938.46,2171041998.7,1396949211.99,3.2259,3.2258,0.9446,2.3738,0.1414,3.5967,0.0841,405210835.64,2404757837.58,,-184225642.8568,-184225642.8568,3575835871.01,1475775638.67,35662298.29,-1038159873.42,14798896489.25,8008150234.53,5438231792.23,15165382643.42,9151472879.12,4.7374,32.6513,0.1289,19.7497,0.8187,5.1897,-0.3976,-0.3976,136.0731,86.5937,13.4063,60.5441,136.0731,16.9173,43.7149,-0.0881,,74.8819,147.9165,149.0654,15.6892,15.7,15.5168,12.5337,11.4413,15.6405,62.7568,50.1348,25.1634,1.3362,1.3713,57.4064,42.5936,,0.2352,99.7648,70.7194,29.2806,0.0166,0.3362,2.974,424.2497,2.909,414.9732,,0.0117,38.105,45.7652,11.4413,443840653.03,149.1432,16.9173,74.8819,15.6892,15.5168,11.4413,3.7025,444.8276,442.5287,69.3824,470.7789,473.9236,444.966,456.91,69.6009,324.6154,17.6602,11.3528,17.7094,23.954,23.954,,,28.3434
688111.SH,20260326,20251231,3.97,3.96,12.8001,12.8001,11.8162,0.5,14.5186,33948526.61,1802520201.2,5095615208.73,2.8431,2.8429,0.795,10.3932,0.685,15.8127,0.348,1301607279.32,1948900718.53,2076669036.97,-2976374975.207,-2976374975.207,3919881691.44,1345725614.65,36747302.71,-657304481.59,12521083522.95,7264544301.53,4875202396.87,12890194384.05,6956308941.96,3.9649,27.7505,5.4007,15.0186,-0.4391,4.2077,-6.426,-6.426,30.7294,85.9476,14.0524,62.5634,30.7294,19.2224,43.3327,0.0082,-0.3469,78.0458,32.8353,32.8721,15.1718,15.2,14.8913,11.441,10.6953,14.8793,15.1718,11.441,29.2047,1.4125,1.4073,61.7218,38.2782,68.9646,0.2851,99.7149,74.3357,25.6643,0.6347,0.4125,2.4241,349.7793,2.3614,340.7348,,0.4718,34.981,10.6953,10.781,453218785.42,32.9376,21.1793,78.5109,5.2679,5.2336,3.7829,69.9806,11.5169,11.236,13.7732,11.8131,11.5608,11.634,15.82,13.9339,-1.3754,13.0311,14.0949,13.1908,15.7768,15.7768,17.1576,53.721,13.1908
688111.SH,20251028,20250930,2.55,2.54,9.0211,9.0211,11.6712,0.4993,13.0917,29665463.05,1148772059.65,3574744093.12,2.3347,2.3345,0.8725,7.7377,0.598,11.1833,0.2568,925471401.58,1239503960.44,,-829722036.8947,-829722036.8947,3348751003.97,1121172212.94,34726699.4,-546780240.21,11786930766.2,4498577155.26,2184080380.1,12163885183.16,6295053682.02,2.5442,26.1867,2.7562,13.591,-0.6821,2.6761,-1.7914,-1.7914,27.8538,85.5532,14.4468,62.2953,27.8538,18.4027,43.9373,-0.0447,-0.0042,77.851,29.6156,29.6647,10.0358,9.97,9.7831,7.6168,7.1518,9.7919,13.3811,10.1557,27.0813,1.3714,1.3859,47.3083,52.6917,70.8613,0.2855,99.7145,74.8248,25.1752,0.3787,0.3714,2.6926,349.2747,2.6166,339.4198,,0.2834,35.2734,9.5357,7.2415,450602079.72,29.737,19.0928,77.182,3.6291,3.5468,2.6087,35.3814,13.3333,12.8889,18.0942,13.1848,12.9,13.3247,15.94,18.2593,0.0127,6.6616,4.5304,6.8125,15.208,15.208,25.3282,28.8855,13.3103
688111.SH,20251028,20250930,2.55,2.54,9.0211,9.0211,11.6712,0.4993,13.0917,29665463.05,1148772059.65,3574744093.12,2.3347,2.3345,0.8725,7.7377,0.598,11.1833,0.2568,925471401.58,1239503960.44,,-829722036.8947,-829722036.8947,3348751003.97,1121172212.94,34726699.4,-546780240.21,11786930766.2,4498577155.26,2184080380.1,12163885183.16,6295053682.02,2.5442,26.1867,2.7562,13.591,-0.6821,2.6761,-1.7914,-1.7914,27.8538,85.5532,14.4468,62.2953,27.8538,18.4027,43.9373,-0.0447,-0.0042,77.851,29.6156,29.6647,10.0358,9.97,9.7831,7.6168,7.1518,9.7919,13.3811,10.1557,27.0813,1.3714,1.3859,47.3083,52.6917,,0.2855,99.7145,74.8248,25.1752,0.3787,0.3714,2.6926,349.2747,2.6166,339.4198,,0.2834,35.2734,9.5357,7.2415,450602079.72,29.737,19.0928,77.182,3.6291,3.5468,2.6087,35.3814,13.3333,12.8889,18.0942,13.1848,12.9,13.3247,15.94,18.2593,0.0127,6.6616,4.5304,6.8125,15.208,15.208,,,13.3103
688111.SH,20250821,20250630,1.62,1.61,5.7367,5.7367,11.5356,0.4993,12.1606,19884324.92,727320191.45,2259401659.23,1.801,1.8008,0.8752,5.0934,0.4157,7.1389,0.1643,578349755.61,777954126.31,839107044.36,746294649.2911,746294649.2911,3679447765.31,1063652316.78,47258465.64,-1031479701.35,11298909389.7,2970844955.16,315703045.0,11683614731.93,5863820661.7,1.6132,25.1228,1.5941,12.6599,0.3915,1.6796,1.6112,1.6112,27.5714,85.0319,14.9681,62.154,27.5714,18.0076,44.3091,-0.1627,-0.0062,78.234,29.2066,29.2781,6.4997,6.35,6.3267,4.8112,4.5307,6.2912,12.9994,9.6224,29.162,1.4117,1.4066,40.6638,59.3362,68.7837,0.4045,99.5955,77.424,22.576,0.1991,0.4117,2.4291,246.228,2.3587,239.0875,,0.1541,35.7852,9.0614,4.621,447751754.3,29.3496,19.2648,80.5629,2.9404,2.8814,2.0926,51.8665,3.8462,3.2051,17.2305,1.9242,1.4628,3.5716,5.77,17.5098,-7.7797,2.3282,3.229,2.4728,10.1172,10.1172,14.1413,-14.3694,12.3089
688111.SH,20250821,20250630,1.62,1.61,5.7367,5.7367,11.5356,0.4993,12.1606,19884324.92,727320191.45,2259401659.23,1.801,1.8008,0.8752,5.0934,0.4157,7.1389,0.1643,578349755.61,777954126.31,839107044.36,746294649.2911,746294649.2911,3679447765.31,1063652316.78,47258465.64,-1031479701.35,11298909389.7,2970844955.16,315703045.0,11683614731.93,5863820661.7,1.6132,25.1228,1.5941,12.6599,0.3915,1.6796,1.6112,1.6112,27.5714,85.0319,14.9681,62.154,27.5714,18.0076,44.3091,-0.1627,-0.0062,78.234,29.2066,29.2781,6.4997,6.35,6.3267,4.8112,4.5307,6.2912,12.9994,9.6224,29.162,1.4117,1.4066,40.6638,59.3362,,0.4045,99.5955,77.424,22.576,0.1991,0.4117,2.4291,246.228,2.3587,239.0875,,0.1541,35.7852,9.0614,4.621,447751754.3,29.3496,19.2648,80.5629,2.9404,2.8814,2.0926,51.8665,3.8462,3.2051,17.2305,1.9242,1.4628,3.5716,5.77,17.5098,-7.7797,2.3282,3.229,2.4728,10.1172,10.1172,,,12.3089
688111.SH,20250424,20250331,0.87,0.87,2.8129,2.8129,11.8244,0.4998,12.3287,12969658.96,389837879.31,1118714942.64,1.998,1.9977,0.8691,2.4188,0.2124,4.4147,0.0818,314850233.64,418188772.94,,-286002578.8753,-286002578.8753,3041435310.31,977905307.05,57940788.35,-433133371.86,11444021729.07,3072469588.21,1033470146.1,11879718198.26,5935417058.82,0.8706,25.479,0.0761,12.8285,-0.8783,0.9039,-0.6182,-0.6182,30.3026,85.9578,14.0422,60.7551,30.3026,16.698,44.1317,-0.0746,0.0,75.8081,32.1225,32.1321,3.4809,3.48,3.3688,2.6291,2.4794,3.3582,13.9236,10.5164,25.6448,1.3449,1.3745,38.6885,61.3115,71.9792,0.4877,99.2319,75.5069,24.4931,0.0114,0.3449,2.8913,203.4571,2.8068,197.5124,,0.0086,37.7348,9.9176,2.5324,442535757.0,32.2114,16.698,75.8081,3.4809,3.3688,2.4794,2.706,10.1266,10.1266,-77.099,7.566,7.6755,9.7517,10.72,-77.0487,-3.7602,3.779,-0.0869,3.8123,6.2166,6.2166,6.2166,-35.4585,14.0398
688111.SH,20250424,20250331,0.87,0.87,2.8129,2.8129,11.8244,0.4998,12.3287,12969658.96,389837879.31,1118714942.64,1.998,1.9977,0.8691,2.4188,0.2124,4.4147,0.0818,314850233.64,418188772.94,,-286002578.8753,-286002578.8753,3041435310.31,977905307.05,57940788.35,-433133371.86,11444021729.07,3072469588.21,1033470146.1,11879718198.26,5935417058.82,0.8706,25.479,0.0761,12.8285,-0.8783,0.9039,-0.6182,-0.6182,30.3026,85.9578,14.0422,60.7551,30.3026,16.698,44.1317,-0.0746,0.0,75.8081,32.1225,32.1321,3.4809,3.48,3.3688,2.6291,2.4794,3.3582,13.9236,10.5164,25.6448,1.3449,1.3745,38.6885,61.3115,,0.4877,99.2319,75.5069,24.4931,0.0114,0.3449,2.8913,203.4571,2.8068,197.5124,,0.0086,37.7348,9.9176,2.5324,442535757.0,32.2114,16.698,75.8081,3.4809,3.3688,2.4794,2.706,10.1266,10.1266,-77.099,7.566,7.6755,9.7517,10.72,-77.0487,-3.7602,3.779,-0.0869,3.8123,6.2166,6.2166,,,14.0398
688111.SH,20250320,20241231,3.56,3.56,11.0715,11.0715,11.7632,0.5,11.4617,88741629.08,1556338879.94,4360076880.92,1.7632,1.7629,0.8265,9.5582,0.6302,28.0101,0.3427,1213198488.19,1732654110.2,1847505893.59,4341864771.6891,4341864771.6891,3366430863.06,996787091.04,113101175.59,-784835117.49,11007129186.91,2642368716.36,456182868.45,11549670802.13,5532609520.55,3.5567,24.5512,4.7469,11.9617,-5.5764,3.7461,9.3873,9.3873,32.3245,85.1438,14.8562,60.0242,32.3245,19.3588,40.9741,-0.3088,-0.1566,76.3086,33.9993,33.8354,15.4436,15.51,14.6105,11.5947,11.077,15.1377,15.4436,11.5947,28.1301,1.3914,1.4029,38.3633,61.6367,69.1712,0.9793,98.3193,77.3478,22.6522,0.6341,0.3914,2.5368,100.4018,2.459,97.3211,,0.4905,38.6355,11.077,11.0087,431610661.97,34.1823,20.3983,72.3837,5.4869,5.1271,4.024,74.7037,24.4755,24.9123,6.5235,24.3091,25.9442,24.8413,23.3,6.7083,9.3756,13.942,13.8748,14.14,12.3985,12.3985,16.2116,95.1631,14.14
