ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
601658.SH,20260430,20260331,0.2,0.2,0.8007,0.8007,2.2623,0.7008,2.5582,46000000.0,25680000000.0,,,,,,,,0.005,17580000000.0,,,,,,,,,,,,,391387000000.0,0.2142,8.5967,2.5634,3.259,-1.8289,,,,26.8776,,,,26.8776,,51.9623,,,,28.7619,,2.2249,2.4275,2.2209,,0.1353,,8.8996,,94.0819,16.8973,16.5158,,,,,,,,,15.8972,0.0628,,,,,0.0168,,0.5412,0.1347,61194000000.0,28.7442,,,2.2249,2.2209,0.1353,320.1327,-16.6667,-16.6667,235.7873,1.1964,1.4274,1.9013,1.43,306.6926,-12.0804,2.26,4.4414,-0.6661,7.6083,7.6083,7.6083,140.7137,15.9028
601658.SH,20260430,20260331,0.2,0.2,0.8007,0.8007,2.2623,0.7008,2.5582,46000000.0,25680000000.0,,,,,,,,0.005,17580000000.0,,,,,,,,,,,,,391387000000.0,0.2142,8.5967,2.5634,3.259,-1.8289,,,,26.8776,,,,26.8776,,51.9623,,,,28.7619,,2.2249,2.4275,2.2209,,0.1353,,8.8996,,94.0819,16.8973,16.5158,,,,,,,,,15.8972,0.0628,,,,,0.0168,,0.5412,0.1347,61194000000.0,28.7442,,,2.2249,2.2209,0.1353,320.1327,-16.6667,-16.6667,235.7873,1.1964,1.4274,1.9013,1.43,306.6926,-12.0804,2.26,4.4414,-0.6661,7.6083,7.6083,,,15.9028
601658.SH,20260328,20251231,0.73,0.73,2.9621,2.9621,2.2623,0.7008,2.376,-567000000.0,87971000000.0,,,,,,,,0.0199,54474000000.0,,,,,,,,,,,,,369499000000.0,0.7278,8.4113,3.4311,3.0767,2.345,,,,24.632,,,,24.632,,62.0966,,,,27.7965,,7.9828,8.67,8.0346,,0.49,,7.9828,,93.7783,16.0728,16.3333,,,,,,,,,15.0727,0.0662,,,,,0.0235,,0.49,0.4887,62310000000.0,27.6113,,,0.9331,0.9638,0.0581,68.488,-9.8765,-9.8765,-14.3595,5.6422,3.8365,1.0696,2.7987,3.7211,-10.2973,0.5295,9.3483,12.6717,1.9935,1.9935,2.5128,-60.7542,12.6717
601658.SH,20251031,20250930,0.66,0.66,2.2073,2.2073,2.2623,0.629,2.6838,-210000000.0,76772000000.0,,,,,,,,0.0149,56073000000.0,,,,,,,,,,,,,397851000000.0,0.6375,8.4405,2.9142,3.3128,1.0019,,,,28.9701,,,,28.9701,,57.4042,,,,32.9674,,6.9813,8.0025,7.0005,,0.4303,,9.3084,,93.7338,15.9586,16.2723,,,,,,,,,14.9585,0.0667,,,,,0.0201,,0.5737,0.429,60777000000.0,32.881,,,2.3745,2.3836,0.1488,194.1717,-7.0423,-7.0423,2.8408,5.208,4.8087,0.9813,1.54,24.5515,-10.5345,0.84,8.9011,13.0133,1.8172,1.8172,,,12.8718
601658.SH,20251031,20250930,,,2.2073,2.2073,2.2623,0.629,2.6838,,,,,,,,,,0.0149,56073000000.0,,,,,,,,,,,,,397851000000.0,0.6375,8.4405,2.9142,3.3128,1.0019,,,,28.9701,,,,28.9701,,57.4042,,,,32.9674,,6.9813,,,,0.4303,,9.3084,,93.7338,15.9586,16.2723,,,,,,,,,14.9585,0.0667,,,,,0.0201,,0.5737,0.429,60777000000.0,32.881,,,2.3745,,0.1488,194.1717,-7.0423,-7.0423,2.8408,5.208,4.8087,0.9813,,24.5515,-10.5345,0.8785,8.9011,13.0133,1.8172,1.8172,2.482,-4.8892,12.8718
601658.SH,20250830,20250630,0.43,0.43,1.4942,1.4942,2.2623,0.629,2.4567,-105000000.0,49333000000.0,,,,,,,,0.0102,34763000000.0,,,,,,,,,,,,,370576000000.0,0.4099,8.2322,1.5296,3.0857,1.7644,,,,27.5375,,,,27.5375,,54.7006,,,,32.3847,,4.5407,5.455,4.5504,,0.2802,,9.0814,,93.7286,15.9454,16.2686,,,,,,,,,14.9453,0.0668,,,,,0.0108,,0.5604,0.2791,60891000000.0,32.3206,,,2.2487,2.2519,0.1341,119.8939,-2.2727,-2.2727,15.8437,8.887,8.582,0.8461,1.3289,40.3011,-10.9912,-1.6111,6.4713,10.583,1.5029,1.5029,,,13.299
601658.SH,20250830,20250630,0.43,0.43,1.4942,1.4942,2.2623,0.629,2.4567,-105000000.0,49333000000.0,,,,,,,,0.0102,34763000000.0,,,,,,,,,,,,,370576000000.0,0.4099,8.2322,1.5296,3.0857,1.7644,,,,27.5375,,,,27.5375,,54.7006,,,,32.3847,,4.5407,5.455,4.5504,,0.2802,,9.0814,,93.7286,15.9454,16.2686,,,,,,,,,14.9453,0.0668,,,,,0.0108,,0.5604,0.2791,60891000000.0,32.3206,,,2.2487,2.2519,0.1341,119.8939,-2.2727,-2.2727,15.8437,8.887,8.582,0.8461,1.3289,40.3011,-10.9912,-1.6111,6.4713,10.583,1.5029,1.5029,3.1182,12.6267,13.299
601658.SH,20250430,20250331,0.24,0.24,0.9012,0.9012,1.6405,0.7618,2.8479,-71000000.0,25317000000.0,,,,,,,,0.0051,17198000000.0,,,,,,,,,,,,,357945000000.0,0.2546,8.5144,0.7634,3.6097,0.0706,,,,28.3809,,,,28.3809,,56.6521,,,,30.5842,,2.4947,2.8325,2.5017,,0.1459,,9.9788,,94.3673,17.7535,17.1813,,,,,,,,,16.7534,0.0596,,,,,0.0045,,0.5836,0.1452,60200000000.0,30.4958,,,2.4947,2.5017,0.1459,84.7051,-4.0,-4.0,-66.3774,-4.8662,-5.2434,-2.6228,-1.9,-66.3796,-1.3859,1.67,3.5381,-3.4353,-0.0749,-0.0749,-0.0749,159.4305,-1.2543
601658.SH,20250430,20250331,0.24,0.24,0.9012,0.9012,1.6405,0.7618,2.8479,-71000000.0,25317000000.0,,,,,,,,0.0051,17198000000.0,,,,,,,,,,,,,357945000000.0,0.2546,8.5144,0.7634,3.6097,0.0706,,,,28.3809,,,,28.3809,,56.6521,,,,30.5842,,2.4947,2.8325,2.5017,,0.1459,,9.9788,,94.3673,17.7535,17.1813,,,,,,,,,16.7534,0.0596,,,,,0.0045,,0.5836,0.1452,60200000000.0,30.4958,,,2.4947,2.5017,0.1459,84.7051,-4.0,-4.0,-66.3774,-4.8662,-5.2434,-2.6228,-1.9,-66.3796,-1.3859,1.67,3.5381,-3.4353,-0.0749,-0.0749,,,-1.2543
601658.SH,20250328,20241231,0.81,0.81,3.5173,3.5173,1.6406,0.7618,2.6557,903000000.0,85576000000.0,,,,,,,,0.0213,57066000000.0,,,,,,,,,,,,,338883000000.0,0.8721,8.367,4.0064,3.4175,-1.1477,,,,24.863,,,,24.863,,64.2348,,,,26.8365,,8.7153,9.84,8.6243,,0.5286,,8.7153,,93.9616,16.5607,16.5336,,,,,,,,,15.5608,0.0641,,,,,0.0247,,0.5286,0.5271,60250000000.0,27.1212,,,1.0347,0.9674,0.0635,131.5077,-2.4096,-2.4096,50.8661,2.2839,3.2675,0.2423,-0.6813,50.8622,-7.0394,5.7067,8.6368,7.8331,1.83,1.83,7.3326,-64.5215,7.8331
