ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
601127.SH,20260430,20260331,0.43,0.43,14.7795,14.7795,21.2576,0.3416,1.0202,651564271.17,102900401.65,6755241086.38,1.0687,1.0421,0.91,15.9825,0.2903,1.7728,0.1924,-167355533.84,629127886.28,,-24745561671.001,-24903490221.001,72245253102.38,3635806067.5,5696769263.78,-58157586736.25,26034562425.29,5052895180.2,-57766324195.79,47866805868.46,2372354034.87,0.4331,23.7144,-12.0267,1.3619,-15.0487,0.3612,-14.2054,-14.296,2.3714,26.2383,73.7617,24.6442,2.3714,14.4451,9.827,0.3722,-0.2036,100.65,3.1289,2.4436,1.835,1.83,0.2503,0.4701,0.4562,0.9479,7.34,1.8804,65.9226,2.9345,3.255,63.5273,36.4727,21.0384,11.9013,86.3023,90.1725,9.8275,-0.2848,1.9345,0.5064,7.2515,0.3191,4.5701,,-0.2568,16.0659,1.8248,0.5638,15217014823.65,3.2971,14.4451,100.65,1.835,0.2503,0.4562,-81.3739,-14.0,-14.0,-157.4484,-9.2429,-4.8119,0.8921,-73.87,-174.5673,-43.5193,0.9579,-14.0078,0.9581,34.4629,34.4629,34.4629,-1.0619,78.6312
601127.SH,20260430,20260331,0.43,0.43,14.7795,14.7795,21.2576,0.3416,1.0202,651564271.17,102900401.65,6755241086.38,1.0687,1.0421,0.91,15.9825,0.2903,1.7728,0.1924,-167355533.84,629127886.28,,-24745561671.001,-24903490221.001,72245253102.38,3635806067.5,5696769263.78,-58157586736.25,26034562425.29,5052895180.2,-57766324195.79,47866805868.46,2372354034.87,0.4331,23.7144,-12.0267,1.3619,-15.0487,0.3612,-14.2054,-14.296,2.3714,26.2383,73.7617,24.6442,2.3714,14.4451,9.827,0.3722,-0.2036,100.65,3.1289,2.4436,1.835,1.83,0.2503,0.4701,0.4562,0.9479,7.34,1.8804,65.9226,2.9345,3.255,63.5273,36.4727,,11.9013,86.3023,90.1725,9.8275,-0.2848,1.9345,0.5064,7.2515,0.3191,4.5701,,-0.2568,16.0659,1.8248,0.5638,15217014823.65,3.2971,14.4451,100.65,1.835,0.2503,0.4562,-81.3739,-14.0,-14.0,-157.4484,-9.2429,-4.8119,0.8921,-73.87,-174.5673,-43.5193,0.9579,-14.0078,0.9581,34.4629,34.4629,,,78.6312
601127.SH,20260331,20251231,3.68,3.67,94.7503,94.7503,21.4774,0.3416,0.5871,820861642.27,5135925807.64,48099805273.39,1.0542,1.0281,0.9607,80.5605,2.0033,13.7861,1.3854,5619468440.08,6859339871.83,11630214489.97,28753961894.9421,32425703344.9421,92581143280.91,3718790742.66,5747601770.34,-81539110181.21,26053787631.88,5082598599.93,-81342882360.66,47605929397.18,1617889362.05,3.4195,23.4894,16.5982,0.9288,24.1274,3.9377,16.5064,18.6142,3.7241,29.1419,70.8581,22.1235,3.7241,14.6584,7.7194,-0.2543,-0.9567,96.5954,4.5548,4.1558,22.4014,23.53,19.3144,5.7576,5.1595,17.8696,22.4014,5.7576,70.9127,3.4379,4.4802,68.6442,31.3558,18.1047,12.0733,85.9518,91.8204,8.1796,0.3086,2.4379,0.401,7.1192,0.2553,4.533,,0.2833,12.2437,5.1595,5.0,15271872434.51,4.5255,15.0482,100.2873,1.8755,1.0722,0.3841,11.4901,-6.599,-6.8528,11.301,52.1177,50.8585,0.1823,-7.84,28.4184,-69.9727,189.1644,52.5009,233.6376,13.6922,13.6922,41.4272,-72.4865,233.6376
601127.SH,20260331,20251231,3.68,3.67,94.7503,94.7503,21.4774,0.3416,0.5871,820861642.27,5135925807.64,48099805273.39,1.0542,1.0281,0.9607,80.5605,2.0033,13.7861,1.3854,5619468440.08,6859339871.83,11630214489.97,28753961894.9421,32425703344.9421,92581143280.91,3718790742.66,5747601770.34,-81539110181.21,26053787631.88,5082598599.93,-81342882360.66,47605929397.18,1617889362.05,3.4195,23.4894,16.5982,0.9288,24.1274,3.9377,16.5064,18.6142,3.7241,29.1419,70.8581,22.1235,3.7241,14.6584,7.7194,-0.2543,-0.9567,96.5954,4.5548,4.1558,22.4014,23.53,19.3144,5.7576,5.1595,17.8696,22.4014,5.7576,70.9127,3.4379,4.4802,68.6442,31.3558,,12.0733,85.9518,91.8204,8.1796,0.3086,2.4379,0.401,7.1192,0.2553,4.533,,0.2833,12.2437,5.1595,5.0,15271872434.51,4.5255,15.0482,100.2873,1.8755,1.0722,0.3841,11.4901,-6.599,-6.8528,11.301,52.1177,50.8585,0.1823,-7.84,28.4184,-69.9727,189.1644,52.5009,233.6376,13.6922,13.6922,,,233.6376
601127.SH,20251031,20250930,3.34,3.33,67.6728,67.6728,15.0974,0.2581,0.6478,544854999.68,4767500495.14,32471176843.43,0.9115,0.8701,0.7455,51.2138,1.5508,9.4291,1.0241,5776110507.08,6252971586.63,,8900304181.2799,12604075631.2799,82722705280.76,4176193593.36,5880704392.72,-53661005342.78,12956009267.3,-7431621966.46,-65971800744.62,34606996330.18,1479800893.62,3.2524,17.0216,13.8667,0.906,12.4593,3.8283,5.4491,7.7166,5.0997,29.3765,70.6235,21.0127,5.0997,14.4662,6.9134,-0.3668,-0.2913,94.7744,6.0648,5.657,26.5175,24.05,23.7978,5.7933,5.2226,20.9722,35.3567,7.7244,76.3581,4.2298,5.3877,63.0035,36.9965,10.6629,16.9928,80.338,90.5205,9.4795,0.2697,3.2298,0.2997,4.7278,0.1396,2.2031,,0.2441,15.8,6.9635,4.9218,15242969357.12,6.0606,14.6457,94.2169,8.6925,8.4049,2.1838,17.0631,25.0936,24.7191,4.6164,70.0976,68.972,31.5613,26.7,13.1802,-36.164,109.543,28.763,126.6961,3.665,3.665,15.7536,3.5857,106.0927
601127.SH,20251031,20250930,3.34,3.33,67.6728,67.6728,15.0974,0.2581,0.6478,544854999.68,4767500495.14,32471176843.43,0.9115,0.8701,0.7455,51.2138,1.5508,9.4291,1.0241,5776110507.08,6252971586.63,,8900304181.2799,12604075631.2799,82722705280.76,4176193593.36,5880704392.72,-53661005342.78,12956009267.3,-7431621966.46,-65971800744.62,34606996330.18,1479800893.62,3.2524,17.0216,13.8667,0.906,12.4593,3.8283,5.4491,7.7166,5.0997,29.3765,70.6235,21.0127,5.0997,14.4662,6.9134,-0.3668,-0.2913,94.7744,6.0648,5.657,26.5175,24.05,23.7978,5.7933,5.2226,20.9722,35.3567,7.7244,76.3581,4.2298,5.3877,63.0035,36.9965,,16.9928,80.338,90.5205,9.4795,0.2697,3.2298,0.2997,4.7278,0.1396,2.2031,,0.2441,15.8,6.9635,4.9218,15242969357.12,6.0606,14.6457,94.2169,8.6925,8.4049,2.1838,17.0631,25.0936,24.7191,4.6164,70.0976,68.972,31.5613,26.7,13.1802,-36.164,109.543,28.763,126.6961,3.665,3.665,,,106.0927
601127.SH,20250830,20250630,1.87,1.87,38.2044,38.2044,15.9309,0.2581,-0.804,466395230.11,2474494986.0,18055885450.37,0.894,0.8515,0.67,27.8514,0.9256,5.3673,0.6021,2992530917.18,3441776793.13,5625162787.94,-1683824935.357,2967675064.643,75430961064.89,3696363904.19,6774751150.15,-41156280348.3,12456056836.72,-8161690743.14,-54800494049.21,33784485294.03,-891664385.09,1.8005,16.384,8.8385,-0.5459,9.3863,2.1072,-1.0309,1.8169,4.9315,28.9349,71.0651,21.0365,4.9315,14.3277,7.1531,-0.4443,-0.4412,95.2044,6.0005,5.5155,15.0717,15.87,12.6815,3.321,2.9693,11.523,30.1434,6.642,76.0789,4.1804,5.3113,60.9711,39.0289,11.0317,20.0528,79.2112,89.6431,10.3569,0.1875,3.1804,0.3115,3.9501,0.145,1.8386,,0.1681,18.4038,5.9386,2.8377,15003399466.56,5.9691,14.5151,94.3321,8.7922,8.3414,2.2084,51.0161,73.1481,73.1481,-18.4347,120.2351,119.2202,81.0271,72.14,-11.7581,-10.4301,101.6939,19.6557,118.2042,-4.063,-4.063,12.397,221.8629,102.1071
601127.SH,20250830,20250630,1.87,1.87,38.2044,38.2044,15.9309,0.2581,-0.804,466395230.11,2474494986.0,18055885450.37,0.894,0.8515,0.67,27.8514,0.9256,5.3673,0.6021,2992530917.18,3441776793.13,5625162787.94,-1683824935.357,2967675064.643,75430961064.89,3696363904.19,6774751150.15,-41156280348.3,12456056836.72,-8161690743.14,-54800494049.21,33784485294.03,-891664385.09,1.8005,16.384,8.8385,-0.5459,9.3863,2.1072,-1.0309,1.8169,4.9315,28.9349,71.0651,21.0365,4.9315,14.3277,7.1531,-0.4443,-0.4412,95.2044,6.0005,5.5155,15.0717,15.87,12.6815,3.321,2.9693,11.523,30.1434,6.642,76.0789,4.1804,5.3113,60.9711,39.0289,,20.0528,79.2112,89.6431,10.3569,0.1875,3.1804,0.3115,3.9501,0.145,1.8386,,0.1681,18.4038,5.9386,2.8377,15003399466.56,5.9691,14.5151,94.3321,8.7922,8.3414,2.2084,51.0161,73.1481,73.1481,-18.4347,120.2351,119.2202,81.0271,72.14,-11.7581,-10.4301,101.6939,19.6557,118.2042,-4.063,-4.063,,,102.1071
601127.SH,20250430,20250331,0.5,0.5,11.7225,11.7225,14.083,0.2581,-1.1767,353938514.0,393854971.81,5287955065.88,0.8297,0.7834,0.7003,8.3632,0.3136,1.6493,0.1983,540917800.71,732231339.06,,-8423073083.3341,-1219614080.7741,63706153961.02,3259230735.34,8868930541.29,-34923183272.15,10055435189.73,-11516709246.92,-51622801661.59,31744285848.19,-1500396011.97,0.4578,14.1585,-4.6715,-0.9186,2.1336,0.4483,-5.1569,-0.7467,3.8681,27.6176,72.3824,22.0833,3.8681,13.9043,8.9219,-0.743,-0.2981,97.1749,4.6357,3.8242,4.226,5.9,2.2258,0.7585,0.7672,2.5706,16.904,3.034,76.8256,4.3151,5.4556,56.8492,43.1508,10.1869,27.9387,72.8508,89.1844,10.8156,-0.1128,3.3151,0.305,2.6075,0.1326,1.1338,,-0.1006,29.434,3.0688,0.7746,14940162455.86,4.6575,13.9043,97.1749,4.226,2.2258,0.7672,-39.851,233.3333,233.3333,-694.1872,183.1624,183.9024,240.6001,244.34,-742.8515,71.2931,74.2971,4.6053,88.5641,-27.9119,-27.9119,-27.9119,-11.3357,98.8405
601127.SH,20250430,20250331,0.5,0.5,11.7225,11.7225,14.083,0.2581,-1.1767,353938514.0,393854971.81,5287955065.88,0.8297,0.7834,0.7003,8.3632,0.3136,1.6493,0.1983,540917800.71,732231339.06,,-8423073083.3341,-1219614080.7741,63706153961.02,3259230735.34,8868930541.29,-34923183272.15,10055435189.73,-11516709246.92,-51622801661.59,31744285848.19,-1500396011.97,0.4578,14.1585,-4.6715,-0.9186,2.1336,0.4483,-5.1569,-0.7467,3.8681,27.6176,72.3824,22.0833,3.8681,13.9043,8.9219,-0.743,-0.2981,97.1749,4.6357,3.8242,4.226,5.9,2.2258,0.7585,0.7672,2.5706,16.904,3.034,76.8256,4.3151,5.4556,56.8492,43.1508,,27.9387,72.8508,89.1844,10.8156,-0.1128,3.3151,0.305,2.6075,0.1326,1.1338,,-0.1006,29.434,3.0688,0.7746,14940162455.86,4.6575,13.9043,97.1749,4.226,2.2258,0.7672,-39.851,233.3333,233.3333,-694.1872,183.1624,183.9024,240.6001,244.34,-742.8515,71.2931,74.2971,4.6053,88.5641,-27.9119,-27.9119,,,98.8405
