ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601328.SH,20260529,6.53,6.69,6.5,6.66,6.54,0.12,1.8349,2193632.23,1449883.478
601328.SH,20260528,6.59,6.64,6.52,6.54,6.59,-0.05,-0.7587,1604430.31,1054143.494
601328.SH,20260527,6.6,6.64,6.58,6.59,6.6,-0.01,-0.1515,1530152.35,1010337.272
601328.SH,20260526,6.6,6.66,6.58,6.6,6.61,-0.01,-0.1513,1501689.52,994338.86
601328.SH,20260525,6.64,6.68,6.6,6.61,6.64,-0.03,-0.4518,1157159.03,767436.314
601328.SH,20260522,6.64,6.73,6.6,6.64,6.64,0.0,0.0,1844811.35,1230764.131
601328.SH,20260521,6.57,6.66,6.55,6.64,6.57,0.07,1.0654,1533960.16,1015629.186
601328.SH,20260520,6.68,6.69,6.56,6.57,6.67,-0.1,-1.4993,1800654.26,1191979.419
601328.SH,20260519,6.67,6.75,6.67,6.67,6.66,0.01,0.1502,1740757.27,1166977.65
601328.SH,20260518,6.73,6.73,6.66,6.66,6.72,-0.06,-0.8929,1289801.6,861538.291
601328.SH,20260515,6.73,6.78,6.69,6.72,6.73,-0.01,-0.1486,1593312.68,1072292.052
601328.SH,20260514,6.68,6.76,6.66,6.73,6.68,0.05,0.7485,1827358.41,1228807.34
601328.SH,20260513,6.69,6.73,6.66,6.68,6.67,0.01,0.1499,1475075.87,986836.609
601328.SH,20260512,6.67,6.73,6.66,6.67,6.67,0.0,0.0,1378596.06,923097.191
601328.SH,20260511,6.7,6.7,6.65,6.67,6.7,-0.03,-0.4478,1654607.6,1103439.81
601328.SH,20260508,6.71,6.74,6.68,6.7,6.69,0.01,0.1495,1150577.93,771500.776
601328.SH,20260507,6.73,6.77,6.69,6.69,6.73,-0.04,-0.5944,1361533.97,915996.106
601328.SH,20260506,6.8,6.8,6.67,6.73,6.8,-0.07,-1.0294,2539144.45,1705549.6
601328.SH,20260430,6.92,6.93,6.78,6.8,6.95,-0.15,-2.1583,2484442.94,1697680.898
601328.SH,20260429,6.98,6.99,6.88,6.95,6.98,-0.03,-0.4298,1324395.44,918116.022
601328.SH,20260428,6.91,6.98,6.9,6.98,6.92,0.06,0.8671,1181787.39,820251.398
601328.SH,20260427,6.97,7.04,6.92,6.92,6.98,-0.06,-0.8596,1072351.99,747703.551
601328.SH,20260424,7.0,7.01,6.94,6.98,6.99,-0.01,-0.1431,938077.81,654733.247
601328.SH,20260423,6.97,7.02,6.93,6.99,6.97,0.02,0.2869,1327889.78,927750.057
601328.SH,20260422,7.03,7.04,6.96,6.97,7.02,-0.05,-0.7123,992860.13,694377.886
601328.SH,20260421,7.04,7.11,7.0,7.02,7.05,-0.03,-0.4255,1194073.88,843005.075
601328.SH,20260420,6.95,7.05,6.94,7.05,6.96,0.09,1.2931,1315253.93,922066.157
601328.SH,20260417,6.91,6.97,6.89,6.96,6.92,0.04,0.578,1046391.02,725244.66
601328.SH,20260416,6.94,6.99,6.91,6.92,6.93,-0.01,-0.1443,1136040.38,789244.362
601328.SH,20260415,6.88,6.96,6.87,6.93,6.9,0.03,0.4348,1475373.54,1020794.211
601328.SH,20260414,6.85,6.9,6.82,6.9,6.85,0.05,0.7299,1081230.17,742274.154
601328.SH,20260413,6.81,6.85,6.76,6.85,6.8,0.05,0.7353,966222.75,658479.276
601328.SH,20260410,6.83,6.84,6.8,6.8,6.84,-0.04,-0.5848,1091684.42,743659.219
601328.SH,20260409,6.9,6.92,6.81,6.84,6.91,-0.07,-1.013,1092607.27,747617.735
601328.SH,20260408,6.91,6.93,6.84,6.91,6.91,0.0,0.0,1431527.68,986228.755
601328.SH,20260407,6.99,7.01,6.89,6.91,6.99,-0.08,-1.1445,1087649.22,754533.974
601328.SH,20260403,7.09,7.1,6.98,6.99,7.09,-0.1,-1.4104,1025577.39,720479.631
601328.SH,20260402,7.01,7.1,7.0,7.09,7.01,0.08,1.1412,1468509.02,1037757.399
601328.SH,20260401,7.01,7.07,6.97,7.01,7.0,0.01,0.1429,1447570.87,1015874.135
601328.SH,20260331,6.99,7.13,6.98,7.0,6.97,0.03,0.4304,2032563.17,1432821.44
601328.SH,20260330,6.88,7.0,6.86,6.97,6.88,0.09,1.3081,1860367.78,1294529.935
601328.SH,20260327,6.85,6.91,6.83,6.88,6.86,0.02,0.2915,1332074.54,915978.194
601328.SH,20260326,6.8,6.89,6.8,6.86,6.83,0.03,0.4392,1222401.6,839300.57
601328.SH,20260325,6.81,6.83,6.72,6.83,6.82,0.01,0.1466,1455936.9,986694.609
601328.SH,20260324,6.69,6.83,6.69,6.82,6.67,0.15,2.2489,1697052.39,1151530.873
601328.SH,20260323,6.89,6.9,6.66,6.67,6.91,-0.24,-3.4732,2260777.41,1523005.463
601328.SH,20260320,6.89,6.95,6.86,6.91,6.89,0.02,0.2903,1532840.64,1059682.746
601328.SH,20260319,6.87,6.95,6.86,6.89,6.9,-0.01,-0.1449,1463662.89,1011884.62
601328.SH,20260318,6.95,6.96,6.85,6.9,6.94,-0.04,-0.5764,1455387.05,1004628.433
601328.SH,20260317,6.86,6.96,6.85,6.94,6.87,0.07,1.0189,1431635.23,992848.172
601328.SH,20260316,6.85,6.93,6.84,6.87,6.85,0.02,0.292,1493370.25,1027219.777
601328.SH,20260313,6.8,6.9,6.77,6.85,6.8,0.05,0.7353,1795746.16,1229383.713
601328.SH,20260312,6.77,6.84,6.77,6.8,6.79,0.01,0.1473,1099492.57,749016.351
601328.SH,20260311,6.72,6.8,6.69,6.79,6.73,0.06,0.8915,1243623.03,840072.232
601328.SH,20260310,6.75,6.76,6.69,6.73,6.76,-0.03,-0.4438,1219857.51,819615.646
601328.SH,20260309,6.73,6.81,6.72,6.76,6.77,-0.01,-0.1477,2024769.73,1370531.321
601328.SH,20260306,6.71,6.78,6.69,6.77,6.72,0.05,0.744,1399520.51,944440.186
601328.SH,20260305,6.63,6.75,6.61,6.72,6.66,0.06,0.9009,1681884.29,1124296.062
601328.SH,20260304,6.74,6.74,6.6,6.66,6.74,-0.08,-1.1869,2541382.71,1687392.389
601328.SH,20260303,6.59,6.81,6.57,6.74,6.58,0.16,2.4316,3679810.95,2468537.562
601328.SH,20260302,6.53,6.6,6.51,6.58,6.55,0.03,0.458,1691836.18,1110692.48
601328.SH,20260227,6.58,6.61,6.55,6.55,6.58,-0.03,-0.4559,1188033.06,781194.986
601328.SH,20260226,6.62,6.67,6.56,6.58,6.62,-0.04,-0.6042,1277377.11,843222.763
601328.SH,20260225,6.68,6.7,6.62,6.62,6.67,-0.05,-0.7496,1402378.0,934188.759
601328.SH,20260224,6.68,6.69,6.64,6.67,6.65,0.02,0.3008,1140045.4,760115.157
601328.SH,20260213,6.73,6.74,6.64,6.65,6.73,-0.08,-1.1887,1461456.24,975476.047
601328.SH,20260212,6.82,6.82,6.7,6.73,6.82,-0.09,-1.3196,1441384.73,970954.497
601328.SH,20260211,6.83,6.85,6.76,6.82,6.82,0.0,0.0,1102808.01,751158.145
601328.SH,20260210,6.74,6.83,6.73,6.82,6.74,0.08,1.1869,1594666.9,1084522.96
601328.SH,20260209,6.7,6.77,6.67,6.74,6.71,0.03,0.4471,1412828.64,949465.059
601328.SH,20260206,6.79,6.81,6.69,6.71,6.76,-0.05,-0.7396,1729550.97,1163096.931
601328.SH,20260205,6.68,6.77,6.67,6.76,6.67,0.09,1.3493,1732166.18,1166679.85
601328.SH,20260204,6.58,6.68,6.57,6.67,6.59,0.08,1.214,1387931.32,922754.167
601328.SH,20260203,6.65,6.66,6.55,6.59,6.65,-0.06,-0.9023,2270998.02,1496086.628
601328.SH,20260202,6.67,6.77,6.64,6.65,6.62,0.03,0.4532,2781858.06,1864553.043
601328.SH,20260130,6.63,6.71,6.62,6.62,6.6,0.02,0.303,2439311.49,1624607.054
