ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601628.SH,20260529,33.83,0.2024,2.81,1.26,6.2059,6.6044,1.5983,95619497.015,70446001.99
601628.SH,20260528,33.39,0.1679,2.3309,1.02,6.1252,6.5185,1.5775,94375849.995,69529766.67
601628.SH,20260527,33.46,0.1653,2.295,1.12,6.138,6.5322,1.5808,94573702.93,69675531.38
601628.SH,20260526,33.8,0.2322,3.2231,1.93,6.2004,6.5986,1.5969,95534702.9,70383531.4
601628.SH,20260525,33.83,0.1286,1.7849,1.09,6.2059,6.6044,1.5983,95619497.015,70446001.99
601628.SH,20260522,33.82,0.1069,1.484,0.85,6.2041,6.6025,1.5978,95591232.31,70425178.46
601628.SH,20260521,34.05,0.1867,2.5922,1.57,6.2463,6.6474,1.6087,96241320.525,70904119.65
601628.SH,20260520,34.54,0.085,1.1797,0.54,6.3362,6.743,1.6318,97626291.07,71924472.62
601628.SH,20260519,34.71,0.0955,1.326,0.56,6.3673,6.7762,1.6399,98106791.055,72278472.63
601628.SH,20260518,34.75,0.1147,1.5921,0.52,6.3747,6.784,1.6418,98219849.875,72361766.75
601628.SH,20260515,35.36,0.1463,2.0306,0.65,6.4866,6.9031,1.6706,99943996.88,73632002.08
601628.SH,20260514,35.99,0.1516,2.1048,0.59,6.6022,7.0261,1.7003,101724673.295,74943884.47
601628.SH,20260513,36.48,0.2839,3.9411,1.14,6.692,7.1218,1.7235,103109643.84,75964237.44
601628.SH,20260512,37.56,0.1567,2.1749,0.54,6.8902,7.3326,1.7745,106162231.98,78213178.68
601628.SH,20260511,37.95,0.3683,5.1129,1.49,6.9617,7.4087,1.7929,107264555.475,79025296.35
601628.SH,20260508,37.31,0.1608,2.2321,0.7,6.8443,7.2838,1.7627,105455614.355,77692590.43
601628.SH,20260507,37.44,0.3201,4.4432,1.79,6.8681,7.3092,1.7688,105823055.52,77963296.32
601628.SH,20260506,36.66,0.2388,3.3155,1.63,6.7251,7.1569,1.732,103618408.53,76339060.98
601628.SH,20260430,36.67,0.3509,4.872,3.86,6.7269,7.1589,1.7325,103646673.235,76359884.51
601628.SH,20260429,36.64,0.1626,2.2567,2.08,6.7214,6.7214,1.7399,103561879.12,76297413.92
601628.SH,20260428,36.63,0.0747,1.037,0.97,6.7196,6.7196,1.7395,103533614.415,76276590.39
601628.SH,20260427,36.67,0.0664,0.9217,0.87,6.7269,6.7269,1.7414,103646673.235,76359884.51
601628.SH,20260424,36.78,0.079,1.0966,1.03,6.7471,6.7471,1.7466,103957584.99,76588943.34
601628.SH,20260423,36.88,0.0716,0.9939,0.9,6.7654,6.7654,1.7513,104240232.04,76797178.64
601628.SH,20260422,37.08,0.0987,1.3708,1.3,6.8021,6.8021,1.7608,104805526.14,77213649.24
601628.SH,20260421,37.35,0.0686,0.9522,0.89,6.8516,6.8516,1.7737,105568673.175,77775884.55
601628.SH,20260420,37.63,0.0657,0.9123,0.88,6.903,6.903,1.7869,106360084.915,78358943.39
601628.SH,20260417,37.52,0.0771,1.0704,0.9,6.8828,6.8828,1.7817,106049173.16,78129884.56
601628.SH,20260416,37.87,0.0887,1.2317,1.08,6.947,6.947,1.7983,107038437.835,78858708.11
601628.SH,20260415,37.7,0.0792,1.0989,0.77,6.9158,6.9158,1.7903,106557937.85,78504708.1
601628.SH,20260414,37.77,0.0728,1.01,0.7,6.9287,6.9287,1.7936,106755790.785,78650472.81
601628.SH,20260413,37.52,0.0564,0.7833,0.53,6.8828,6.8828,1.7817,106049173.16,78129884.56
601628.SH,20260410,37.77,0.1327,1.8415,1.38,6.9287,6.9287,1.7936,106755790.785,78650472.81
