ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601658.SH,20260529,4.98,0.1972,0.9136,1.32,6.8426,6.8053,0.5793,59807336.639,36118844.7013
601658.SH,20260528,4.94,0.1245,0.5768,0.81,6.7877,6.7506,0.5746,59326956.425,35828733.4989
601658.SH,20260527,4.99,0.1464,0.6782,0.95,6.8564,6.8189,0.5805,59927431.6925,36191372.5019
601658.SH,20260526,4.99,0.1602,0.7422,1.04,6.8564,6.8189,0.5805,59927431.6925,36191372.5019
601658.SH,20260525,4.97,0.1307,0.6053,0.81,6.8289,6.7916,0.5781,59687241.5855,36046316.9007
601658.SH,20260522,4.94,0.1874,0.8683,1.12,6.7877,6.7506,0.5746,59326956.425,35828733.4989
601658.SH,20260521,4.92,0.1418,0.6569,0.84,6.7602,6.7233,0.5723,59086766.3181,35683677.8977
601658.SH,20260520,4.91,0.1507,0.6981,0.91,6.7464,6.7096,0.5711,58966671.2646,35611150.0971
601658.SH,20260519,4.96,0.1618,0.7494,1.01,6.8152,6.7779,0.577,59567146.532,35973789.1001
601658.SH,20260518,4.97,0.16,0.7412,0.98,6.8289,6.7916,0.5781,59687241.5855,36046316.9007
601658.SH,20260515,4.97,0.2256,1.045,1.55,6.8289,6.7916,0.5781,59687241.5855,36046316.9007
601658.SH,20260514,5.03,0.1412,0.654,0.96,6.9113,6.8736,0.5851,60407811.9065,36481483.7043
601658.SH,20260513,5.0,0.1407,0.6516,0.88,6.8701,6.8326,0.5816,60047526.746,36263900.3025
601658.SH,20260512,5.03,0.1319,0.6111,0.72,6.9113,6.8736,0.5851,60407811.9065,36481483.7043
601658.SH,20260511,5.05,0.1748,0.81,0.94,6.9388,6.9009,0.5874,60648002.0135,36626539.3055
601658.SH,20260508,5.03,0.1403,0.65,0.74,6.9113,6.8736,0.5851,60407811.9065,36481483.7043
601658.SH,20260507,5.04,0.1458,0.6754,0.77,6.9251,6.8872,0.5863,60527906.96,36554011.5049
601658.SH,20260506,5.06,0.2032,0.9414,1.16,6.9526,6.9146,0.5886,60768097.067,36699067.1061
601658.SH,20260430,5.07,0.2546,1.1796,1.66,6.9663,6.9282,0.5898,60888192.1204,36771594.9067
601658.SH,20260429,5.15,0.188,0.8711,1.28,7.0762,7.0762,0.6123,61848952.5484,37351817.3116
601658.SH,20260428,5.2,0.1528,0.7081,0.91,7.1449,7.1449,0.6182,62449427.8158,37714456.3146
601658.SH,20260427,5.15,0.1475,0.6835,0.73,7.0762,7.0762,0.6123,61848952.5484,37351817.3116
601658.SH,20260424,5.18,0.135,0.6256,0.69,7.1174,7.1174,0.6158,62209237.7089,37569400.7134
601658.SH,20260423,5.19,0.1458,0.6755,0.73,7.1312,7.1312,0.617,62329332.7623,37641928.514
601658.SH,20260422,5.16,0.1549,0.7177,0.72,7.09,7.09,0.6135,61969047.6019,37424345.1122
601658.SH,20260421,5.21,0.2542,1.1777,1.26,7.1587,7.1587,0.6194,62569522.8693,37786984.1152
601658.SH,20260420,5.18,0.3216,1.4897,1.87,7.1174,7.1174,0.6158,62209237.7089,37569400.7134
601658.SH,20260417,5.07,0.0979,0.4536,0.55,6.9663,6.9663,0.6028,60888192.1204,36771594.9067
601658.SH,20260416,5.07,0.1715,0.7947,1.01,6.9663,6.9663,0.6028,60888192.1204,36771594.9067
601658.SH,20260415,5.11,0.2364,1.0952,1.48,7.0213,7.0213,0.6075,61368572.3344,37061706.1092
601658.SH,20260414,5.05,0.183,0.8478,1.14,6.9388,6.9388,0.6004,60648002.0135,36626539.3055
601658.SH,20260413,4.99,0.1703,0.7889,1.01,6.8564,6.8564,0.5933,59927431.6925,36191372.5019
601658.SH,20260410,5.0,0.1343,0.6221,0.69,6.8701,6.8701,0.5944,60047526.746,36263900.3025
601658.SH,20260409,5.02,0.1216,0.8546,0.59,6.8976,6.8976,0.5968,60287716.853,36408955.9037
601658.SH,20260408,5.05,0.1901,1.3367,0.86,6.9388,6.9388,0.6004,60648002.0135,36626539.3055
601658.SH,20260407,5.07,0.1873,1.3164,0.85,6.9663,6.9663,0.6028,60888192.1204,36771594.9067
601658.SH,20260403,5.12,0.2107,1.4812,1.02,7.035,7.035,0.6087,61488667.3879,37134233.9098
601658.SH,20260402,5.18,0.265,1.8632,1.36,7.1174,7.1174,0.6158,62209237.7089,37569400.7134
601658.SH,20260401,5.11,0.1796,1.2628,0.93,7.0213,7.0213,0.6075,61368572.3344,37061706.1092
601658.SH,20260331,5.13,0.2637,1.8538,1.38,7.0487,7.0487,0.6099,61608762.4414,37206761.7104
601658.SH,20260330,5.08,0.1806,1.2698,0.81,6.98,6.98,0.604,61008287.1739,36844122.7073
601658.SH,20260327,5.06,0.1482,1.042,0.65,7.0269,6.967,0.6084,60768097.067,36699067.1061
601658.SH,20260326,5.11,0.2025,1.4232,0.9,7.0964,7.0358,0.6144,61368572.3344,37061706.1092
