ts_code,trade_date,adj_factor
601857.SH,20260529,1.7972
601857.SH,20260528,1.7972
601857.SH,20260527,1.7972
601857.SH,20260526,1.7972
601857.SH,20260525,1.7972
601857.SH,20260522,1.7972
601857.SH,20260521,1.7972
601857.SH,20260520,1.7972
601857.SH,20260519,1.7972
601857.SH,20260518,1.7972
601857.SH,20260515,1.7972
601857.SH,20260514,1.7972
601857.SH,20260513,1.7972
601857.SH,20260512,1.7972
601857.SH,20260511,1.7972
601857.SH,20260508,1.7972
601857.SH,20260507,1.7972
601857.SH,20260506,1.7972
601857.SH,20260430,1.7972
601857.SH,20260429,1.7972
601857.SH,20260428,1.7972
601857.SH,20260427,1.7972
601857.SH,20260424,1.7972
601857.SH,20260423,1.7972
601857.SH,20260422,1.7972
601857.SH,20260421,1.7972
601857.SH,20260420,1.7972
601857.SH,20260417,1.7972
601857.SH,20260416,1.7972
601857.SH,20260415,1.7972
601857.SH,20260414,1.7972
601857.SH,20260413,1.7972
601857.SH,20260410,1.7972
601857.SH,20260409,1.7972
601857.SH,20260408,1.7972
601857.SH,20260407,1.7972
601857.SH,20260403,1.7972
601857.SH,20260402,1.7972
601857.SH,20260401,1.7972
601857.SH,20260331,1.7972
601857.SH,20260330,1.7972
601857.SH,20260327,1.7972
601857.SH,20260326,1.7972
601857.SH,20260325,1.7972
601857.SH,20260324,1.7972
601857.SH,20260323,1.7972
601857.SH,20260320,1.7972
601857.SH,20260319,1.7972
601857.SH,20260318,1.7972
601857.SH,20260317,1.7972
601857.SH,20260316,1.7972
601857.SH,20260313,1.7972
601857.SH,20260312,1.7972
601857.SH,20260311,1.7972
601857.SH,20260310,1.7972
601857.SH,20260309,1.7972
601857.SH,20260306,1.7972
601857.SH,20260305,1.7972
601857.SH,20260304,1.7972
601857.SH,20260303,1.7972
601857.SH,20260302,1.7972
601857.SH,20260227,1.7972
601857.SH,20260226,1.7972
601857.SH,20260225,1.7972
601857.SH,20260224,1.7972
601857.SH,20260213,1.7972
601857.SH,20260212,1.7972
601857.SH,20260211,1.7972
601857.SH,20260210,1.7972
601857.SH,20260209,1.7972
601857.SH,20260206,1.7972
601857.SH,20260205,1.7972
601857.SH,20260204,1.7972
601857.SH,20260203,1.7972
601857.SH,20260202,1.7972
601857.SH,20260130,1.7972
601857.SH,20260129,1.7972
601857.SH,20260128,1.7972
601857.SH,20260127,1.7972
601857.SH,20260126,1.7972
601857.SH,20260123,1.7972
601857.SH,20260122,1.7972
601857.SH,20260121,1.7972
601857.SH,20260120,1.7972
601857.SH,20260119,1.7972
601857.SH,20260116,1.7972
601857.SH,20260115,1.7972
601857.SH,20260114,1.7972
601857.SH,20260113,1.7972
601857.SH,20260112,1.7972
601857.SH,20260109,1.7972
601857.SH,20260108,1.7972
601857.SH,20260107,1.7972
601857.SH,20260106,1.7972
601857.SH,20260105,1.7972
601857.SH,20251231,1.7972
601857.SH,20251230,1.7972
601857.SH,20251229,1.7972
601857.SH,20251226,1.7972
