ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601211.SH,20260529,15.38,1.1748,1.4529,1.57,9.7498,12.3491,0.8306,27113287.925,20758247.8768
601211.SH,20260528,14.98,0.7011,0.867,0.79,9.4962,12.028,0.809,26408130.8918,20218371.4691
601211.SH,20260527,15.22,0.8011,0.9907,0.95,9.6483,12.2207,0.8219,26831225.1117,20542297.3137
601211.SH,20260526,15.3,0.8178,1.0113,1.0,9.699,12.2849,0.8262,26972256.5184,20650272.5953
601211.SH,20260525,15.15,0.5851,0.7236,0.7,9.604,12.1645,0.8181,26707822.6309,20447818.9424
601211.SH,20260522,15.03,0.846,1.0462,0.97,9.5279,12.0681,0.8117,26496275.521,20285856.0201
601211.SH,20260521,15.23,1.3923,1.7219,1.8,9.6547,12.2287,0.8225,26848854.0376,20555794.2239
601211.SH,20260520,15.31,0.5937,0.7343,0.64,9.7054,12.2929,0.8268,26989885.4442,20663769.5055
601211.SH,20260519,15.47,0.6728,0.8321,0.67,9.8068,12.4214,0.8354,27271948.2575,20879720.0686
601211.SH,20260518,15.45,0.703,0.8694,0.61,9.7941,12.4053,0.8343,27236690.4058,20852726.2482
601211.SH,20260515,15.44,1.0087,1.2474,0.91,9.7878,12.3973,0.8338,27219061.48,20839229.338
601211.SH,20260514,15.71,0.8888,1.0992,0.8,9.9589,12.6141,0.8484,27695042.4774,21203645.9132
601211.SH,20260513,16.02,1.3355,1.6516,1.17,10.1555,12.863,0.8651,28241539.1781,21622050.1292
601211.SH,20260512,16.1,1.0624,1.3138,0.94,10.2062,12.9272,0.8694,28382570.5847,21730025.4107
601211.SH,20260511,16.17,1.5106,1.8681,1.53,10.2506,12.9835,0.8732,28505973.0655,21824503.7821
601211.SH,20260508,16.16,0.7666,0.948,0.72,10.2442,12.9754,0.8727,28488344.1397,21811006.8719
601211.SH,20260507,16.29,0.8993,1.1121,0.76,10.3266,13.0798,0.8797,28717520.1754,21986466.7044
601211.SH,20260506,16.27,1.461,1.8068,1.44,10.3139,13.0637,0.8786,28682262.3238,21959472.884
601211.SH,20260430,16.12,1.0028,1.2401,1.05,10.2189,12.9433,0.8705,28417828.4363,21757019.2311
601211.SH,20260429,16.12,0.8187,1.0124,0.85,10.2189,12.9433,0.8705,28417828.4363,21757019.2311
601211.SH,20260428,16.12,1.1232,1.3891,1.31,10.2189,12.9433,0.8705,28417828.4363,21757019.2311
601211.SH,20260427,16.23,1.4901,1.8428,2.09,10.2886,13.0316,0.8765,28611746.6205,21905485.2432
601211.SH,20260424,16.72,0.6321,0.7817,0.88,10.5992,10.5992,0.9198,29475563.9861,22566833.8427
601211.SH,20260423,16.79,0.7072,0.8746,0.93,10.6436,10.6436,0.9237,29598966.4669,22661312.214
601211.SH,20260422,16.8,0.8789,1.0869,1.3,10.6499,10.6499,0.9242,29616595.3927,22674809.1242
601211.SH,20260421,16.75,0.5844,0.7228,0.82,10.6182,10.6182,0.9215,29528450.7636,22607324.5733
601211.SH,20260420,16.87,0.7587,0.9383,1.09,10.6943,10.6943,0.9281,29739997.8735,22769287.4956
601211.SH,20260417,16.98,0.6556,0.8108,0.74,10.764,10.764,0.9341,29933916.0576,22917753.5077
601211.SH,20260416,17.13,0.9336,1.1545,1.12,10.8591,10.8591,0.9424,30198349.9451,23120207.1606
601211.SH,20260415,17.05,0.4513,0.5581,0.5,10.8084,10.8084,0.938,30057318.5384,23012231.8791
601211.SH,20260414,17.14,0.7772,0.9611,0.92,10.8655,10.8655,0.9429,30215978.8709,23133704.0708
601211.SH,20260413,17.16,0.6731,0.8324,0.87,10.8781,10.8781,0.944,30251236.7226,23160697.8912
601211.SH,20260410,17.12,1.5897,1.966,2.88,10.8528,10.8528,0.9418,30180721.0192,23106710.2504
601211.SH,20260409,16.43,0.6605,0.8168,1.23,10.4154,10.4154,0.9039,28964325.137,22175423.4471
601211.SH,20260408,16.87,0.8305,1.0271,1.79,10.6943,10.6943,0.9281,29739997.8735,22769287.4956
601211.SH,20260407,16.29,0.4583,0.5668,0.96,10.3266,10.3266,0.8962,28717520.1754,21986466.7044
601211.SH,20260403,16.47,0.3333,0.4122,0.68,10.4407,10.4407,0.9061,29034840.8404,22229411.0879
601211.SH,20260402,16.55,0.4811,0.5949,0.9,10.4914,10.4914,0.9105,29175872.247,22337386.3694
