ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
600690.SH,20260428,20260331,0.5,0.5,7.8577,7.8577,2.5795,0.5648,9.8286,210238482.22,4441374498.46,18675005183.08,1.169,0.832,0.6858,2.6884,0.4687,1.8484,0.2471,5028098265.01,5766884802.33,,-5576054093.5992,-2842503284.5892,110385814351.67,8131543562.0,47263918394.66,-3316386961.7,81005312693.16,23355733871.1,-4698016874.02,182057671479.8,97465155221.85,0.496,13.3496,0.1718,10.3934,0.3452,0.615,-0.5946,-0.3031,6.5233,25.3438,74.6562,17.7441,6.5233,8.573,8.1741,0.997,-0.2287,93.1764,7.75,7.8262,3.8146,3.86,3.6422,1.934,1.612,2.7426,15.2584,7.736,55.1547,2.2299,2.4453,53.7587,46.2413,26.9501,25.961,68.7627,83.3807,16.6193,0.0117,1.2299,0.7551,2.6487,0.4886,1.7139,,0.0097,111.609,6.448,1.56,45606401399.48,7.7637,8.573,93.1764,3.8146,3.6422,1.612,2.1869,-15.2542,-15.2542,-29.4456,-17.2868,-16.3668,-15.2189,-17.2,-29.4641,-20.2578,5.4671,1.616,5.4671,-6.865,-6.865,-6.865,157.5921,6.319
600690.SH,20260428,20260331,0.5,0.5,7.8577,7.8577,2.5795,0.5648,9.8286,210238482.22,4441374498.46,18675005183.08,1.169,0.832,0.6858,2.6884,0.4687,1.8484,0.2471,5028098265.01,5766884802.33,,-5576054093.5992,-2842503284.5892,110385814351.67,8131543562.0,47263918394.66,-3316386961.7,81005312693.16,23355733871.1,-4698016874.02,182057671479.8,97465155221.85,0.496,13.3496,0.1718,10.3934,0.3452,0.615,-0.5946,-0.3031,6.5233,25.3438,74.6562,17.7441,6.5233,8.573,8.1741,0.997,-0.2287,93.1764,7.75,7.8262,3.8146,3.86,3.6422,1.934,1.612,2.7426,15.2584,7.736,55.1547,2.2299,2.4453,53.7587,46.2413,,25.961,68.7627,83.3807,16.6193,0.0117,1.2299,0.7551,2.6487,0.4886,1.7139,,0.0097,111.609,6.448,1.56,45606401399.48,7.7637,8.573,93.1764,3.8146,3.6422,1.612,2.1869,-15.2542,-15.2542,-29.4456,-17.2868,-16.3668,-15.2189,-17.2,-29.4641,-20.2578,5.4671,1.616,5.4671,-6.865,-6.865,,,6.319
600690.SH,20260327,20251231,2.12,2.1,32.2413,32.2413,2.1718,0.5648,9.3293,949166585.31,18603631637.54,80608029745.19,1.0737,0.7446,0.6188,11.2945,1.9857,7.7653,1.0321,20253188450.98,24438290256.71,33188222720.37,7757019829.778,9275768583.408,116246601737.11,8254486918.58,45316978620.77,-2304678820.53,73314993536.45,10487206365.45,-13149681813.84,171293979935.88,92783162034.67,2.085,12.6576,2.7729,9.8941,-0.9306,2.606,0.8272,0.9891,6.6689,26.6608,73.3392,19.0792,6.6689,11.205,7.8911,-0.0169,-0.4346,93.3013,7.8471,8.0829,16.9977,16.98,16.1725,8.342,6.8827,12.5618,16.9977,8.342,57.4107,2.348,2.5467,51.6687,48.3313,24.7857,26.4557,69.2951,83.8228,16.1772,0.1827,1.348,0.699,2.6193,0.4317,1.6178,,0.1531,106.4652,6.8827,6.6743,45572775401.67,7.7655,13.2223,98.2306,1.8299,1.4364,0.7905,12.4636,4.9505,3.9604,-1.9796,3.5973,3.3272,4.3871,4.49,-1.1975,-1.6981,6.6442,1.74,6.1904,5.71,5.71,-6.7158,-65.2271,6.1904
600690.SH,20260327,20251231,2.12,2.1,32.2413,32.2413,2.1718,0.5648,9.3293,949166585.31,18603631637.54,80608029745.19,1.0737,0.7446,0.6188,11.2945,1.9857,7.7653,1.0321,20253188450.98,24438290256.71,33188222720.37,7757019829.778,9275768583.408,116246601737.11,8254486918.58,45316978620.77,-2304678820.53,73314993536.45,10487206365.45,-13149681813.84,171293979935.88,92783162034.67,2.085,12.6576,2.7729,9.8941,-0.9306,2.606,0.8272,0.9891,6.6689,26.6608,73.3392,19.0792,6.6689,11.205,7.8911,-0.0169,-0.4346,93.3013,7.8471,8.0829,16.9977,16.98,16.1725,8.342,6.8827,12.5618,16.9977,8.342,57.4107,2.348,2.5467,51.6687,48.3313,,26.4557,69.2951,83.8228,16.1772,0.1827,1.348,0.699,2.6193,0.4317,1.6178,,0.1531,106.4652,6.8827,6.6743,45572775401.67,7.7655,13.2223,98.2306,1.8299,1.4364,0.7905,12.4636,4.9505,3.9604,-1.9796,3.5973,3.3272,4.3871,4.49,-1.1975,-1.6981,6.6442,1.74,6.1904,5.71,5.71,,,6.1904
600690.SH,20251031,20250930,1.89,1.87,24.9447,24.9447,2.1195,0.5645,9.362,480368692.45,16892328611.67,63680671704.49,1.0944,0.7849,0.6772,8.3086,1.5529,6.1509,0.8048,19044779009.9,22102183147.18,,-3319160826.493,-1590453682.873,110636721709.86,8312292652.6,45710645075.1,554813759.07,74891999827.54,12921459550.61,-10358939416.55,172567004417.14,93139886796.85,1.8515,12.744,1.8641,9.9265,-1.1383,2.3556,-0.3537,-0.1695,7.623,27.2077,72.7923,18.2025,7.623,10.6163,7.6975,-0.1114,-0.3824,91.8631,9.1896,9.4432,15.0451,14.97,14.629,7.6001,6.1351,11.0225,20.0601,10.1335,56.4839,2.298,2.5185,51.3681,48.6319,,26.4886,69.2926,83.0955,16.9045,0.1278,1.298,0.7262,2.6159,0.4548,1.6384,134.9858,0.1062,102.0052,8.1801,5.9738,44752746427.11,9.1144,11.6441,92.7389,4.5547,4.4269,1.806,8.1899,15.2439,14.7239,26.072,14.3422,13.3758,14.6846,15.03,21.2357,4.7857,7.3721,0.2682,6.9757,9.9848,9.9848,,,9.4019
600690.SH,20251031,20250930,,,,,,,,,,63680671704.49,,,,,,6.2383,,19044779009.9,22102183147.18,,,,,,,,,,,,,,,,,,,,,7.623,27.2077,72.7923,18.2025,7.623,10.6163,7.6975,-0.1114,-0.3824,91.8631,9.1896,9.4432,15.5996,,,7.6185,6.1499,10.668,20.7995,10.158,,,,,,,,,,,,,,,,,,,,8.1999,,,9.1144,11.6441,92.7389,4.6475,,1.7755,8.1899,15.2439,14.7239,,14.3422,13.3758,14.6846,,21.2357,,,,,9.9848,9.9848,9.5119,-22.5198,
600690.SH,20250829,20250630,1.3,1.29,16.6786,16.6786,2.115,0.5645,8.788,330587263.57,11702408556.7,42056101340.09,1.0621,0.7755,0.7091,5.4339,1.0001,4.1047,0.5289,13413080753.16,15535089190.06,19721310694.09,15192205943.2581,18191403553.5481,124572815750.57,8259725230.22,46288268870.88,-9068833665.94,69322283698.84,9425941171.88,-27549575111.92,168867527356.29,87753411911.63,1.2824,12.2451,1.1872,9.3525,-0.0512,1.6557,1.6191,1.9388,7.978,26.8739,73.1261,17.3473,7.978,10.107,7.4645,-0.2242,-0.4755,91.429,9.67,9.927,10.6364,10.34,10.3442,5.25,4.2193,7.7977,21.2728,10.5,59.3705,2.4613,2.6156,53.4555,46.5445,,27.411,68.0381,84.7747,15.2253,0.0734,1.4613,0.6414,2.4821,0.387,1.4976,,0.0622,103.1561,8.4386,4.0665,45076172158.11,9.5831,10.6058,90.8013,5.6279,5.449,2.3002,11.4434,15.0442,15.1786,43.3124,16.3967,15.5328,15.5947,15.18,32.2289,6.2709,3.1688,3.771,2.7871,10.2207,10.2207,,,8.6632
600690.SH,20250829,20250630,,,16.6786,16.6786,2.115,0.5645,8.788,,,42056101340.09,1.0621,0.7755,0.7009,5.4339,1.0001,4.1047,0.5289,13413080753.16,15535089190.06,19721310694.09,,,124572815750.57,8259725230.22,46288268870.88,-9068833665.94,69322283698.84,9425941171.88,-18654761678.9,168867527356.29,87753411911.63,1.2824,12.2451,1.1872,9.3525,-0.0512,1.6557,,,7.978,26.8739,73.1261,17.3473,7.978,10.107,7.4645,-0.2242,-0.4755,91.429,9.67,9.927,10.6364,,,5.25,4.2193,7.7977,21.2728,10.5,59.3705,2.4613,2.6156,53.4555,46.5445,22.9772,27.411,68.0381,84.7747,15.2253,0.0734,1.4613,0.6414,2.4821,0.387,1.4976,,0.0622,103.1561,8.4386,4.0665,45076172158.11,9.5831,10.6058,90.8013,5.6279,,2.3002,11.4434,15.0442,15.1786,43.3124,16.3967,15.5328,15.5947,,32.2289,6.2709,3.1688,3.9937,3.1681,10.2207,10.2207,10.3876,19.1821,8.6632
600690.SH,20250430,20250331,0.59,0.59,8.4322,8.4322,2.1208,0.5645,9.0461,122523840.79,5364091335.39,20092964230.26,1.0733,0.7623,0.7076,2.8923,0.5163,2.0908,0.271,6295499004.92,7109670709.48,,-4308032089.3611,-597876975.6011,111743738289.42,8295466951.89,48447368534.81,-5677297910.02,73244263195.28,10573078605.05,-16763900814.17,173665697512.13,90175837558.62,0.5847,12.5491,0.2435,9.6106,-0.1685,0.7577,-0.4591,-0.0637,7.1251,25.3961,74.6039,16.6497,7.1251,9.6192,7.3106,-0.2801,-0.2996,92.0429,8.7265,8.9861,4.7894,4.77,4.6825,2.4356,1.9312,3.4823,19.1576,9.7424,57.3659,2.3455,2.5482,52.701,47.299,,27.8969,67.8011,85.5928,14.4072,0.0158,1.3455,0.6989,2.4304,0.4347,1.5118,,0.0136,99.8351,7.7248,1.8796,44171000587.59,8.6457,9.6192,92.0429,4.7894,4.6825,1.9312,2.8876,13.4615,15.6863,33.2786,17.1482,16.7102,15.0858,15.61,15.1129,4.7358,5.7301,1.021,5.3395,10.0579,10.0579,,,9.7542
600690.SH,20250430,20250331,0.59,0.59,8.4322,8.4322,2.1208,0.5645,9.0461,122523840.79,5364091335.39,20092964230.26,1.0733,0.7623,0.7049,2.8923,0.5163,2.0908,0.271,6295499004.92,7109670709.48,,,,111743738289.42,8295466951.89,48447368534.81,-5677297910.02,73244263195.28,10573078605.05,-11082877009.33,173665697512.13,90175837558.62,0.5847,12.5491,0.2435,9.6106,-0.1685,0.7577,,,7.1251,25.3961,74.6039,16.6497,7.1251,9.6192,7.3106,-0.2801,-0.2996,92.0429,8.7265,8.9861,4.7894,4.77,4.6825,2.4356,1.9312,3.4823,19.1576,9.7424,57.3659,2.3455,2.5482,52.701,47.299,24.938,27.8969,67.8011,85.5928,14.4072,0.0158,1.3455,0.6989,2.4304,0.4347,1.5118,,0.0136,99.8351,7.7248,1.8796,44171000587.59,8.6457,9.6192,92.0429,4.7894,4.6825,1.9312,2.8876,13.4615,15.6863,33.2786,17.1482,16.7102,15.0858,15.61,15.1129,4.7358,5.7301,1.2378,5.7299,10.0579,10.0579,10.0579,53.4244,9.7542
