ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
600030.SH,20260529,26.05,2.6958,3.6579,2.11,12.8366,11.4402,1.3244,38607524.4895,31719915.2873
600030.SH,20260528,25.35,1.1452,1.5539,0.8,12.4917,11.1328,1.2888,37570086.2115,30867556.7191
600030.SH,20260527,25.77,1.4401,1.9541,1.11,12.6986,11.3173,1.3102,38192549.1783,31378971.86
600030.SH,20260526,26.21,1.5865,2.1526,1.4,12.9155,11.5105,1.3325,38844653.2388,31914740.1029
600030.SH,20260525,26.19,1.0576,1.435,0.97,12.9056,11.5017,1.3315,38815012.1452,31890387.0009
600030.SH,20260522,25.87,1.1587,1.5722,1.08,12.7479,11.3612,1.3152,38340754.6466,31500737.3697
600030.SH,20260521,26.22,1.8871,2.5606,2.01,12.9204,11.5149,1.333,38859473.7856,31926916.6538
600030.SH,20260520,26.08,0.7878,1.069,0.8,12.8514,11.4534,1.3259,38651986.13,31756444.9402
600030.SH,20260519,26.27,0.7902,1.0723,0.76,12.945,11.5369,1.3356,38933576.5198,31987799.4087
600030.SH,20260518,26.16,0.8366,1.1351,0.7,12.8908,11.4886,1.33,38770550.5047,31853857.348
600030.SH,20260515,26.35,1.086,1.4735,0.91,12.9844,11.572,1.3397,39052140.8944,32085211.8165
600030.SH,20260514,26.66,1.2053,1.6354,1.0,13.1372,11.7081,1.3554,39511577.8461,32462684.8967
600030.SH,20260513,27.15,1.0037,1.3619,0.77,13.3787,11.9233,1.3803,40237784.6407,33059335.8944
600030.SH,20260512,27.22,1.0526,1.4283,0.77,13.4132,11.9541,1.3839,40341528.4685,33144571.7512
600030.SH,20260511,27.33,1.6108,2.1857,1.24,13.4674,12.0024,1.3895,40504554.4837,33278513.8119
600030.SH,20260508,26.95,1.0681,1.4493,0.71,13.2801,11.8355,1.3702,39941373.7042,32815804.8749
600030.SH,20260507,27.23,1.3088,1.7758,0.87,13.4181,11.9585,1.3844,40356349.0154,33156748.3022
600030.SH,20260506,27.49,1.4679,1.9917,1.06,13.5462,12.0726,1.3976,40741683.2329,33473338.6275
600030.SH,20260430,27.22,1.4208,1.9278,1.1,13.4132,11.9541,1.3839,40341528.4685,33144571.7512
600030.SH,20260429,27.32,1.2201,1.6555,0.89,13.4624,11.998,1.389,40489733.9368,33266337.261
600030.SH,20260428,27.3,2.1417,2.9061,2.0,13.4526,11.9892,1.388,40460092.8432,33241984.159
600030.SH,20260427,26.77,1.2696,1.7227,1.3,13.1914,11.7564,1.361,39674603.8612,32596626.9574
600030.SH,20260424,26.23,0.856,1.1615,0.87,12.9253,11.5193,1.3119,38874294.3325,31939093.2048
600030.SH,20260423,26.48,0.9903,1.3437,0.97,13.0485,11.6291,1.3245,39244808.0032,32243506.9792
600030.SH,20260422,26.71,1.5715,2.1323,1.78,13.1618,11.7301,1.336,39585680.5803,32523567.6516
600030.SH,20260421,26.3,0.6684,0.9069,0.68,12.9598,11.5501,1.3155,38978038.1603,32024329.0616
600030.SH,20260420,26.3,0.7938,1.077,0.67,12.9598,11.5501,1.3155,38978038.1603,32024329.0616
600030.SH,20260417,26.26,0.8708,1.1816,0.51,12.9401,11.5325,1.3135,38918755.973,31975622.8577
600030.SH,20260416,26.31,1.1744,1.5935,0.72,12.9647,11.5545,1.316,38992858.7071,32036505.6126
600030.SH,20260415,26.01,0.9096,1.2342,0.53,12.8169,11.4227,1.3009,38548242.3022,31671209.0834
600030.SH,20260414,26.19,1.1937,1.6196,0.75,12.9056,11.5018,1.3099,38815012.1452,31890387.0009
600030.SH,20260413,26.09,1.767,2.3977,1.31,12.8563,11.4579,1.3049,38666806.6769,31768621.4912
600030.SH,20260410,25.9,3.498,4.7463,4.5,12.7627,11.3744,1.2954,38385216.2871,31537267.0227
600030.SH,20260409,24.15,0.8109,1.1003,1.01,11.9004,11.9004,1.2707,35791620.592,29406370.6022
600030.SH,20260408,24.7,1.2544,1.7021,1.73,12.1714,12.1714,1.2996,36606750.6676,30076080.9058
600030.SH,20260407,23.92,0.5867,0.7961,0.78,11.787,11.787,1.2586,35450748.015,29126309.9298
600030.SH,20260403,23.98,0.5833,0.7914,0.73,11.8166,11.8166,1.2618,35539671.2959,29199369.2357
600030.SH,20260402,24.13,0.6477,0.8789,0.76,11.8905,11.8905,1.2696,35761979.4984,29382017.5003
600030.SH,20260401,24.51,0.9621,1.3054,1.14,12.0777,12.0777,1.2896,36325160.2779,29844726.4373
600030.SH,20260331,24.04,0.8397,1.1394,0.95,11.8461,11.8461,1.2649,35628594.5769,29272428.5415
600030.SH,20260330,24.1,0.7469,1.0135,0.7,11.8757,11.8757,1.2681,35717517.8579,29345487.8473
600030.SH,20260327,24.26,0.7783,1.0561,0.72,11.9546,11.9546,1.2765,35954646.6072,29540312.6629
600030.SH,20260326,24.13,0.9349,1.2685,0.88,16.4774,11.9004,1.2959,35761979.4984,29382017.5003
600030.SH,20260325,24.66,0.9319,1.2645,0.91,16.8393,12.1618,1.3244,36547468.4803,30027374.7019
600030.SH,20260324,24.36,1.0505,1.4254,0.9,16.6344,12.0139,1.3082,36102852.0754,29662078.1727
600030.SH,20260323,24.29,1.6365,2.2205,1.58,16.5866,11.9793,1.3045,35999108.2476,29576842.3158
600030.SH,20260320,25.3,0.8286,1.1243,0.83,17.2763,12.4774,1.3587,37495983.4774,30806673.9642
600030.SH,20260319,25.61,0.88,1.1941,0.9,17.488,12.6303,1.3754,37955420.4291,31184147.0444
600030.SH,20260318,25.97,0.706,0.9579,0.72,17.7338,12.8079,1.3947,38488960.1149,31622502.8795
600030.SH,20260317,25.91,1.8164,2.4646,2.37,17.6929,12.7783,1.3915,38400036.8339,31549443.5736
600030.SH,20260316,25.5,0.9499,1.289,1.21,17.4129,12.5761,1.3695,37792394.414,31050204.9837
600030.SH,20260313,25.75,0.6623,0.8987,0.85,17.5836,12.6994,1.3829,38162908.0847,31354618.7581
600030.SH,20260312,25.93,0.7544,1.0236,0.99,17.7065,12.7882,1.3926,38429677.9276,31573796.6756
600030.SH,20260311,26.1,0.726,0.9851,0.84,17.8226,12.872,1.4017,38681627.2237,31780798.0421
600030.SH,20260310,26.13,0.746,1.0122,0.76,17.8431,12.8868,1.4033,38726088.8642,31817327.6951
600030.SH,20260309,25.88,1.0425,1.4146,1.06,17.6724,12.7635,1.3899,38355575.1935,31512913.9207
600030.SH,20260306,26.43,0.6379,0.8655,0.64,18.0479,13.0347,1.4194,39170705.269,32182624.2243
600030.SH,20260305,26.21,0.6726,0.9126,0.62,17.8977,12.9262,1.4076,38844653.2388,31914740.1029
600030.SH,20260304,26.14,1.2325,1.6724,1.22,17.8499,12.8917,1.4038,38740909.411,31829504.246
600030.SH,20260303,26.8,1.3199,1.791,1.49,18.3006,13.2172,1.4393,39719065.5017,32633156.6103
600030.SH,20260302,27.07,1.0756,1.4594,1.27,18.485,13.3504,1.4538,40119220.2661,32961923.4866
600030.SH,20260227,27.37,0.7207,0.9779,0.84,18.6898,13.4983,1.4699,40563836.671,33327220.0158
600030.SH,20260226,27.38,1.0892,1.4779,1.4,18.6967,13.5033,1.4704,40578657.2178,33339396.5668
600030.SH,20260225,27.74,0.8346,1.1324,1.13,18.9425,13.6808,1.4898,41112196.9036,33777752.4019
600030.SH,20260224,27.63,0.6964,0.9449,0.92,18.8674,13.6266,1.4839,40949170.8885,33643810.3412
600030.SH,20260213,27.62,0.8955,1.2151,1.19,18.8605,13.6216,1.4833,40934350.3417,33631633.7902
600030.SH,20260212,27.87,0.7866,1.0674,1.0,19.0313,13.7449,1.4967,41304864.0124,33936047.5645
600030.SH,20260211,28.04,0.6871,0.9323,0.76,19.1473,13.8288,1.5059,41556813.3085,34143048.9311
600030.SH,20260210,28.09,0.6211,0.8428,0.62,19.1815,13.8534,1.5086,41630916.0427,34203931.686
600030.SH,20260209,28.06,0.7971,1.0815,0.7,19.161,13.8386,1.5069,41586454.4022,34167402.033
600030.SH,20260206,28.16,0.882,1.1968,0.69,19.2293,13.8879,1.4636,41734659.8705,34289167.5428
600030.SH,20260205,28.29,0.9501,1.2891,0.6,19.3181,13.9521,1.4704,41927326.9792,34447462.7054
600030.SH,20260204,28.38,1.2912,1.752,0.81,19.3795,13.9964,1.4751,42060711.9007,34557051.6642
600030.SH,20260203,27.97,1.0864,1.4742,0.67,19.0995,13.7942,1.4538,41453069.4807,34057813.0743
600030.SH,20260202,27.86,1.4933,2.0262,0.85,19.0244,13.74,1.448,41290043.4656,33923871.0136
600030.SH,20260130,28.08,1.5662,2.1251,0.9,19.1747,13.8485,1.4595,41616095.4958,34191755.135
600030.SH,20260129,28.56,2.4455,3.3183,1.59,19.5024,14.0852,1.4844,42327481.7436,34776229.5817
600030.SH,20260128,27.94,1.4116,1.9153,0.95,19.0791,13.7794,1.4522,41408607.8402,34021283.4214
600030.SH,20260127,27.86,1.1623,1.5771,0.78,19.0244,13.74,1.448,41290043.4656,33923871.0136
600030.SH,20260126,28.07,2.1661,2.9391,1.65,19.1678,13.8436,1.459,41601274.949,34179578.584
