ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
603259.SH,20260529,101.6,2.3078,2.7487,1.64,15.8298,15.0595,3.8127,30314972.6948,25128527.2994
603259.SH,20260528,100.8,1.3643,1.625,0.85,15.7051,14.9409,3.5711,30076272.1224,24930664.8797
603259.SH,20260527,102.63,1.5049,1.7924,0.96,15.9903,15.2122,3.6359,30622299.6818,25383275.1647
603259.SH,20260526,104.11,1.5808,1.8828,1.06,16.2209,15.4315,3.6883,31063895.7407,25749320.6411
603259.SH,20260525,102.55,1.2609,1.5018,0.87,15.9778,15.2003,3.6331,30598429.6245,25363488.9227
603259.SH,20260522,103.98,1.3433,1.5999,0.89,16.2006,15.4123,3.6837,31025106.8977,25717167.9979
603259.SH,20260521,104.23,2.3583,2.8088,1.55,16.2396,15.4493,3.6926,31099700.8266,25779000.0041
603259.SH,20260520,103.1,1.316,1.5674,0.85,16.0635,15.2818,3.6526,30762536.2681,25499519.3363
603259.SH,20260519,101.79,1.1489,1.3684,0.63,15.8594,15.0877,3.6062,30371664.0807,25175519.624
603259.SH,20260518,102.05,1.1107,1.3229,0.54,15.8999,15.1262,3.6154,30449241.7668,25239824.9104
603259.SH,20260515,103.13,1.595,1.8997,0.76,16.0682,15.2863,3.6536,30771487.5395,25506939.177
603259.SH,20260514,103.01,2.4316,2.8962,1.21,16.0495,15.2685,3.6494,30735682.4537,25477259.814
603259.SH,20260513,108.92,1.4213,1.6928,0.66,16.9703,16.1445,3.8588,32499082.9323,26938968.4394
603259.SH,20260512,110.33,2.6278,3.1299,1.24,17.19,16.3535,3.9087,32919792.6911,27287700.9541
603259.SH,20260511,108.72,2.1801,2.5966,0.87,16.9391,16.1148,3.8517,32439407.7892,26889502.8345
603259.SH,20260508,106.8,1.841,2.1927,0.71,16.64,15.8303,3.7836,31866526.4154,26414633.0273
603259.SH,20260507,111.28,1.9447,2.3162,0.79,17.338,16.4943,3.9424,33203249.6208,27522662.5775
603259.SH,20260506,109.0,2.1871,2.6049,0.96,16.9827,16.1563,3.8616,32522952.9895,26958754.6814
603259.SH,20260430,109.55,2.4131,2.8741,1.16,17.0684,16.2379,3.8811,32687059.633,27094785.0949
603259.SH,20260429,111.18,4.2071,5.0108,2.88,17.3224,16.4795,3.9388,33173412.0493,27497929.775
