ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
601166.SH,20260529,18.5,0.9862,1.3799,2.01,5.0538,5.0515,0.4703,39151285.9921,39151285.9921
601166.SH,20260528,17.97,0.4619,0.6462,0.98,4.909,4.9067,0.4568,38029654.5555,38029654.5555
601166.SH,20260527,18.0,0.6179,0.8645,1.51,4.9172,4.9149,0.4575,38093143.1274,38093143.1274
601166.SH,20260526,17.83,0.4468,0.6251,1.12,4.8708,4.8685,0.4532,37733374.5534,37733374.5534
601166.SH,20260525,17.64,0.4618,0.6461,1.18,4.8189,4.8166,0.4484,37331280.2649,37331280.2649
601166.SH,20260522,17.46,0.4599,0.6434,1.21,4.7697,4.7675,0.4438,36950348.8336,36950348.8336
601166.SH,20260521,17.37,0.3718,0.5202,0.95,4.7451,4.7429,0.4415,36759883.1179,36759883.1179
601166.SH,20260520,17.33,0.3085,0.4316,0.76,4.7342,4.732,0.4405,36675231.6888,36675231.6888
601166.SH,20260519,17.5,0.3918,0.5483,0.92,4.7806,4.7784,0.4448,37035000.2628,37035000.2628
601166.SH,20260518,17.45,0.4211,0.5892,0.97,4.767,4.7647,0.4436,36929185.9763,36929185.9763
601166.SH,20260515,17.67,0.4086,0.5717,0.95,4.8271,4.8248,0.4492,37394768.8367,37394768.8367
601166.SH,20260514,17.69,0.4296,0.6011,1.01,4.8325,4.8303,0.4497,37437094.5513,37437094.5513
601166.SH,20260513,17.69,0.3809,0.5329,0.8,4.8325,4.8303,0.4497,37437094.5513,37437094.5513
601166.SH,20260512,17.75,0.5,0.6995,0.96,4.8489,4.8467,0.4512,37564071.6951,37564071.6951
601166.SH,20260511,17.73,0.4416,0.6178,0.84,4.8435,4.8412,0.4507,37521745.9805,37521745.9805
601166.SH,20260508,17.73,0.4015,0.5618,0.76,4.8435,4.8412,0.4507,37521745.9805,37521745.9805
601166.SH,20260507,17.75,0.4118,0.5762,0.75,4.8489,4.8467,0.4512,37564071.6951,37564071.6951
601166.SH,20260506,17.79,0.6386,0.8935,1.29,4.8598,4.8576,0.4522,37648723.1242,37648723.1242
601166.SH,20260430,17.93,0.7231,1.0118,1.63,4.8981,4.8958,0.4558,37945003.1263,37945003.1263
601166.SH,20260429,18.18,0.4569,0.6392,0.97,4.9664,4.9664,0.4751,38474074.5587,38474074.5587
601166.SH,20260428,18.14,0.4084,0.5714,0.83,4.9555,4.9555,0.4741,38389423.1295,38389423.1295
601166.SH,20260427,18.17,0.5131,0.7179,1.06,4.9637,4.9637,0.4749,38452911.7014,38452911.7014
601166.SH,20260424,18.18,0.3815,0.5338,0.79,4.9664,4.9664,0.4751,38474074.5587,38474074.5587
601166.SH,20260423,18.2,0.4582,0.6411,1.03,4.9718,4.9718,0.4757,38516400.2733,38516400.2733
601166.SH,20260422,18.22,0.5984,0.8372,1.58,4.9773,4.9773,0.4762,38558725.9878,38558725.9878
601166.SH,20260421,18.42,0.5006,0.7005,1.54,5.0319,5.0319,0.4814,38981983.1337,38981983.1337
601166.SH,20260420,18.36,0.4766,0.6669,1.72,5.0156,5.0156,0.4798,38855005.9899,38855005.9899
601166.SH,20260417,18.4,0.3927,0.5495,1.54,5.0265,5.0265,0.4809,38939657.4191,38939657.4191
601166.SH,20260416,18.61,0.264,0.3693,1.05,5.0838,5.0838,0.4864,39384077.4223,39384077.4223
601166.SH,20260415,18.7,0.2624,0.3672,1.01,5.1084,5.1084,0.4887,39574543.1379,39574543.1379
601166.SH,20260414,18.57,0.2278,0.3187,0.85,5.0729,5.0729,0.4853,39299425.9931,39299425.9931
601166.SH,20260413,18.42,0.2374,0.3322,0.9,5.0319,5.0319,0.4814,38981983.1337,38981983.1337
601166.SH,20260410,18.53,0.2847,0.3984,1.11,5.062,5.062,0.4843,39214774.5639,39214774.5639
601166.SH,20260409,18.6,0.2412,0.3375,0.87,5.0811,5.0811,0.4861,39362914.565,39362914.565
601166.SH,20260408,18.78,0.3076,0.4304,1.07,5.1303,5.1303,0.4908,39743845.9963,39743845.9963
601166.SH,20260407,18.53,0.2636,0.3689,0.9,5.062,5.062,0.4843,39214774.5639,39214774.5639
601166.SH,20260403,18.69,0.2264,0.3168,0.75,5.1057,5.1057,0.4885,39553380.2806,39553380.2806
601166.SH,20260402,18.9,0.2408,0.3369,0.78,5.1631,5.1631,0.4939,39997800.2838,39997800.2838
601166.SH,20260401,18.91,0.3506,0.4906,1.19,5.1658,5.1658,0.4942,40018960.6865,40018960.6865
601166.SH,20260331,18.82,0.3545,0.496,1.18,5.1412,5.1412,0.4919,39828494.9826,39828494.9826
601166.SH,20260330,18.69,0.2941,0.4115,0.85,5.1057,5.1057,0.4885,39553377.8547,39553377.8547
601166.SH,20260327,18.7,0.2775,0.3883,0.79,5.1084,5.1084,0.4887,39574540.7107,39574540.7107
601166.SH,20260326,18.88,0.2746,0.3843,0.76,5.1752,5.1576,0.5002,39955472.1186,39955472.1186
601166.SH,20260325,18.76,0.2749,0.3847,0.75,5.1424,5.1248,0.4971,39701517.8466,39701517.8466
601166.SH,20260324,18.72,0.3863,0.5405,1.06,5.1314,5.1139,0.496,39616866.4226,39616866.4226
601166.SH,20260323,18.24,0.5162,0.7222,1.56,4.9998,4.9828,0.4833,38601049.3349,38601049.3349
601166.SH,20260320,18.79,0.3139,0.4392,0.95,5.1506,5.133,0.4978,39765006.4146,39765006.4146
601166.SH,20260319,18.83,0.3117,0.4362,0.93,5.1615,5.1439,0.4989,39849657.8386,39849657.8386
601166.SH,20260318,18.95,0.3002,0.42,0.87,5.1944,5.1767,0.5021,40103612.1105,40103612.1105
601166.SH,20260317,19.01,0.3877,0.5425,1.19,5.2109,5.1931,0.5037,40230589.2465,40230589.2465
601166.SH,20260316,18.83,0.3383,0.4734,0.98,5.1615,5.1439,0.4989,39849657.8386,39849657.8386
601166.SH,20260313,18.83,0.3159,0.4419,0.93,5.1615,5.1439,0.4989,39849657.8386,39849657.8386
601166.SH,20260312,18.81,0.3317,0.4641,0.93,5.1561,5.1385,0.4984,39807332.1266,39807332.1266
601166.SH,20260311,18.71,0.3509,0.4909,0.88,5.1286,5.1112,0.4957,39595703.5666,39595703.5666
601166.SH,20260310,18.47,0.2909,0.4071,0.64,5.0629,5.0456,0.4894,39087795.0228,39087795.0228
601166.SH,20260309,18.3,0.4439,0.621,1.0,5.0163,4.9992,0.4849,38728026.4709,38728026.4709
601166.SH,20260306,18.52,0.2782,0.3893,0.59,5.0766,5.0593,0.4907,39193609.3027,39193609.3027
601166.SH,20260305,18.47,0.4173,0.5838,0.95,5.0629,5.0456,0.4894,39087795.0228,39087795.0228
601166.SH,20260304,18.14,0.5553,0.777,1.35,4.9724,4.9555,0.4806,38389420.7749,38389420.7749
601166.SH,20260303,18.44,0.5685,0.7954,1.52,5.0546,5.0374,0.4886,39024306.4548,39024306.4548
601166.SH,20260302,18.31,0.403,0.5639,1.13,5.019,5.0019,0.4851,38749189.3268,38749189.3268
601166.SH,20260227,18.31,0.4111,0.5752,1.18,5.019,5.0019,0.4851,38749189.3268,38749189.3268
601166.SH,20260226,18.25,0.2685,0.3757,0.78,5.0026,4.9855,0.4835,38622212.1909,38622212.1909
601166.SH,20260225,18.3,0.4068,0.5692,1.31,5.0163,4.9992,0.4849,38728026.4709,38728026.4709
601166.SH,20260224,18.35,0.3854,0.5393,1.31,5.03,5.0128,0.4862,38833840.7508,38833840.7508
601166.SH,20260213,18.49,0.3131,0.4381,0.94,5.0683,5.0511,0.4899,39130120.7348,39130120.7348
601166.SH,20260212,18.59,0.3674,0.5141,0.99,5.0958,5.0784,0.4925,39341749.2947,39341749.2947
601166.SH,20260211,18.86,0.246,0.3442,0.57,5.1698,5.1521,0.4997,39913146.4066,39913146.4066
601166.SH,20260210,18.82,0.2451,0.3429,0.51,5.1588,5.1412,0.4986,39828494.9826,39828494.9826
601166.SH,20260209,18.88,0.3045,0.426,0.54,5.1752,5.1576,0.5002,39955472.1186,39955472.1186
601166.SH,20260206,18.85,0.4954,0.6932,0.81,5.167,5.1494,0.4994,39891983.5506,39891983.5506
601166.SH,20260205,19.38,0.5663,0.7924,0.78,5.3123,5.2942,0.5059,41013614.9183,41013614.9183
601166.SH,20260204,19.18,0.5441,0.7612,0.67,5.2575,5.2396,0.5007,40590357.7984,40590357.7984
601166.SH,20260203,18.89,0.4775,0.6681,0.57,5.178,5.1603,0.4931,39976634.9746,39976634.9746
601166.SH,20260202,18.87,0.7519,1.0521,0.84,5.1725,5.1549,0.4926,39934309.2626,39934309.2626
601166.SH,20260130,18.7,0.7074,0.9898,0.78,5.1259,5.1084,0.4882,39574539.2165,39574539.2165
601166.SH,20260129,18.89,1.1307,1.582,1.37,5.178,5.1603,0.4931,39976633.4652,39976633.4652
601166.SH,20260128,18.55,0.9664,1.3522,1.25,5.0848,5.0675,0.4842,39257096.3886,39257096.3886
601166.SH,20260127,18.82,0.6515,0.9116,0.9,5.1588,5.1412,0.4913,39828493.4789,39828493.4789
601166.SH,20260126,18.88,1.0038,1.4045,1.65,5.1752,5.1576,0.4929,39955470.61,39955470.61
601166.SH,20260123,19.12,0.8078,1.1303,1.33,5.241,5.2232,0.4991,40463379.1348,40463379.1348
601166.SH,20260122,19.35,0.6896,0.9649,1.22,5.3041,5.286,0.5051,40950124.8043,40950124.8043
