ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600809.SH,20260529,125.78,131.88,125.08,128.3,126.17,2.13,1.6882,172655.64,2224784.549
600809.SH,20260528,127.28,127.58,125.13,126.17,128.6,-2.43,-1.8896,83916.32,1059148.685
600809.SH,20260527,126.75,131.5,124.49,128.6,126.68,1.92,1.5156,176450.6,2257755.008
600809.SH,20260526,128.4,130.89,126.01,126.68,128.63,-1.95,-1.516,96043.43,1230290.686
600809.SH,20260525,127.49,130.8,125.36,128.63,128.25,0.38,0.2963,83272.82,1070665.354
600809.SH,20260522,131.1,131.37,128.2,128.25,131.37,-3.12,-2.375,72998.84,942324.018
600809.SH,20260521,131.08,134.88,130.71,131.37,131.46,-0.09,-0.0685,85811.24,1141912.775
600809.SH,20260520,129.13,132.98,129.01,131.46,129.78,1.68,1.2945,73081.17,958702.954
600809.SH,20260519,129.88,133.28,129.38,129.78,129.84,-0.06,-0.0462,70444.87,923378.754
600809.SH,20260518,131.05,131.66,128.66,129.84,131.41,-1.57,-1.1947,60794.08,789437.199
600809.SH,20260515,132.93,133.58,130.33,131.41,134.05,-2.64,-1.9694,75244.7,988431.173
600809.SH,20260514,133.53,138.3,131.7,134.05,133.8,0.25,0.1868,120234.23,1616180.662
600809.SH,20260513,136.7,137.58,133.0,133.8,137.01,-3.21,-2.3429,97162.85,1304742.605
600809.SH,20260512,140.51,140.58,136.6,137.01,140.37,-3.36,-2.3937,90586.11,1246780.56
600809.SH,20260511,140.9,142.8,139.36,140.37,141.6,-1.23,-0.8686,85757.88,1204658.985
600809.SH,20260508,144.1,144.6,141.01,141.6,143.75,-2.15,-1.4957,61667.96,876920.055
600809.SH,20260507,140.68,146.4,140.68,143.75,140.92,2.83,2.0082,97213.26,1399961.835
600809.SH,20260506,140.82,142.45,139.72,140.92,143.35,-2.43,-1.6952,87619.97,1235186.876
600809.SH,20260430,142.3,146.95,141.5,143.35,143.14,0.21,0.1467,97551.62,1410219.893
600809.SH,20260429,138.02,144.0,138.0,143.14,138.72,4.42,3.1863,99849.83,1423181.703
600809.SH,20260428,138.31,139.31,137.3,138.72,138.31,0.41,0.2964,48007.56,663818.102
600809.SH,20260427,140.08,140.68,138.08,138.31,141.95,-3.64,-2.5643,64640.51,897835.853
600809.SH,20260424,141.06,143.77,139.8,141.95,142.38,-0.43,-0.302,78448.66,1113571.735
600809.SH,20260423,140.5,145.52,140.5,142.38,136.91,5.47,3.9953,148732.75,2125271.274
