industry_id,industry_name,trade_date,member_count,industry_ret_5d,industry_ret_20d,industry_vol_20d,turnover_20d_avg,amount_20d_avg,pe_ttm_median,pb_median,momentum_rank_mean,rs_rank_mean,valuation_pe_percentile_2y,turnover_percentile_1y,as_of
IND_IT设备,IT设备,20230103,1,,,,,,24.8424,2.0943,,,0.0049261083743842365,,2023-01-03 15:30:00
IND_IT设备,IT设备,20230104,1,,,,,,25.0058,2.108,,,0.008620689655172414,,2023-01-04 15:30:00
IND_IT设备,IT设备,20230105,1,,,,,,25.1474,2.12,,,0.011083743842364532,,2023-01-05 15:30:00
IND_IT设备,IT设备,20230106,1,,,,,,25.0494,2.1117,,,0.009852216748768473,,2023-01-06 15:30:00
IND_IT设备,IT设备,20230109,1,,,,,,24.9949,2.1071,,,0.007389162561576354,,2023-01-09 15:30:00
IND_IT设备,IT设备,20230110,1,0.0017536168347216385,,,,,24.886,2.0979,,,0.006157635467980296,,2023-01-10 15:30:00
IND_IT设备,IT设备,20230111,1,-0.016986062717770145,,,,,24.581,2.0722,,,0.0012315270935960591,,2023-01-11 15:30:00
IND_IT设备,IT设备,20230112,1,-0.019922044174967568,,,,,24.6464,2.0777,,,0.0024630541871921183,,2023-01-12 15:30:00
IND_IT设备,IT设备,20230113,1,-0.013043478260869712,,,,,24.7226,2.0842,,,0.003694581280788177,,2023-01-13 15:30:00
IND_IT设备,IT设备,20230116,1,0.01699346405228752,,,0.86799,288132.6295,25.4197,2.1429,,,0.013546798029556651,0.0037359900373599006,2023-01-16 15:30:00
IND_IT设备,IT设备,20230117,1,0.014004376367614757,,0.011068691897808314,0.8618272727272728,286433.2538181818,25.2345,2.1273,,,0.012315270935960592,0.0024906600249066002,2023-01-17 15:30:00
IND_IT设备,IT设备,20230118,1,0.03633141338059387,,0.010765674001061995,0.8522916666666666,283680.2405,25.4741,2.1475,,,0.014778325123152709,0.0012453300124533001,2023-01-18 15:30:00
IND_IT设备,IT设备,20230119,1,0.05612019443216987,,0.011702258010528491,0.8816769230769231,294554.6677692308,26.0296,2.1943,,,0.01600985221674877,0.0049813200498132005,2023-01-19 15:30:00
IND_IT设备,IT设备,20230120,1,0.06563876651982392,,0.011431130664696768,0.9327928571428571,313546.9048571428,26.3454,2.221,,,0.01847290640394089,0.0062266500622665,2023-01-20 15:30:00
IND_IT设备,IT设备,20230130,1,0.0424164524421593,,0.01098734929776533,0.9933666666666666,336182.2048,26.4979,2.2338,,,0.019704433497536946,0.007471980074719801,2023-01-30 15:30:00
IND_IT设备,IT设备,20230131,1,0.04056970220112199,,0.011164300363246534,1.0238,347729.63225,26.2583,2.2136,,,0.017241379310344827,0.008717310087173101,2023-01-31 15:30:00
IND_IT设备,IT设备,20230201,1,0.056006840530141044,,0.011964217647077433,1.0554647058823527,359877.47052941174,26.9008,2.2678,,,0.022167487684729065,0.009962640099626401,2023-02-01 15:30:00
IND_IT设备,IT设备,20230202,1,0.03974895397489542,,0.011586938476454657,1.1187333333333334,384013.1675555555,27.0642,2.2816,,,0.023399014778325122,0.0112079701120797,2023-02-02 15:30:00
IND_IT设备,IT设备,20230203,1,0.03761885076477878,,0.011301277265520228,1.156978947368421,398793.24878947367,27.3365,2.3045,,,0.027093596059113302,0.012453300124533,2023-02-03 15:30:00
IND_IT设备,IT设备,20230206,1,0.04521167283189498,,0.01112616394844269,1.22875,426573.09380000003,27.6959,2.3348,,,0.03201970443349754,0.0136986301369863,2023-02-06 15:30:00
IND_IT设备,IT设备,20230207,1,0.08212360016590625,0.14379658044717236,0.011729883077333034,1.32353,465602.80724999995,28.4147,2.3954,0.8979591836734694,0.8979591836734694,0.04926108374384237,0.0161892901618929,2023-02-07 15:30:00
IND_IT设备,IT设备,20230208,1,0.02793522267206483,0.10583623693379796,0.013935360581561192,1.4183350000000001,503376.3722,27.6523,2.3311,0.8367346938775511,0.8367346938775511,0.03078817733990148,0.021170610211706103,2023-02-08 15:30:00
IND_IT设备,IT设备,20230209,1,0.09416498993963773,0.1775660459073194,0.02026267143426346,1.677375,605629.4988,29.6127,2.4964,0.9183673469387755,0.9183673469387755,0.07142857142857142,0.05603985056039851,2023-02-09 15:30:00
IND_IT设备,IT设备,20230210,1,0.06175298804780871,0.1586956521739129,0.0210706701408786,1.841275,671900.044,29.0246,2.4468,0.9183673469387755,0.9183673469387755,0.06403940886699508,0.09838107098381071,2023-02-10 15:30:00
IND_IT设备,IT设备,20230213,1,0.09319701140385384,0.21132897603485845,0.0223622611027414,2.080665,770060.3362,30.2771,2.5524,0.9591836734693877,0.9591836734693877,0.08004926108374384,0.13325031133250312,2023-02-13 15:30:00
IND_IT设备,IT设备,20230214,1,0.11498658489842861,0.27308533916849,0.023514057859737557,2.44695,929241.4149499999,31.682,2.6708,0.9795918367346939,0.9795918367346939,0.12623152709359606,0.22914072229140722,2023-02-14 15:30:00
IND_IT设备,IT设备,20230215,1,0.24576604962583692,0.4014178112538769,0.028110297910496365,2.917415,1142218.82765,34.4483,2.904,0.9795918367346939,0.9795918367346939,0.24507389162561577,0.40473225404732255,2023-02-15 15:30:00
IND_IT设备,IT设备,20230216,1,0.08753218094887827,0.3066725585505967,0.03354087842461128,3.3950000000000005,1356409.9767,32.2048,2.7149,0.9795918367346939,0.9795918367346939,0.15024630541871922,0.523038605230386,2023-02-16 15:30:00
IND_IT设备,IT设备,20230217,1,0.04390243902439028,0.2255506607929516,0.03728726359926137,3.691545,1480708.8114,30.2988,2.5542,0.9591836734693877,0.9591836734693877,0.0812807881773399,0.5554171855541719,2023-02-17 15:30:00
IND_IT设备,IT设备,20230220,1,0.07769784172661853,0.2836332476435304,0.03997358182966935,3.9548950000000005,1596989.3043,32.6295,2.7507,0.9591836734693877,0.9591836734693877,0.16748768472906403,0.5865504358655044,2023-02-20 15:30:00
IND_IT设备,IT设备,20230221,1,0.017188037126160127,0.2770824341821321,0.040126737448935905,4.2148200000000005,1714022.7059999998,32.2265,2.7167,0.9591836734693877,0.9591836734693877,0.1539408866995074,0.6127023661270237,2023-02-21 15:30:00
IND_IT设备,IT设备,20230222,1,-0.040467910211824165,0.29756306113723796,0.040214211078838824,4.456265,1822558.1735,33.0543,2.7865,0.9795918367346939,0.9795918367346939,0.18596059113300492,0.6488169364881694,2023-02-22 15:30:00
IND_IT设备,IT设备,20230223,1,-0.016232668244842707,0.21715481171548112,0.04200920139475519,4.60492,1891588.86545,31.682,2.6708,0.9387755102040817,0.9387755102040817,0.12623152709359606,0.660024906600249,2023-02-23 15:30:00
IND_IT设备,IT设备,20230224,1,0.1347951114306254,0.30508474576271194,0.04520057707715323,5.120395,2133352.57215,30.5104,2.7251,0.9795918367346939,0.9795918367346939,0.0874384236453202,0.7185554171855542,2023-02-24 15:30:00
IND_IT设备,IT设备,20230227,1,0.04839786381842459,0.29099876695437743,0.04537378835710596,5.438675,2289404.9894499998,30.3558,2.7113,0.9795918367346939,0.9795918367346939,0.08497536945812807,0.7347447073474471,2023-02-27 15:30:00
IND_IT设备,IT设备,20230228,1,0.09259885096316323,0.34093737038573213,0.04516646256066463,5.782315,2457432.81995,31.2449,2.7907,0.9795918367346939,0.9795918367346939,0.10591133004926108,0.7584059775840598,2023-02-28 15:30:00
IND_IT设备,IT设备,20230301,1,0.1311367380560131,0.38987854251012166,0.046306592466360166,6.24588,2695646.31425,33.1778,2.9634,0.9795918367346939,0.9795918367346939,0.1933497536945813,0.7920298879202988,2023-03-01 15:30:00
IND_IT设备,IT设备,20230302,1,0.17497421794431078,0.37545271629778676,0.04650190482812905,6.478,2826323.2254999997,33.0328,2.9504,1.0,1.0,0.1834975369458128,0.813200498132005,2023-03-02 15:30:00
IND_IT设备,IT设备,20230303,1,0.04529616724738683,0.31474103585657365,0.0479036819428832,6.994835,3081055.5869499994,31.8924,2.8486,0.9795918367346939,0.9795918367346939,0.1336206896551724,0.8518057285180572,2023-03-03 15:30:00
IND_IT设备,IT设备,20230306,1,0.07577204711875196,0.3287455760912308,0.04794422845477142,7.28083,3237912.4899500003,32.6559,2.9167,1.0,1.0,0.16995073891625614,0.8704856787048568,2023-03-06 15:30:00
IND_IT设备,IT设备,20230307,1,0.003093102381688917,0.24300498275201243,0.04943871524527337,7.4214,3321455.6992999995,31.3415,2.7994,1.0,1.0,0.11330049261083744,0.8804483188044832,2023-03-07 15:30:00
IND_IT设备,IT设备,20230308,1,-0.03874162540052439,0.2997243009058683,0.04858902375398034,7.539670000000001,3390956.579,31.8924,2.8486,0.9795918367346939,0.9795918367346939,0.1336206896551724,0.8904109589041096,2023-03-08 15:30:00
IND_IT设备,IT设备,20230309,1,-0.016968987712112416,0.2357484369253402,0.046752694561196274,7.55407,3427046.7638000003,32.4723,2.9003,0.9795918367346939,0.9795918367346939,0.16133004926108374,0.8929016189290162,2023-03-09 15:30:00
IND_IT设备,IT设备,20230310,1,-0.023333333333333428,0.20938086303939962,0.04771884062182536,7.595439999999999,3464135.8869499997,31.1482,2.7821,0.9795918367346939,0.9795918367346939,0.1022167487684729,0.8966376089663761,2023-03-10 15:30:00
IND_IT设备,IT设备,20230313,1,0.0008878366380586922,0.216546762589928,0.047960018823388885,7.6365099999999995,3506419.55695,32.6849,2.9193,0.9591836734693877,0.9591836734693877,0.17364532019704434,0.9016189290161893,2023-03-13 15:30:00
IND_IT设备,IT设备,20230314,1,0.012025901942645634,0.12822275696115493,0.04801114529723236,7.530235,3475883.2483500005,31.7184,2.833,0.8979591836734694,0.8979591836734694,0.13054187192118227,0.8891656288916563,2023-03-14 15:30:00
IND_IT设备,IT设备,20230315,1,-0.018181818181818188,0.024343977236800596,0.04428552115964953,7.183370000000001,3326987.8983000005,31.3125,2.7968,0.5918367346938775,0.5918367346938775,0.11206896551724138,0.8617683686176837,2023-03-15 15:30:00
